Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E
4, Run: 001, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 002, F, 0, 1, 0, 0, 1, 0, 1, 158, 158, 0, 0, 19
4, Run: 003, F, 0, 1, 0, 0, 1, 0, 1, 146, 146, 0, 0, 19
4, Run: 004, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 005, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 006, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 007, F, 0, 0, 0, 0, 1, 0, 1, 135, 135, 0, 0, 19
4, Run: 008, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
4, Run: 009, F, 0, 0, 0, 0, 1, 0, 1, 135, 135, 0, 0, 19
4, Run: 010, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 011, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 012, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 013, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 014, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 015, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 016, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 017, F, 0, 0, 0, 0, 1, 0, 1, 155, 155, 0, 0, 19
4, Run: 018, F, 0, 0, 0, 0, 1, 0, 1, 159, 159, 0, 0, 19
4, Run: 019, F, 0, 0, 0, 0, 1, 0, 1, 139, 139, 0, 0, 19
4, Run: 020, F, 0, 0, 0, 0, 1, 0, 1, 167, 167, 0, 0, 19
4, Run: 021, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 022, F, 0, 0, 0, 0, 1, 0, 1, 151, 151, 0, 0, 19
4, Run: 023, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 024, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 025, F, 0, 0, 0, 0, 1, 0, 1, 143, 143, 0, 0, 19
4, Run: 026, F, 0, 0, 0, 0, 1, 0, 1, 147, 147, 0, 0, 19
