Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
1, Run: 002, F, 0, 19, 0, 0, 0, 0, 0, 4, 40, 40, 0, 0
1, Run: 003, F, 0, 13, 0, 0, 0, 0, 0, 23, 27, 27, 0, 0
1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
1, Run: 005, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 006, F, 0, 13, 0, 0, 0, 0, 0, 3, 47, 47, 0, 0
1, Run: 007, F, 0, 13, 0, 0, 0, 0, 0, 9, 41, 41, 0, 0
1, Run: 008, F, 0, 17, 0, 0, 0, 0, 0, 18, 28, 28, 0, 0
1, Run: 009, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 010, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 011, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 012, P, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0
1, Run: 013, P, 0, 17, 0, 0, 0, 0, 0, 46, 0, 0, 1, 0
1, Run: 014, F, 0, 15, 0, 0, 0, 0, 0, 30, 18, 18, 0, 0
1, Run: 015, F, 0, 15, 0, 0, 0, 0, 0, 34, 14, 14, 0, 0
1, Run: 016, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 017, P, 0, 16, 0, 0, 0, 0, 0, 46, 0, 2, 1, 2
1, Run: 018, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 019, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 020, F, 0, 15, 0, 0, 0, 0, 0, 22, 26, 26, 0, 0
1, Run: 021, F, 0, 13, 0, 0, 0, 0, 0, 22, 28, 28, 0, 0
1, Run: 022, F, 0, 13, 0, 0, 0, 0, 0, 30, 20, 20, 0, 0
1, Run: 023, F, 0, 13, 0, 0, 0, 0, 0, 11, 39, 39, 0, 0
1, Run: 024, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
1, Run: 025, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
1, Run: 026, F, 0, 15, 0, 0, 0, 0, 0, 24, 24, 24, 0, 0
1, Run: 027, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 028, F, 0, 13, 0, 0, 0, 0, 0, 9, 41, 41, 0, 0
1, Run: 029, P, 0, 11, 0, 0, 0, 0, 0, 50, 0, 4, 1, 4
1, Run: 030, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
1, Run: 031, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
1, Run: 032, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
1, Run: 033, F, 0, 19, 0, 0, 0, 0, 0, 8, 36, 36, 0, 0
1, Run: 034, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
1, Run: 035, F, 0, 13, 0, 0, 0, 0, 0, 28, 22, 22, 0, 0
1, Run: 036, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
1, Run: 037, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
1, Run: 038, F, 0, 17, 0, 0, 0, 0, 0, 19, 27, 27, 0, 0
1, Run: 039, P, 0, 14, 0, 0, 0, 0, 0, 48, 0, 2, 1, 2
1, Run: 040, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
1, Run: 041, F, 0, 15, 2, 0, 0, 0, 0, 1, 49, 49, 0, 0
1, Run: 042, F, 0, 19, 0, 0, 0, 0, 0, 14, 30, 30, 0, 0
1, Run: 043, F, 0, 17, 0, 0, 0, 0, 0, 22, 24, 24, 0, 0
1, Run: 044, F, 0, 13, 0, 0, 0, 0, 0, 35, 15, 15, 0, 0
1, Run: 045, F, 0, 14, 0, 0, 1, 0, 0, 43, 5, 6, 0, 1
1, Run: 046, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
1, Run: 047, F, 0, 11, 0, 0, 0, 0, 0, 21, 31, 31, 0, 0
1, Run: 048, F, 0, 15, 0, 0, 0, 0, 0, 16, 32, 32, 0, 0
1, Run: 049, P, 0, 13, 0, 0, 0, 0, 0, 48, 0, 4, 1, 4
1, Run: 050, F, 0, 15, 0, 0, 0, 0, 0, 15, 33, 33, 0, 0
1, Run: 051, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 052, P, 0, 13, 0, 0, 0, 0, 0, 48, 0, 4, 1, 4
1, Run: 053, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 054, P, 0, 11, 0, 0, 0, 0, 0, 52, 0, 0, 1, 0
1, Run: 055, F, 0, 13, 0, 0, 0, 0, 0, 12, 38, 38, 0, 0
1, Run: 056, F, 0, 13, 0, 0, 0, 0, 0, 1, 49, 49, 0, 0
1, Run: 057, F, 0, 15, 0, 0, 0, 0, 0, 6, 42, 42, 0, 0
1, Run: 058, P, 0, 10, 0, 0, 0, 0, 0, 52, 0, 2, 1, 2
1, Run: 059, F, 0, 15, 0, 0, 0, 0, 0, 11, 37, 37, 0, 0
1, Run: 060, F, 0, 13, 0, 0, 0, 0, 0, 19, 31, 31, 0, 0
1, Run: 061, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
1, Run: 062, P, 0, 15, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0
1, Run: 063, F, 0, 17, 0, 0, 0, 0, 0, 10, 36, 36, 0, 0
1, Run: 064, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
1, Run: 065, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 066, F, 0, 13, 0, 0, 0, 0, 0, 9, 41, 41, 0, 0
1, Run: 067, F, 0, 15, 0, 0, 0, 0, 0, 9, 39, 39, 0, 0
1, Run: 068, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
1, Run: 069, P, 0, 12, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2
1, Run: 070, P, 0, 13, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0
