Input Number, Run_Number, Result@ 100, F, Y, CE, X1, A, B, C, PO, D, CO, PE, E
4, Run: 001, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 002, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 003, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 004, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 005, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 006, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 007, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 008, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 009, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 010, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 011, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 012, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 013, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 014, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 015, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 016, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 017, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 018, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 019, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 020, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 021, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 022, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 023, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 024, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 025, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 026, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 027, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 028, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 122, 0, 22
4, Run: 029, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 030, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 031, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 032, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 033, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 034, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 035, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 036, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 037, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 038, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 039, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 040, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 041, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 042, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 043, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 044, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 045, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 128, 0, 25
4, Run: 046, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 132, 0, 27
4, Run: 047, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 126, 0, 24
4, Run: 048, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
4, Run: 049, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 124, 0, 23
4, Run: 050, F, 0, 117, 0, 0, 0, 0, 0, 1, 0, 130, 0, 26
