Input Number, Run_Number, Result@ 100, F, X1, A, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 112, 18, 78, 3, 3, 78, 9, 8, 0, 9, 36, 18, 658, 356
INVAR-1, Run: 002, P, 43, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 97, 18, 98, 6, 4, 98, 9, 5, 3, 8, 36, 18, 908, 481
INVAR-1, Run: 003, P, 44, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 98, 18, 110, 4, 4, 110, 9, 2, 6, 9, 36, 18, 670, 362
INVAR-1, Run: 004, P, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 100, 18, 102, 13, 13, 102, 9, 8, 0, 9, 36, 18, 672, 363
INVAR-1, Run: 005, P, 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 90, 18, 59, 8, 8, 59, 9, 6, 2, 9, 36, 18, 734, 394
INVAR-1, Run: 006, P, 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 102, 18, 43, 3, 3, 43, 9, 5, 3, 9, 36, 18, 614, 334
INVAR-1, Run: 007, P, 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 116, 18, 75, 1, 1, 75, 9, 6, 2, 9, 36, 18, 548, 301
INVAR-1, Run: 008, P, 57, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 111, 18, 153, 8, 6, 153, 9, 6, 2, 8, 36, 18, 734, 394
INVAR-1, Run: 009, P, 42, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 96, 18, 70, 13, 13, 70, 9, 5, 3, 9, 36, 18, 836, 445
INVAR-1, Run: 010, P, 29, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 83, 18, 78, 5, 3, 78, 9, 6, 2, 8, 36, 18, 1096, 575
INVAR-1, Run: 011, P, 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 104, 18, 105, 2, 2, 105, 9, 6, 2, 9, 36, 18, 988, 521
INVAR-1, Run: 012, P, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 103, 18, 112, 4, 4, 112, 9, 3, 5, 9, 36, 18, 764, 409
INVAR-1, Run: 013, P, 45, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 99, 18, 58, 6, 4, 58, 9, 5, 3, 8, 36, 18, 932, 493
INVAR-1, Run: 014, P, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 97, 18, 95, 2, 2, 95, 9, 6, 2, 9, 36, 18, 810, 432
INVAR-1, Run: 015, P, 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9, 100, 18, 74, 7, 7, 74, 9, 5, 3, 9, 36, 18, 898, 476
INVAR-1, Run: 016, P, 31, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 8, 85, 18, 59, 4, 2, 59, 9, 6, 2, 8, 36, 18, 662, 358
