Input Number, Run_Number, Result@ 100, A, F, X1, B, C, PO, D, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 112, 8, 8, 112, 9, 7, 1, 3, 12, 18, 116, 61
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 97, 6, 6, 97, 9, 7, 1, 3, 12, 18, 238, 122
INVAR-1, Run: 003, P, 0, 1, 0, 0, 0, 0, 50, 0, 2, 1, 2, 3, 5, 18, 111, 5, 3, 111, 9, 7, 1, 3, 11, 18, 80, 42
INVAR-1, Run: 004, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 105, 6, 6, 105, 9, 6, 2, 6, 10, 18, 112, 57
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 0, 5, 4, 18, 94, 2, 2, 94, 9, 7, 1, 5, 11, 18, 118, 61
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 139, 5, 5, 139, 9, 6, 2, 3, 12, 18, 108, 57
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 118, 6, 4, 118, 9, 4, 4, 4, 11, 18, 212, 108
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 48, 0, 0, 1, 0, 3, 6, 18, 131, 2, 2, 131, 9, 6, 2, 3, 12, 18, 80, 43
INVAR-1, Run: 009, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 90, 0, 0, 90, 9, 6, 2, 6, 10, 18, 74, 38
INVAR-1, Run: 010, P, 0, 1, 0, 0, 0, 0, 52, 0, 0, 1, 0, 6, 3, 18, 98, 5, 5, 98, 9, 3, 5, 6, 10, 18, 62, 32
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 50, 0, 2, 1, 2, 4, 4, 18, 46, 4, 2, 46, 9, 4, 4, 4, 11, 18, 188, 96
INVAR-1, Run: 012, P, 0, 1, 0, 0, 0, 0, 54, 0, 0, 1, 0, 8, 1, 18, 97, 0, 0, 97, 9, 4, 4, 8, 9, 18, 44, 22
