Input Number, Run_Number, Result@ 100, PE, X1, A, B, C, PO, D, CO, Y, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 191, 6, 6, 121, 11, 4, 2, 11, 11, 23, 199, 99
INVAR-1, Run: 002, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 185, 6, 6, 121, 10, 5, 2, 10, 10, 21, 109, 54
INVAR-1, Run: 003, P, 0, 0, 1, 0, 0, 1, 0, 82, 82, 0, 13, 1, 9, 27, 282, 6, 6, 200, 13, 4, 0, 13, 13, 27, 157, 78
INVAR-1, Run: 004, P, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 112, 7, 7, 54, 9, 4, 4, 9, 9, 19, 45, 22
INVAR-1, Run: 005, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 107, 4, 4, 43, 10, 6, 1, 10, 10, 21, 79, 39
INVAR-1, Run: 006, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 204, 5, 5, 134, 11, 6, 0, 11, 11, 23, 233, 116
INVAR-1, Run: 007, P, 0, 0, 1, 0, 0, 1, 0, 82, 82, 0, 13, 1, 9, 27, 298, 9, 9, 216, 13, 0, 4, 13, 13, 27, 303, 151
INVAR-1, Run: 008, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 259, 17, 17, 189, 11, 6, 0, 11, 11, 23, 183, 91
INVAR-1, Run: 009, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 195, 6, 6, 131, 10, 4, 3, 10, 10, 21, 167, 83
INVAR-1, Run: 010, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 204, 2, 2, 134, 11, 5, 1, 11, 11, 23, 107, 53
INVAR-1, Run: 011, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 225, 9, 9, 155, 11, 4, 2, 11, 11, 23, 293, 146
INVAR-1, Run: 012, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 214, 7, 7, 144, 11, 5, 1, 11, 11, 23, 359, 179
INVAR-1, Run: 013, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 180, 4, 4, 110, 11, 3, 3, 11, 11, 23, 335, 167
INVAR-1, Run: 014, P, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 132, 1, 1, 74, 9, 7, 1, 9, 9, 19, 83, 41
INVAR-1, Run: 015, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 268, 6, 6, 198, 11, 4, 2, 11, 11, 23, 151, 75
INVAR-1, Run: 016, P, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 281, 2, 2, 205, 12, 4, 1, 12, 12, 25, 575, 287
INVAR-1, Run: 017, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 258, 9, 9, 188, 11, 5, 1, 11, 11, 23, 353, 176
INVAR-1, Run: 018, P, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 142, 3, 3, 84, 9, 7, 1, 9, 9, 19, 199, 99
INVAR-1, Run: 019, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 168, 7, 7, 104, 10, 5, 2, 10, 10, 21, 333, 166
INVAR-1, Run: 020, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 293, 8, 8, 223, 11, 2, 4, 11, 11, 23, 159, 79
INVAR-1, Run: 021, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 296, 9, 9, 232, 10, 5, 2, 10, 10, 21, 279, 139
INVAR-1, Run: 022, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 239, 5, 5, 175, 10, 6, 1, 10, 10, 21, 149, 74
INVAR-1, Run: 023, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 163, 7, 7, 99, 10, 7, 0, 10, 10, 21, 129, 64
INVAR-1, Run: 024, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 229, 3, 3, 159, 11, 5, 1, 11, 11, 23, 401, 200
INVAR-1, Run: 025, P, 0, 0, 1, 0, 0, 1, 0, 70, 70, 0, 11, 1, 5, 23, 198, 12, 12, 128, 11, 5, 1, 11, 11, 23, 147, 73
INVAR-1, Run: 026, P, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 158, 5, 5, 100, 9, 5, 3, 9, 9, 19, 73, 36
INVAR-1, Run: 027, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 165, 3, 3, 101, 10, 7, 0, 10, 10, 21, 199, 99
INVAR-1, Run: 028, P, 0, 0, 1, 0, 0, 1, 0, 64, 64, 0, 10, 1, 3, 21, 222, 5, 5, 158, 10, 6, 1, 10, 10, 21, 41, 20
INVAR-1, Run: 029, P, 0, 0, 1, 0, 0, 1, 0, 76, 76, 0, 12, 1, 7, 25, 310, 8, 8, 234, 12, 2, 3, 12, 12, 25, 337, 168
INVAR-1, Run: 030, P, 0, 0, 1, 0, 0, 1, 0, 58, 58, 0, 9, 1, 1, 19, 175, 4, 4, 117, 9, 6, 2, 9, 9, 19, 55, 27
