Input Number, Run_Number, Result@ 100, C, F, D, X1, A, B, PO, CO, Y, PE, CE, E, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 140, 1, 1, 140, 9, 5, 3, 9, 4, 18, 20, 5
INVAR-1, Run: 002, P, 0, 1, 65, 0, 0, 0, 0, 0, 2, 1, 2, 8, 5, 18, 129, 7, 5, 129, 9, 3, 5, 8, 6, 18, 72, 33
INVAR-1, Run: 003, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 121, 4, 4, 121, 9, 6, 2, 9, 6, 18, 16, 5
INVAR-1, Run: 004, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 163, 7, 7, 163, 9, 6, 2, 9, 5, 18, 18, 5
INVAR-1, Run: 005, P, 0, 1, 65, 0, 0, 0, 0, 0, 0, 1, 0, 9, 5, 18, 157, 6, 6, 157, 9, 4, 4, 9, 6, 18, 50, 22
INVAR-1, Run: 006, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 62, 7, 7, 62, 9, 3, 5, 9, 5, 18, 58, 25
INVAR-1, Run: 007, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 128, 6, 4, 128, 9, 5, 3, 8, 6, 18, 72, 33
INVAR-1, Run: 008, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 87, 3, 3, 87, 9, 7, 1, 9, 6, 18, 66, 30
INVAR-1, Run: 009, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 207, 7, 7, 207, 9, 6, 2, 9, 4, 18, 34, 12
INVAR-1, Run: 010, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 143, 6, 6, 143, 9, 2, 6, 9, 6, 18, 56, 25
INVAR-1, Run: 011, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 121, 11, 11, 121, 9, 6, 2, 9, 5, 18, 22, 7
INVAR-1, Run: 012, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 112, 7, 7, 112, 9, 6, 2, 9, 6, 18, 28, 11
INVAR-1, Run: 013, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 197, 8, 8, 197, 9, 7, 1, 9, 6, 18, 156, 75
INVAR-1, Run: 014, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 83, 6, 4, 83, 9, 6, 2, 8, 5, 18, 16, 4
INVAR-1, Run: 015, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 100, 6, 6, 100, 9, 3, 5, 9, 6, 18, 64, 29
INVAR-1, Run: 016, P, 0, 0, 74, 0, 0, 0, 0, 0, 2, 1, 2, 8, 10, 18, 123, 10, 8, 123, 9, 4, 4, 8, 4, 18, 52, 21
INVAR-1, Run: 017, P, 0, 1, 69, 0, 0, 0, 0, 0, 2, 1, 2, 8, 7, 18, 133, 8, 6, 133, 9, 5, 3, 8, 5, 18, 76, 34
INVAR-1, Run: 018, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 278, 8, 8, 278, 9, 5, 3, 9, 6, 18, 22, 8
INVAR-1, Run: 019, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 90, 1, 1, 90, 9, 6, 2, 9, 6, 18, 38, 16
INVAR-1, Run: 020, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 76, 8, 8, 76, 9, 6, 2, 9, 6, 18, 14, 4
INVAR-1, Run: 021, P, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 0, 9, 2, 18, 108, 6, 6, 108, 9, 6, 2, 9, 8, 18, 508, 253
INVAR-1, Run: 022, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 140, 3, 3, 140, 9, 7, 1, 9, 7, 18, 82, 39
INVAR-1, Run: 023, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 95, 7, 5, 95, 9, 6, 2, 8, 7, 18, 78, 37
INVAR-1, Run: 024, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 157, 4, 4, 157, 9, 8, 0, 9, 6, 18, 24, 9
INVAR-1, Run: 025, P, 0, 1, 77, 0, 0, 0, 0, 0, 0, 1, 0, 9, 11, 18, 178, 14, 14, 178, 9, 4, 4, 9, 3, 18, 32, 10
INVAR-1, Run: 026, P, 0, 1, 69, 0, 0, 0, 0, 0, 2, 1, 2, 8, 7, 18, 236, 8, 6, 236, 9, 6, 2, 8, 5, 18, 112, 52
INVAR-1, Run: 027, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 226, 4, 4, 226, 9, 5, 3, 9, 5, 18, 38, 15
INVAR-1, Run: 028, P, 0, 1, 69, 0, 0, 0, 0, 0, 2, 1, 2, 8, 7, 18, 70, 4, 2, 70, 9, 4, 4, 8, 5, 18, 26, 9
INVAR-1, Run: 029, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 118, 3, 3, 118, 9, 6, 2, 9, 5, 18, 100, 46
INVAR-1, Run: 030, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 199, 5, 5, 199, 9, 5, 3, 9, 6, 18, 40, 17
INVAR-1, Run: 031, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 84, 4, 4, 84, 9, 7, 1, 9, 5, 18, 44, 18
INVAR-1, Run: 032, P, 0, 0, 78, 0, 0, 0, 0, 0, 0, 1, 0, 9, 12, 18, 183, 11, 11, 183, 9, 7, 1, 9, 3, 18, 24, 6
INVAR-1, Run: 033, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 88, 2, 2, 88, 9, 7, 1, 9, 5, 18, 400, 196
INVAR-1, Run: 034, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 169, 7, 7, 169, 9, 6, 2, 9, 6, 18, 78, 36
INVAR-1, Run: 035, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 239, 9, 9, 239, 9, 3, 5, 9, 6, 18, 288, 141
INVAR-1, Run: 036, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 170, 6, 6, 170, 9, 6, 2, 9, 5, 18, 42, 17
INVAR-1, Run: 037, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 110, 3, 3, 110, 9, 7, 1, 9, 5, 18, 374, 183
INVAR-1, Run: 038, P, 0, 0, 74, 0, 0, 0, 0, 0, 2, 1, 2, 8, 10, 18, 127, 7, 5, 127, 9, 4, 4, 8, 4, 18, 30, 10
INVAR-1, Run: 039, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 157, 9, 9, 157, 9, 6, 2, 9, 6, 18, 42, 18
INVAR-1, Run: 040, P, 0, 1, 65, 0, 0, 0, 0, 0, 2, 1, 2, 8, 5, 18, 146, 7, 5, 146, 9, 4, 4, 8, 6, 18, 86, 40
INVAR-1, Run: 041, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 107, 2, 2, 107, 9, 7, 1, 9, 4, 18, 32, 11
INVAR-1, Run: 042, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 114, 7, 7, 114, 9, 4, 4, 9, 5, 18, 44, 18
INVAR-1, Run: 043, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 208, 8, 8, 208, 9, 6, 2, 9, 6, 18, 116, 55
INVAR-1, Run: 044, P, 0, 0, 62, 0, 0, 0, 0, 0, 0, 1, 0, 9, 4, 18, 126, 3, 3, 126, 9, 5, 3, 9, 7, 18, 8, 2
INVAR-1, Run: 045, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 139, 10, 8, 139, 9, 5, 3, 8, 6, 18, 50, 22
INVAR-1, Run: 046, P, 0, 0, 58, 0, 0, 0, 0, 0, 2, 1, 2, 8, 2, 18, 59, 6, 4, 59, 9, 3, 5, 8, 8, 18, 54, 26
INVAR-1, Run: 047, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 140, 6, 6, 140, 9, 5, 3, 9, 4, 18, 20, 5
INVAR-1, Run: 048, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 160, 2, 2, 160, 9, 4, 4, 9, 6, 18, 34, 14
INVAR-1, Run: 049, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 174, 4, 4, 174, 9, 6, 2, 9, 5, 18, 62, 27
INVAR-1, Run: 050, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 154, 7, 7, 154, 9, 6, 2, 9, 4, 18, 24, 7
INVAR-1, Run: 051, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 229, 9, 9, 229, 9, 8, 0, 9, 6, 18, 16, 5
INVAR-1, Run: 052, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 194, 6, 6, 194, 9, 6, 2, 9, 6, 18, 216, 105
INVAR-1, Run: 053, P, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 0, 9, 10, 18, 108, 4, 4, 108, 9, 4, 4, 9, 4, 18, 62, 26
INVAR-1, Run: 054, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 165, 3, 3, 165, 9, 4, 4, 9, 5, 18, 42, 17
INVAR-1, Run: 055, P, 0, 1, 57, 0, 0, 0, 0, 0, 0, 1, 0, 9, 1, 18, 73, 12, 12, 73, 9, 5, 3, 9, 8, 18, 34, 16
INVAR-1, Run: 056, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 105, 5, 5, 105, 9, 7, 1, 9, 6, 18, 42, 18
INVAR-1, Run: 057, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 162, 7, 7, 162, 9, 6, 2, 9, 6, 18, 56, 25
INVAR-1, Run: 058, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 163, 7, 7, 163, 9, 7, 1, 9, 5, 18, 128, 60
INVAR-1, Run: 059, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 119, 6, 4, 119, 9, 5, 3, 8, 5, 18, 18, 5
INVAR-1, Run: 060, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 157, 5, 3, 157, 9, 4, 4, 8, 6, 18, 54, 24
INVAR-1, Run: 061, P, 0, 1, 57, 0, 0, 0, 0, 0, 0, 1, 0, 9, 1, 18, 204, 13, 13, 204, 9, 3, 5, 9, 8, 18, 38, 18
INVAR-1, Run: 062, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 186, 5, 5, 186, 9, 4, 4, 9, 6, 18, 32, 13
INVAR-1, Run: 063, P, 0, 0, 74, 0, 0, 0, 0, 0, 2, 1, 2, 8, 10, 18, 154, 5, 3, 154, 9, 6, 2, 8, 4, 18, 66, 28
INVAR-1, Run: 064, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 101, 4, 2, 101, 9, 3, 5, 8, 7, 18, 68, 32
INVAR-1, Run: 065, P, 0, 1, 69, 0, 0, 0, 0, 0, 2, 1, 2, 8, 7, 18, 109, 11, 9, 109, 9, 5, 3, 8, 5, 18, 64, 28
INVAR-1, Run: 066, P, 0, 1, 73, 0, 0, 0, 0, 0, 2, 1, 2, 8, 9, 18, 144, 10, 8, 144, 9, 4, 4, 8, 4, 18, 32, 11
INVAR-1, Run: 067, P, 0, 0, 70, 0, 0, 0, 0, 0, 2, 1, 2, 8, 8, 18, 88, 7, 5, 88, 9, 3, 5, 8, 5, 18, 76, 34
INVAR-1, Run: 068, P, 0, 0, 66, 0, 0, 0, 0, 0, 0, 1, 0, 9, 6, 18, 108, 12, 12, 108, 9, 4, 4, 9, 6, 18, 22, 8
INVAR-1, Run: 069, P, 0, 1, 69, 0, 0, 0, 0, 0, 0, 1, 0, 9, 7, 18, 248, 3, 3, 248, 9, 7, 1, 9, 5, 18, 94, 43
INVAR-1, Run: 070, P, 0, 1, 73, 0, 0, 0, 0, 0, 0, 1, 0, 9, 9, 18, 160, 6, 6, 160, 9, 6, 2, 9, 4, 18, 48, 19
INVAR-1, Run: 071, P, 0, 0, 66, 0, 0, 0, 0, 0, 2, 1, 2, 8, 6, 18, 173, 8, 6, 173, 9, 6, 2, 8, 6, 18, 54, 24
INVAR-1, Run: 072, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 113, 9, 9, 113, 9, 3, 5, 9, 5, 18, 62, 27
INVAR-1, Run: 073, P, 0, 1, 73, 0, 0, 0, 0, 0, 0, 1, 0, 9, 9, 18, 217, 5, 5, 217, 9, 7, 1, 9, 4, 18, 18, 4
INVAR-1, Run: 074, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 78, 8, 6, 78, 9, 6, 2, 8, 7, 18, 56, 26
INVAR-1, Run: 075, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 104, 13, 11, 104, 9, 6, 2, 8, 7, 18, 112, 54
INVAR-1, Run: 076, P, 0, 0, 62, 0, 0, 0, 0, 0, 2, 1, 2, 8, 4, 18, 83, 8, 6, 83, 9, 5, 3, 8, 7, 18, 32, 14
INVAR-1, Run: 077, P, 0, 0, 70, 0, 0, 0, 0, 0, 0, 1, 0, 9, 8, 18, 94, 7, 7, 94, 9, 8, 0, 9, 5, 18, 20, 6
INVAR-1, Run: 078, P, 0, 1, 65, 0, 0, 0, 0, 0, 0, 1, 0, 9, 5, 18, 128, 8, 8, 128, 9, 3, 5, 9, 6, 18, 48, 21
