Input Number, Run_Number, Result@ 100, CO, X1, A, B, C, PO, D, Y, PE, CE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 68, 18, 176, 5, 5, 176, 9, 8, 0, 9, 9, 18, 54, 27
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 39, 18, 129, 4, 4, 129, 9, 7, 1, 9, 9, 18, 78, 39
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 117, 18, 105, 4, 4, 105, 9, 7, 1, 9, 9, 18, 64, 32
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 56, 18, 129, 3, 1, 129, 9, 8, 0, 8, 9, 18, 270, 135
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 153, 18, 172, 7, 7, 172, 9, 5, 3, 9, 9, 18, 90, 45
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 76, 18, 86, 1, 1, 86, 9, 8, 0, 9, 9, 18, 138, 69
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 38, 18, 103, 8, 8, 103, 9, 6, 2, 9, 9, 18, 48, 24
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 14, 18, 103, 6, 6, 103, 9, 7, 1, 9, 9, 18, 376, 188
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 23, 18, 121, 8, 8, 121, 9, 4, 4, 9, 9, 18, 190, 95
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 10, 18, 40, 2, 2, 40, 9, 7, 1, 9, 9, 18, 124, 62
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 66, 18, 168, 9, 7, 168, 9, 6, 2, 8, 9, 18, 44, 22
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 58, 18, 125, 6, 6, 125, 9, 3, 5, 9, 9, 18, 232, 116
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 28, 18, 145, 10, 8, 145, 9, 5, 3, 8, 9, 18, 258, 129
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 0, 54, 0, 1, 0, 9, 0, 32, 18, 79, 10, 10, 79, 9, 4, 4, 9, 9, 18, 124, 62
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 0, 54, 2, 1, 2, 8, 0, 11, 18, 50, 8, 6, 50, 9, 6, 2, 8, 9, 18, 86, 43
