Input Number, Run_Number, Result@ 100, CO, CE, X1, A, B, C, PO, D, Y, PE, E, F, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 38, 3614, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3652, 18, 91, 11, 49, 53, 9, 5, 3, 28, 9, 18, 56, 28
INVAR-1, Run: 002, F, 46, 4242, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4288, 18, 111, 16, 62, 65, 9, 7, 1, 32, 9, 18, 114, 57
INVAR-1, Run: 003, F, 18, 1695, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0, 1713, 18, 64, 9, 27, 46, 9, 7, 1, 18, 9, 18, 152, 76
INVAR-1, Run: 004, F, 6, 550, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 556, 18, 53, 4, 10, 47, 9, 5, 3, 12, 9, 18, 80, 40
INVAR-1, Run: 005, F, 12, 1174, 0, 0, 0, 0, 0, 42, 0, 1, 15, 0, 1186, 18, 98, 7, 19, 86, 9, 5, 3, 15, 9, 18, 70, 35
INVAR-1, Run: 006, F, 26, 2548, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0, 2574, 18, 74, 16, 42, 48, 9, 6, 2, 22, 9, 18, 28, 14
INVAR-1, Run: 007, F, 26, 2409, 0, 0, 0, 0, 0, 28, 0, 1, 22, 0, 2435, 18, 95, 8, 34, 69, 9, 3, 5, 22, 9, 18, 48, 24
INVAR-1, Run: 008, F, 46, 4552, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4598, 18, 92, 9, 55, 46, 9, 7, 1, 32, 9, 18, 140, 70
INVAR-1, Run: 009, F, 44, 4202, 0, 0, 0, 0, 0, 10, 0, 1, 31, 0, 4246, 18, 99, 12, 56, 55, 9, 8, 0, 31, 9, 18, 48, 24
INVAR-1, Run: 010, F, 46, 4426, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4472, 18, 176, 10, 56, 130, 9, 6, 2, 32, 9, 18, 62, 31
INVAR-1, Run: 011, F, 8, 811, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 819, 18, 57, 8, 16, 49, 9, 3, 5, 13, 9, 18, 258, 129
INVAR-1, Run: 012, F, 46, 4447, 0, 0, 0, 0, 0, 8, 0, 1, 32, 0, 4493, 18, 103, 7, 53, 57, 9, 6, 2, 32, 9, 18, 80, 40
INVAR-1, Run: 013, F, 8, 825, 0, 0, 0, 0, 0, 46, 0, 1, 13, 0, 833, 18, 47, 10, 18, 39, 9, 5, 3, 13, 9, 18, 124, 62
INVAR-1, Run: 014, F, 28, 2652, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0, 2680, 18, 47, 7, 35, 19, 9, 5, 3, 23, 9, 18, 48, 24
INVAR-1, Run: 015, F, 54, 5205, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0, 5259, 18, 93, 8, 62, 39, 9, 6, 2, 36, 9, 18, 38, 19
INVAR-1, Run: 016, F, 34, 3366, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0, 3400, 18, 67, 7, 41, 33, 9, 6, 2, 26, 9, 18, 40, 20
INVAR-1, Run: 017, F, 10, 1007, 0, 0, 0, 0, 0, 44, 0, 1, 14, 0, 1017, 18, 75, 11, 21, 65, 9, 4, 4, 14, 9, 18, 174, 87
INVAR-1, Run: 018, F, 38, 3736, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3774, 18, 65, 8, 46, 27, 9, 6, 2, 28, 9, 18, 72, 36
INVAR-1, Run: 019, F, 36, 3551, 0, 0, 0, 0, 0, 18, 0, 1, 27, 0, 3587, 18, 97, 14, 50, 61, 9, 7, 1, 27, 9, 18, 70, 35
INVAR-1, Run: 020, F, 24, 2314, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0, 2338, 18, 95, 4, 28, 71, 9, 6, 2, 21, 9, 18, 50, 25
INVAR-1, Run: 021, F, 6, 603, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 609, 18, 39, 10, 16, 33, 9, 4, 4, 12, 9, 18, 78, 39
INVAR-1, Run: 022, F, 24, 2362, 0, 0, 0, 0, 0, 30, 0, 1, 21, 0, 2386, 18, 115, 11, 35, 91, 9, 7, 1, 21, 9, 18, 54, 27
INVAR-1, Run: 023, F, 28, 2721, 0, 0, 0, 0, 0, 26, 0, 1, 23, 0, 2749, 18, 72, 12, 40, 44, 9, 6, 2, 23, 9, 18, 62, 31
INVAR-1, Run: 024, F, 18, 1889, 0, 0, 0, 0, 0, 36, 0, 1, 18, 0, 1907, 18, 50, 5, 23, 32, 9, 6, 2, 18, 9, 18, 36, 18
INVAR-1, Run: 025, F, 52, 5080, 0, 0, 0, 0, 0, 2, 0, 1, 35, 0, 5132, 18, 80, 3, 55, 28, 9, 6, 2, 35, 9, 18, 72, 36
INVAR-1, Run: 026, F, 6, 566, 0, 0, 0, 0, 0, 48, 0, 1, 12, 0, 572, 18, 73, 7, 13, 67, 9, 6, 2, 12, 9, 18, 252, 126
INVAR-1, Run: 027, F, 34, 3162, 0, 0, 0, 0, 0, 20, 0, 1, 26, 0, 3196, 18, 56, 6, 40, 22, 9, 6, 2, 26, 9, 18, 78, 39
INVAR-1, Run: 028, F, 50, 4849, 0, 0, 0, 0, 0, 4, 0, 1, 34, 0, 4899, 18, 110, 7, 57, 60, 9, 5, 3, 34, 9, 18, 44, 22
INVAR-1, Run: 029, F, 48, 4694, 0, 0, 0, 0, 0, 6, 0, 1, 33, 0, 4742, 18, 87, 13, 61, 39, 9, 6, 2, 33, 9, 18, 78, 39
INVAR-1, Run: 030, F, 38, 3696, 0, 0, 0, 0, 0, 16, 0, 1, 28, 0, 3734, 18, 78, 9, 47, 40, 9, 6, 2, 28, 9, 18, 70, 35
