Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, E, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 57, 5, 5, 57, 9, 6, 2, 18, 9, 18, 42, 21
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 74, 3, 3, 74, 9, 7, 1, 18, 9, 18, 46, 23
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 42, 3, 3, 42, 9, 7, 1, 18, 9, 18, 38, 19
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 72, 15, 15, 72, 9, 5, 3, 18, 9, 18, 52, 26
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 33, 8, 8, 33, 9, 7, 1, 18, 9, 18, 36, 18
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 73, 8, 8, 73, 9, 5, 3, 18, 9, 18, 32, 16
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 44, 5, 5, 44, 9, 3, 5, 18, 9, 18, 50, 25
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 75, 5, 5, 75, 9, 6, 2, 18, 9, 18, 38, 19
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 21, 4, 4, 21, 9, 6, 2, 18, 9, 18, 56, 28
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 48, 4, 4, 48, 9, 8, 0, 18, 9, 18, 80, 40
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 87, 4, 4, 87, 9, 5, 3, 18, 9, 18, 226, 113
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 53, 11, 11, 53, 9, 6, 2, 18, 9, 18, 86, 43
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 33, 9, 9, 33, 9, 5, 3, 18, 9, 18, 68, 34
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 43, 10, 10, 43, 9, 6, 2, 18, 9, 18, 8, 4
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 45, 4, 4, 45, 9, 7, 1, 18, 9, 18, 122, 61
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 36, 0, 0, 1, 0, 18, 0, 18, 36, 5, 5, 36, 9, 5, 3, 18, 9, 18, 54, 27
