Input Number, Run_Number, Result@ 100, X1, A, B, C, PO, D, CO, Y, PE, CE, F, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 92, 12, 12, 92, 9, 6, 11, 9, 9, 18, 164, 82
INVAR-1, Run: 002, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 167, 14, 14, 167, 9, 4, 13, 9, 9, 18, 126, 63
INVAR-1, Run: 003, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 141, 12, 10, 141, 9, 10, 6, 8, 9, 18, 208, 104
INVAR-1, Run: 004, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 226, 10, 10, 226, 9, 7, 10, 9, 9, 18, 122, 61
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 42, 7, 7, 42, 9, 6, 11, 9, 9, 18, 154, 77
INVAR-1, Run: 006, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 126, 9, 7, 126, 9, 6, 10, 8, 9, 18, 62, 31
INVAR-1, Run: 007, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 109, 8, 8, 109, 9, 8, 9, 9, 9, 18, 126, 63
INVAR-1, Run: 008, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 41, 12, 12, 41, 9, 8, 9, 9, 9, 18, 40, 20
INVAR-1, Run: 009, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 103, 10, 10, 103, 9, 11, 6, 9, 9, 18, 374, 187
INVAR-1, Run: 010, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 133, 8, 6, 133, 9, 9, 7, 8, 9, 18, 458, 229
INVAR-1, Run: 011, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 82, 10, 10, 82, 9, 6, 11, 9, 9, 18, 72, 36
INVAR-1, Run: 012, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 86, 16, 14, 86, 9, 7, 9, 8, 9, 18, 100, 50
INVAR-1, Run: 013, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 73, 10, 8, 73, 9, 9, 7, 8, 9, 18, 288, 144
INVAR-1, Run: 014, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 106, 13, 13, 106, 9, 5, 12, 9, 9, 18, 72, 36
INVAR-1, Run: 015, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 73, 16, 14, 73, 9, 6, 10, 8, 9, 18, 256, 128
INVAR-1, Run: 016, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 93, 5, 5, 93, 9, 8, 9, 9, 9, 18, 104, 52
INVAR-1, Run: 017, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 172, 12, 12, 172, 9, 12, 5, 9, 9, 18, 208, 104
INVAR-1, Run: 018, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 109, 4, 4, 109, 9, 10, 7, 9, 9, 18, 60, 30
INVAR-1, Run: 019, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 129, 17, 15, 129, 9, 11, 5, 8, 9, 18, 274, 137
INVAR-1, Run: 020, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 157, 8, 8, 157, 9, 12, 5, 9, 9, 18, 74, 37
INVAR-1, Run: 021, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 65, 6, 6, 65, 9, 9, 8, 9, 9, 18, 40, 20
INVAR-1, Run: 022, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 109, 9, 9, 109, 9, 8, 9, 9, 9, 18, 570, 285
INVAR-1, Run: 023, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 199, 12, 12, 199, 9, 7, 10, 9, 9, 18, 148, 74
INVAR-1, Run: 024, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 84, 7, 7, 84, 9, 11, 6, 9, 9, 18, 66, 33
INVAR-1, Run: 025, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 92, 3, 1, 92, 9, 11, 5, 8, 9, 18, 170, 85
INVAR-1, Run: 026, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 192, 17, 17, 192, 9, 12, 5, 9, 9, 18, 154, 77
INVAR-1, Run: 027, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 55, 7, 7, 55, 9, 7, 10, 9, 9, 18, 38, 19
INVAR-1, Run: 028, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 130, 10, 10, 130, 9, 9, 8, 9, 9, 18, 148, 74
INVAR-1, Run: 029, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 27, 13, 11, 27, 9, 5, 11, 8, 9, 18, 44, 22
INVAR-1, Run: 030, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 150, 5, 5, 150, 9, 8, 9, 9, 9, 18, 120, 60
INVAR-1, Run: 031, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 113, 9, 7, 113, 9, 9, 7, 8, 9, 18, 120, 60
INVAR-1, Run: 032, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 126, 9, 9, 126, 9, 12, 5, 9, 9, 18, 98, 49
INVAR-1, Run: 033, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 107, 5, 5, 107, 9, 9, 8, 9, 9, 18, 154, 77
INVAR-1, Run: 034, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 127, 6, 6, 127, 9, 12, 5, 9, 9, 18, 182, 91
INVAR-1, Run: 035, P, 0, 0, 0, 0, 0, 54, 0, 0, 1, 0, 0, 18, 145, 7, 7, 145, 9, 13, 4, 9, 9, 18, 102, 51
INVAR-1, Run: 036, P, 0, 0, 0, 0, 0, 54, 0, 2, 1, 2, 0, 18, 111, 15, 13, 111, 9, 9, 7, 8, 9, 18, 160, 80
