Input Number, Run_Number, Result@ 100, an, Leaderag, LeaderX1, X1, ac, ad, Leaderac, af, ag, ACuAEX1, ACuAEab, A, ah, X1uABX1, SetX1X1, Leaderad, ak, al, ADuAFX1, ADuAFab, aj, SetABf, Leaderah, ao, ar, X1uABab, AGuAIX1, AGuAIab, Leaderai, AIuAJX1, AIuAJab, SetABX1, aq, AHuAKX1, AHuAKab, Leaderak, at, au, SetABab, SetX1ab, Leaderan, Y, ANuAOX1, ab, ANuAOab, Leaderao, ANuAPX1, ANuAPab, SetX1f, Leaderap, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction48, Reaction49, Reaction5, Reaction50, Reaction51, Reaction52, Reaction53, Reaction54, Reaction55, Reaction56, Reaction57, Reaction58, Reaction59, Reaction6, Reaction60, Reaction61, Reaction62, Reaction63, Reaction64, Reaction65, Reaction66, Reaction67, Reaction68, Reaction69, Reaction7, Reaction70, Reaction71, Reaction72, Reaction73, Reaction74, Reaction75, Reaction76, Reaction77, Reaction78, Reaction79, Reaction8, Reaction80, Reaction81, Reaction82, Reaction83, Reaction84, Reaction85, Reaction86, Reaction87, Reaction88, Reaction89, Reaction9, Reaction90, Reaction91
INVAR-1, Run: 001, P, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 15, 8, 1, 0, 7, 2, 0, 1, 1, 5, 2, 2, 1, 18, 0, 0, 9, 1, 10, 2, 1, 1, 1, 9, 0, 0, 18, 2, 20, 4, 2, 0, 0, 11, 0, 2, 2, 3, 3, 1, 18, 0, 0, 16, 5, 3, 17, 4, 1, 1, 1, 1, 1, 0, 0, 15, 0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 7, 11, 3, 13, 4, 1, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 002, P, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 15, 8, 1, 0, 9, 0, 0, 5, 2, 7, 3, 3, 1, 16, 2, 0, 23, 6, 26, 7, 1, 1, 0, 9, 0, 0, 61, 14, 65, 18, 4, 0, 0, 1, 0, 15, 6, 16, 7, 1, 15, 3, 0, 11, 0, 3, 15, 4, 1, 1, 1, 1, 1, 0, 0, 5, 0, 24, 2, 0, 0, 0, 0, 0, 0, 0, 1, 31, 10, 34, 10, 0, 0, 0, 0, 29, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 003, P, 0, 6, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 9, 16, 8, 1, 0, 8, 1, 0, 11, 4, 14, 5, 2, 1, 17, 1, 0, 21, 3, 23, 4, 1, 1, 0, 9, 0, 0, 27, 9, 31, 13, 4, 0, 0, 19, 0, 3, 1, 4, 2, 1, 17, 1, 0, 14, 6, 7, 16, 8, 1, 1, 1, 1, 1, 0, 0, 22, 0, 30, 3, 0, 0, 0, 0, 0, 0, 0, 7, 7, 0, 11, 1, 0, 0, 0, 0, 22, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 004, P, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 17, 8, 1, 0, 9, 0, 0, 16, 5, 18, 6, 1, 1, 13, 4, 1, 1, 0, 7, 2, 1, 1, 0, 8, 1, 0, 53, 9, 58, 13, 4, 0, 0, 3, 0, 16, 1, 17, 2, 1, 18, 0, 0, 10, 1, 2, 11, 3, 1, 1, 1, 1, 1, 0, 0, 5, 0, 28, 4, 0, 0, 0, 0, 0, 0, 0, 2, 26, 11, 31, 12, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 18, 18, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 9, 0, 0, 8, 1, 0, 17, 4, 19, 5, 2, 1, 15, 2, 1, 50, 10, 54, 11, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 006, P, 0, 8, 0, 0, 2, 0, 0, 1, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 55, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 8, 0, 0, 8, 0, 0, 0, 0, 1, 1, 5, 1, 18, 0, 0, 36, 7, 37, 8, 1, 1, 0, 9, 0, 0, 23, 3, 25, 5, 2, 0, 0, 16, 0, 2, 1, 3, 2, 1, 17, 0, 1, 5, 4, 1, 7, 3, 1, 1, 1, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 007, P, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 8, 16, 7, 2, 0, 7, 2, 0, 4, 0, 9, 1, 1, 1, 15, 2, 0, 0, 0, 3, 1, 1, 1, 1, 8, 0, 0, 44, 13, 49, 18, 5, 1, 0, 9, 0, 22, 5, 23, 6, 1, 14, 2, 1, 3, 5, 0, 7, 2, 1, 1, 1, 1, 1, 0, 0, 12, 0, 34, 1, 0, 0, 0, 0, 0, 0, 0, 7, 1, 0, 3, 1, 1, 0, 0, 0, 17, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 008, P, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 9, 15, 8, 1, 0, 8, 1, 0, 16, 2, 19, 3, 3, 1, 17, 0, 1, 17, 2, 19, 4, 1, 1, 0, 9, 0, 0, 37, 4, 39, 6, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 14, 3, 1, 4, 0, 1, 9, 3, 1, 1, 1, 1, 1, 0, 0, 6, 0, 31, 1, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 5, 1, 1, 0, 0, 0, 23, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
INVAR-1, Run: 009, P, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 7, 2, 0, 8, 0, 0, 14, 2, 17, 3, 3, 1, 17, 0, 0, 11, 1, 12, 2, 1, 1, 0, 8, 0, 0, 29, 6, 35, 12, 6, 1, 0, 1, 0, 14, 1, 15, 2, 1, 14, 3, 0, 40, 1, 10, 44, 11, 1, 1, 1, 1, 1, 0, 0, 5, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 34, 0, 0, 0, 0, 0, 9, 2, 9, 1, 2, 0
INVAR-1, Run: 010, P, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 17, 8, 1, 0, 9, 0, 0, 10, 5, 12, 6, 1, 1, 17, 1, 0, 34, 4, 36, 5, 1, 1, 0, 9, 0, 0, 18, 3, 20, 5, 2, 0, 0, 15, 0, 2, 1, 3, 2, 1, 16, 2, 0, 10, 5, 3, 13, 4, 1, 1, 1, 1, 1, 0, 0, 17, 0, 26, 2, 0, 0, 0, 0, 0, 0, 0, 6, 8, 3, 11, 3, 0, 0, 0, 0, 27, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
