Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A12,INVAR-1,100,0,0,0,0,0
A12,INVAR-10,100,0,0,0,0,0
A12,INVAR-11,100,0,0,0,0,0
A12,INVAR-12,100,0,0,0,0,0
A12,INVAR-13,100,0,0,0,0,0
A12,INVAR-14,100,0,0,0,0,0
A12,INVAR-2,100,0,0,0,0,0
A12,INVAR-3,100,0,0,0,0,0
A12,INVAR-4,100,0,0,0,0,0
A12,INVAR-5,100,0,0,0,0,0
A12,INVAR-6,100,0,0,0,0,0
A12,INVAR-7,100,0,0,0,0,0
A12,INVAR-8,100,0,0,0,0,0
A12,INVAR-9,100,0,0,0,0,0
A13,INVAR-1,100,0,0,0,0,0
A13,INVAR-10,100,0,0,0,0,0
A13,INVAR-11,100,0,0,0,0,0
A13,INVAR-12,100,0,0,0,0,0
A13,INVAR-13,100,0,0,0,0,0
A13,INVAR-14,100,0,0,0,0,0
A13,INVAR-2,100,0,0,0,0,0
A13,INVAR-3,100,0,0,0,0,0
A13,INVAR-4,100,0,0,0,0,0
A13,INVAR-5,100,0,0,0,0,0
A13,INVAR-6,100,0,0,0,0,0
A13,INVAR-7,100,0,0,0,0,0
A13,INVAR-8,100,0,0,0,0,0
A13,INVAR-9,100,0,0,0,0,0
A14,INVAR-1,100,0,0,0,0,0
A14,INVAR-10,100,0,0,0,0,0
A14,INVAR-11,100,0,0,0,0,0
A14,INVAR-12,100,0,0,0,0,0
A14,INVAR-13,100,0,0,0,0,0
A14,INVAR-14,100,0,0,0,0,0
A14,INVAR-2,100,0,0,0,0,0
A14,INVAR-3,100,0,0,0,0,0
A14,INVAR-4,100,0,0,0,0,0
A14,INVAR-5,100,0,0,0,0,0
A14,INVAR-6,100,0,0,0,0,0
A14,INVAR-7,100,0,0,0,0,0
A14,INVAR-8,100,0,0,0,0,0
A14,INVAR-9,100,0,0,0,0,0
A15,INVAR-1,100,0,0,0,0,0
A15,INVAR-10,100,0,0,0,0,0
A15,INVAR-11,100,0,0,0,0,0
A15,INVAR-12,100,0,0,0,0,0
A15,INVAR-13,100,0,0,0,0,0
A15,INVAR-14,100,0,0,0,0,0
A15,INVAR-2,100,0,0,0,0,0
A15,INVAR-3,100,0,0,0,0,0
A15,INVAR-4,100,0,0,0,0,0
A15,INVAR-5,100,0,0,0,0,0
A15,INVAR-6,100,0,0,0,0,0
A15,INVAR-7,100,0,0,0,0,0
A15,INVAR-8,100,0,0,0,0,0
A15,INVAR-9,100,0,0,0,0,0
A16,INVAR-1,100,51,0,0,0,51
A16,INVAR-10,100,50,0,0,0,50
A16,INVAR-11,100,45,0,0,0,45
A16,INVAR-12,100,58,0,0,0,58
A16,INVAR-13,100,62,0,0,0,62
A16,INVAR-14,100,63,0,0,0,63
A16,INVAR-2,100,48,0,0,0,48
A16,INVAR-3,100,52,0,0,0,52
A16,INVAR-4,100,44,0,0,0,44
A16,INVAR-5,100,54,0,0,0,54
A16,INVAR-6,100,57,0,0,0,57
A16,INVAR-7,100,62,0,0,0,62
A16,INVAR-8,100,50,0,0,0,50
A16,INVAR-9,100,51,0,0,0,51
A17,INVAR-1,100,0,0,0,0,0
A17,INVAR-10,100,0,0,0,0,0
A17,INVAR-11,100,0,0,0,0,0
A17,INVAR-12,100,0,0,0,0,0
A17,INVAR-13,100,0,0,0,0,0
A17,INVAR-14,100,0,0,0,0,0
A17,INVAR-2,100,0,0,0,0,0
A17,INVAR-3,100,0,0,0,0,0
A17,INVAR-4,100,0,0,0,0,0
A17,INVAR-5,100,0,0,0,0,0
A17,INVAR-6,100,0,0,0,0,0
A17,INVAR-7,100,0,0,0,0,0
A17,INVAR-8,100,0,0,0,0,0
A17,INVAR-9,100,0,0,0,0,0
A18,INVAR-1,100,51,0,0,0,51
A18,INVAR-10,100,50,0,0,0,50
A18,INVAR-11,100,45,0,0,0,45
A18,INVAR-12,100,58,0,0,0,58
