Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A1,INVAR-1,100,100,0,0,0,100
A1,INVAR-10,100,100,0,0,0,100
A1,INVAR-11,100,100,0,0,0,100
A1,INVAR-12,100,100,0,0,0,100
A1,INVAR-13,100,100,0,0,0,100
A1,INVAR-14,100,100,0,0,0,100
A1,INVAR-2,100,100,0,0,0,100
A1,INVAR-3,100,100,0,0,0,100
A1,INVAR-4,100,100,0,0,0,100
A1,INVAR-5,100,100,0,0,0,100
A1,INVAR-6,100,100,0,0,0,100
A1,INVAR-7,100,100,0,0,0,100
A1,INVAR-8,100,100,0,0,0,100
A1,INVAR-9,100,100,0,0,0,100
A10,INVAR-1,100,0,0,0,0,0
A10,INVAR-10,100,0,0,0,0,0
A10,INVAR-11,100,0,0,0,0,0
A10,INVAR-12,100,0,0,0,0,0
A10,INVAR-13,100,0,0,0,0,0
A10,INVAR-14,100,0,0,0,0,0
A10,INVAR-2,100,0,0,0,0,0
A10,INVAR-3,100,0,0,0,0,0
A10,INVAR-4,100,0,0,0,0,0
A10,INVAR-5,100,0,0,0,0,0
A10,INVAR-6,100,0,0,0,0,0
A10,INVAR-7,100,0,0,0,0,0
A10,INVAR-8,100,0,0,0,0,0
A10,INVAR-9,100,0,0,0,0,0
A11,INVAR-1,100,0,0,0,0,0
A11,INVAR-10,100,0,0,0,0,0
A11,INVAR-11,100,0,0,0,0,0
A11,INVAR-12,100,0,0,0,0,0
A11,INVAR-13,100,0,0,0,0,0
A11,INVAR-14,100,0,0,0,0,0
A11,INVAR-2,100,0,0,0,0,0
A11,INVAR-3,100,0,0,0,0,0
A11,INVAR-4,100,0,0,0,0,0
A11,INVAR-5,100,0,0,0,0,0
A11,INVAR-6,100,0,0,0,0,0
A11,INVAR-7,100,0,0,0,0,0
A11,INVAR-8,100,0,0,0,0,0
A11,INVAR-9,100,0,0,0,0,0
A2,INVAR-1,100,100,0,0,0,100
A2,INVAR-10,100,100,0,0,0,100
A2,INVAR-11,100,100,0,0,0,100
A2,INVAR-12,100,100,0,0,0,100
A2,INVAR-13,100,100,0,0,0,100
A2,INVAR-14,100,100,0,0,0,100
A2,INVAR-2,100,100,0,0,0,100
A2,INVAR-3,100,100,0,0,0,100
A2,INVAR-4,100,100,0,0,0,100
A2,INVAR-5,100,100,0,0,0,100
A2,INVAR-6,100,100,0,0,0,100
A2,INVAR-7,100,100,0,0,0,100
A2,INVAR-8,100,100,0,0,0,100
A2,INVAR-9,100,100,0,0,0,100
A3,INVAR-1,100,100,0,0,0,100
A3,INVAR-10,100,100,0,0,0,100
A3,INVAR-11,100,100,0,0,0,100
A3,INVAR-12,100,100,0,0,0,100
A3,INVAR-13,100,100,0,0,0,100
A3,INVAR-14,100,100,0,0,0,100
A3,INVAR-2,100,100,0,0,0,100
A3,INVAR-3,100,100,0,0,0,100
A3,INVAR-4,100,100,0,0,0,100
A3,INVAR-5,100,100,0,0,0,100
A3,INVAR-6,100,100,0,0,0,100
A3,INVAR-7,100,100,0,0,0,100
A3,INVAR-8,100,100,0,0,0,100
A3,INVAR-9,100,100,0,0,0,100
A4,INVAR-1,100,0,0,0,0,0
A4,INVAR-10,100,0,0,0,0,0
A4,INVAR-11,100,0,0,0,0,0
A4,INVAR-12,100,0,0,0,0,0
A4,INVAR-13,100,0,0,0,0,0
A4,INVAR-14,100,0,0,0,0,0
A4,INVAR-2,100,0,0,0,0,0
A4,INVAR-3,100,0,0,0,0,0
A4,INVAR-4,100,0,0,0,0,0
A4,INVAR-5,100,0,0,0,0,0
A4,INVAR-6,100,0,0,0,0,0
A4,INVAR-7,100,0,0,0,0,0
A4,INVAR-8,100,0,0,0,0,0
A4,INVAR-9,100,0,0,0,0,0
A5,INVAR-1,100,100,0,0,0,100
A5,INVAR-10,100,100,0,0,0,100
A5,INVAR-11,100,100,0,0,0,100
A5,INVAR-12,100,100,0,0,0,100
A5,INVAR-13,100,100,0,0,0,100
A5,INVAR-14,100,100,0,0,0,100
A5,INVAR-2,100,100,0,0,0,100
A5,INVAR-3,100,100,0,0,0,100
A5,INVAR-4,100,100,0,0,0,100
A5,INVAR-5,100,100,0,0,0,100
A5,INVAR-6,100,100,0,0,0,100
A5,INVAR-7,100,100,0,0,0,100
A5,INVAR-8,100,100,0,0,0,100
A5,INVAR-9,100,100,0,0,0,100
A6,INVAR-1,100,100,0,0,0,100
A6,INVAR-10,100,100,0,0,0,100
A6,INVAR-11,100,100,0,0,0,100
A6,INVAR-12,100,100,0,0,0,100
