Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A28,INVAR-1,100,0,0,0,0,0
A28,INVAR-10,100,0,0,0,0,0
A28,INVAR-11,100,0,0,0,0,0
A28,INVAR-12,100,0,0,0,0,0
A28,INVAR-13,100,0,0,0,0,0
A28,INVAR-14,100,0,0,0,0,0
A28,INVAR-2,100,0,0,0,0,0
A28,INVAR-3,100,0,0,0,0,0
A28,INVAR-4,100,0,0,0,0,0
A28,INVAR-5,100,0,0,0,0,0
A28,INVAR-6,100,0,0,0,0,0
A28,INVAR-7,100,0,0,0,0,0
A28,INVAR-8,100,0,0,0,0,0
A28,INVAR-9,100,0,0,0,0,0
A29,INVAR-1,100,0,0,0,0,0
A29,INVAR-10,100,0,0,0,0,0
A29,INVAR-11,100,0,0,0,0,0
A29,INVAR-12,100,0,0,0,0,0
A29,INVAR-13,100,0,0,0,0,0
A29,INVAR-14,100,0,0,0,0,0
A29,INVAR-2,100,0,0,0,0,0
A29,INVAR-3,100,0,0,0,0,0
A29,INVAR-4,100,0,0,0,0,0
A29,INVAR-5,100,0,0,0,0,0
A29,INVAR-6,100,0,0,0,0,0
A29,INVAR-7,100,0,0,0,0,0
A29,INVAR-8,100,0,0,0,0,0
A29,INVAR-9,100,0,0,0,0,0
A30,INVAR-1,100,0,0,0,0,0
A30,INVAR-10,100,0,0,0,0,0
A30,INVAR-11,100,0,0,0,0,0
A30,INVAR-12,100,0,0,0,0,0
A30,INVAR-13,100,0,0,0,0,0
A30,INVAR-14,100,0,0,0,0,0
A30,INVAR-2,100,0,0,0,0,0
A30,INVAR-3,100,0,0,0,0,0
A30,INVAR-4,100,0,0,0,0,0
A30,INVAR-5,100,0,0,0,0,0
A30,INVAR-6,100,0,0,0,0,0
A30,INVAR-7,100,0,0,0,0,0
A30,INVAR-8,100,0,0,0,0,0
A30,INVAR-9,100,0,0,0,0,0
A31,INVAR-1,100,0,0,0,0,0
A31,INVAR-10,100,0,0,0,0,0
A31,INVAR-11,100,0,0,0,0,0
A31,INVAR-12,100,0,0,0,0,0
A31,INVAR-13,100,0,0,0,0,0
A31,INVAR-14,100,0,0,0,0,0
A31,INVAR-2,100,0,0,0,0,0
A31,INVAR-3,100,0,0,0,0,0
A31,INVAR-4,100,0,0,0,0,0
A31,INVAR-5,100,0,0,0,0,0
A31,INVAR-6,100,0,0,0,0,0
A31,INVAR-7,100,0,0,0,0,0
A31,INVAR-8,100,0,0,0,0,0
A31,INVAR-9,100,0,0,0,0,0
A32,INVAR-1,100,0,0,0,0,0
A32,INVAR-10,100,0,0,0,0,0
A32,INVAR-11,100,0,0,0,0,0
A32,INVAR-12,100,0,0,0,0,0
A32,INVAR-13,100,0,0,0,0,0
A32,INVAR-14,100,0,0,0,0,0
A32,INVAR-2,100,0,0,0,0,0
A32,INVAR-3,100,0,0,0,0,0
A32,INVAR-4,100,0,0,0,0,0
A32,INVAR-5,100,0,0,0,0,0
A32,INVAR-6,100,0,0,0,0,0
A32,INVAR-7,100,0,0,0,0,0
A32,INVAR-8,100,0,0,0,0,0
A32,INVAR-9,100,0,0,0,0,0
A33,INVAR-1,100,68,0,0,0,68
A33,INVAR-10,100,63,0,0,0,63
A33,INVAR-11,100,80,0,0,0,80
A33,INVAR-12,100,71,0,0,0,71
A33,INVAR-13,100,71,0,0,0,71
A33,INVAR-14,100,62,0,0,0,62
A33,INVAR-2,100,74,0,0,0,74
A33,INVAR-3,100,69,0,0,0,69
A33,INVAR-4,100,65,0,0,0,65
A33,INVAR-5,100,80,0,0,0,80
A33,INVAR-6,100,66,0,0,0,66
A33,INVAR-7,100,81,0,0,0,81
A33,INVAR-8,100,73,0,0,0,73
A33,INVAR-9,100,68,0,0,0,68
A34,INVAR-1,100,0,0,0,0,0
A34,INVAR-10,100,0,0,0,0,0
A34,INVAR-11,100,0,0,0,0,0
A34,INVAR-12,100,0,0,0,0,0
A34,INVAR-13,100,0,0,0,0,0
A34,INVAR-14,100,0,0,0,0,0
A34,INVAR-2,100,0,0,0,0,0
A34,INVAR-3,100,0,0,0,0,0
A34,INVAR-4,100,0,0,0,0,0
A34,INVAR-5,100,0,0,0,0,0
A34,INVAR-6,100,0,0,0,0,0
A34,INVAR-7,100,0,0,0,0,0
A34,INVAR-8,100,0,0,0,0,0
A34,INVAR-9,100,0,0,0,0,0
A35,INVAR-1,100,68,0,0,0,68
A35,INVAR-10,100,63,0,0,0,63
A35,INVAR-11,100,80,0,0,0,80
A35,INVAR-12,100,71,0,0,0,71
A35,INVAR-13,100,71,0,0,0,71
A35,INVAR-14,100,62,0,0,0,62
A35,INVAR-2,100,74,0,0,0,74
A35,INVAR-3,100,69,0,0,0,69
A35,INVAR-4,100,65,0,0,0,65
A35,INVAR-5,100,80,0,0,0,80
A35,INVAR-6,100,66,0,0,0,66
A35,INVAR-7,100,81,0,0,0,81
A35,INVAR-8,100,73,0,0,0,73
A35,INVAR-9,100,68,0,0,0,68
A36,INVAR-1,100,0,0,0,0,0
A36,INVAR-10,100,0,0,0,0,0
A36,INVAR-11,100,0,0,0,0,0
A36,INVAR-12,100,0,0,0,0,0
A36,INVAR-13,100,0,0,0,0,0
A36,INVAR-14,100,0,0,0,0,0
A36,INVAR-2,100,0,0,0,0,0
A36,INVAR-3,100,0,0,0,0,0
A36,INVAR-4,100,0,0,0,0,0
A36,INVAR-5,100,0,0,0,0,0
A36,INVAR-6,100,0,0,0,0,0
A36,INVAR-7,100,0,0,0,0,0
A36,INVAR-8,100,0,0,0,0,0
A36,INVAR-9,100,0,0,0,0,0
A37,INVAR-1,100,68,0,0,0,68
A37,INVAR-10,100,63,0,0,0,63
A37,INVAR-11,100,80,0,0,0,80
A37,INVAR-12,100,71,0,0,0,71
A37,INVAR-13,100,71,0,0,0,71
A37,INVAR-14,100,62,0,0,0,62
A37,INVAR-2,100,74,0,0,0,74
A37,INVAR-3,100,69,0,0,0,69
A37,INVAR-4,100,65,0,0,0,65
A37,INVAR-5,100,80,0,0,0,80
A37,INVAR-6,100,66,0,0,0,66
A37,INVAR-7,100,81,0,0,0,81
A37,INVAR-8,100,73,0,0,0,73
A37,INVAR-9,100,68,0,0,0,68
A38,INVAR-1,100,0,0,0,0,0
A38,INVAR-10,100,0,0,0,0,0
A38,INVAR-11,100,0,0,0,0,0
A38,INVAR-12,100,0,0,0,0,0
A38,INVAR-13,100,0,0,0,0,0
A38,INVAR-14,100,0,0,0,0,0
A38,INVAR-2,100,0,0,0,0,0
A38,INVAR-3,100,0,0,0,0,0
A38,INVAR-4,100,0,0,0,0,0
A38,INVAR-5,100,0,0,0,0,0
A38,INVAR-6,100,0,0,0,0,0
A38,INVAR-7,100,0,0,0,0,0
A38,INVAR-8,100,0,0,0,0,0
A38,INVAR-9,100,0,0,0,0,0
A39,INVAR-1,100,68,0,0,0,68
A39,INVAR-10,100,63,0,0,0,63
A39,INVAR-11,100,80,0,0,0,80
