Input Number, Run_Number, Result@ 100, YP, Z, Y, X, XP, NEW_REACTION, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, P, 0, 24, 14, 0, 0, 1282, 24, 1306, 24
INVAR-1, Run: 002, P, 2, 26, 12, 0, 0, 1347, 24, 1373, 24
INVAR-1, Run: 003, P, 1, 25, 13, 0, 0, 1306, 24, 1331, 24
INVAR-1, Run: 004, P, 2, 26, 12, 0, 0, 1313, 24, 1339, 24
INVAR-1, Run: 005, P, 0, 24, 14, 0, 0, 1338, 24, 1362, 24
INVAR-1, Run: 006, P, 1, 25, 13, 0, 0, 1379, 24, 1404, 24
INVAR-1, Run: 007, P, 1, 25, 13, 0, 0, 1354, 24, 1379, 24
INVAR-1, Run: 008, P, 0, 24, 14, 0, 0, 1344, 24, 1368, 24
INVAR-1, Run: 009, P, 0, 24, 14, 0, 0, 1334, 24, 1358, 24
INVAR-1, Run: 010, P, 0, 24, 14, 0, 0, 1355, 24, 1379, 24
INVAR-1, Run: 011, P, 0, 24, 14, 0, 0, 1360, 24, 1384, 24
INVAR-1, Run: 012, P, 0, 24, 14, 0, 0, 1350, 24, 1374, 24
INVAR-1, Run: 013, P, 0, 24, 14, 0, 0, 1375, 24, 1399, 24
INVAR-1, Run: 014, P, 0, 24, 14, 0, 0, 1348, 24, 1372, 24
INVAR-1, Run: 015, P, 1, 25, 13, 0, 0, 1287, 24, 1312, 24
INVAR-1, Run: 016, P, 1, 25, 13, 0, 0, 1311, 24, 1336, 24
INVAR-1, Run: 017, P, 3, 27, 11, 0, 0, 1397, 24, 1424, 24
INVAR-1, Run: 018, P, 0, 24, 14, 0, 0, 1350, 24, 1374, 24
INVAR-1, Run: 019, P, 1, 25, 13, 0, 0, 1389, 24, 1414, 24
INVAR-1, Run: 020, P, 0, 24, 14, 0, 0, 1375, 24, 1399, 24
INVAR-1, Run: 021, P, 0, 24, 14, 0, 0, 1379, 24, 1403, 24
INVAR-1, Run: 022, P, 1, 25, 13, 0, 0, 1356, 24, 1381, 24
INVAR-1, Run: 023, P, 1, 25, 13, 0, 0, 1387, 24, 1412, 24
INVAR-1, Run: 024, P, 0, 24, 14, 0, 0, 1365, 24, 1389, 24
INVAR-1, Run: 025, P, 0, 24, 14, 0, 0, 1341, 24, 1365, 24
INVAR-1, Run: 026, P, 1, 25, 13, 0, 0, 1391, 24, 1416, 24
INVAR-1, Run: 027, P, 0, 24, 14, 0, 0, 1405, 24, 1429, 24
INVAR-1, Run: 028, P, 0, 24, 14, 0, 0, 1378, 24, 1402, 24
INVAR-1, Run: 029, P, 0, 24, 14, 0, 0, 1424, 24, 1448, 24
INVAR-1, Run: 030, P, 1, 25, 13, 0, 0, 1371, 24, 1396, 24
INVAR-1, Run: 031, P, 1, 25, 13, 0, 0, 1382, 24, 1407, 24
INVAR-1, Run: 032, P, 0, 24, 14, 0, 0, 1406, 24, 1430, 24
INVAR-1, Run: 033, P, 0, 24, 14, 0, 0, 1341, 24, 1365, 24
INVAR-1, Run: 034, P, 0, 24, 14, 0, 0, 1325, 24, 1349, 24
INVAR-1, Run: 035, P, 0, 24, 14, 0, 0, 1383, 24, 1407, 24
INVAR-1, Run: 036, P, 1, 25, 13, 0, 0, 1367, 24, 1392, 24
INVAR-1, Run: 037, P, 0, 24, 14, 0, 0, 1373, 24, 1397, 24
INVAR-1, Run: 038, P, 0, 24, 14, 0, 0, 1380, 24, 1404, 24
INVAR-1, Run: 039, P, 1, 25, 13, 0, 0, 1343, 24, 1368, 24
INVAR-1, Run: 040, P, 1, 25, 13, 0, 0, 1367, 24, 1392, 24
INVAR-1, Run: 041, P, 1, 25, 13, 0, 0, 1312, 24, 1337, 24
INVAR-1, Run: 042, P, 1, 25, 13, 0, 0, 1341, 24, 1366, 24
INVAR-1, Run: 043, P, 2, 26, 12, 0, 0, 1307, 24, 1333, 24
INVAR-1, Run: 044, P, 0, 24, 14, 0, 0, 1303, 24, 1327, 24
INVAR-1, Run: 045, P, 0, 24, 14, 0, 0, 1280, 24, 1304, 24
INVAR-1, Run: 046, P, 0, 24, 14, 0, 0, 1359, 24, 1383, 24
INVAR-1, Run: 047, P, 1, 25, 13, 0, 0, 1405, 24, 1430, 24
INVAR-1, Run: 048, P, 2, 26, 12, 0, 0, 1395, 24, 1421, 24
INVAR-1, Run: 049, P, 0, 24, 14, 0, 0, 1363, 24, 1387, 24
INVAR-1, Run: 050, P, 0, 24, 14, 0, 0, 1328, 24, 1352, 24
INVAR-1, Run: 051, P, 0, 24, 14, 0, 0, 1373, 24, 1397, 24
INVAR-1, Run: 052, P, 1, 25, 13, 0, 0, 1301, 24, 1326, 24
INVAR-1, Run: 053, P, 0, 24, 14, 0, 0, 1318, 24, 1342, 24
INVAR-1, Run: 054, P, 0, 24, 14, 0, 0, 1285, 24, 1309, 24
INVAR-1, Run: 055, P, 1, 25, 13, 0, 0, 1279, 24, 1304, 24
INVAR-1, Run: 056, P, 0, 24, 14, 0, 0, 1347, 24, 1371, 24
INVAR-1, Run: 057, P, 3, 27, 11, 0, 0, 1370, 24, 1397, 24
INVAR-1, Run: 058, P, 0, 24, 14, 0, 0, 1309, 24, 1333, 24
INVAR-1, Run: 059, P, 1, 25, 13, 0, 0, 1301, 24, 1326, 24
INVAR-1, Run: 060, P, 1, 25, 13, 0, 0, 1332, 24, 1357, 24
INVAR-1, Run: 061, P, 0, 24, 14, 0, 0, 1340, 24, 1364, 24
INVAR-1, Run: 062, P, 0, 24, 14, 0, 0, 1286, 24, 1310, 24
INVAR-1, Run: 063, P, 0, 24, 14, 0, 0, 1338, 24, 1362, 24
INVAR-1, Run: 064, P, 1, 25, 13, 0, 0, 1377, 24, 1402, 24
INVAR-1, Run: 065, P, 0, 24, 14, 0, 0, 1369, 24, 1393, 24
INVAR-1, Run: 066, P, 0, 24, 14, 0, 0, 1329, 24, 1353, 24
INVAR-1, Run: 067, P, 0, 24, 14, 0, 0, 1385, 24, 1409, 24
INVAR-1, Run: 068, P, 0, 24, 14, 0, 0, 1332, 24, 1356, 24
INVAR-1, Run: 069, P, 2, 26, 12, 0, 0, 1331, 24, 1357, 24
INVAR-1, Run: 070, P, 0, 24, 14, 0, 0, 1426, 24, 1450, 24
INVAR-1, Run: 071, P, 0, 24, 14, 0, 0, 1283, 24, 1307, 24
INVAR-1, Run: 072, P, 2, 26, 12, 0, 0, 1299, 24, 1325, 24
INVAR-1, Run: 073, P, 1, 25, 13, 0, 0, 1298, 24, 1323, 24
INVAR-1, Run: 074, P, 0, 24, 14, 0, 0, 1376, 24, 1400, 24
INVAR-1, Run: 075, P, 1, 25, 13, 0, 0, 1307, 24, 1332, 24
INVAR-1, Run: 076, P, 0, 24, 14, 0, 0, 1265, 24, 1289, 24
INVAR-1, Run: 077, P, 0, 24, 14, 0, 0, 1339, 24, 1363, 24
INVAR-1, Run: 078, P, 1, 25, 13, 0, 0, 1402, 24, 1427, 24
INVAR-1, Run: 079, P, 1, 25, 13, 0, 0, 1273, 24, 1298, 24
