Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-1, Run: 001, E, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 002, E, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 003, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 004, E, 0, 0, 104, 80, 24, 104, 24
INVAR-1, Run: 005, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 006, E, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 007, E, 0, 0, 117, 93, 24, 117, 24
INVAR-1, Run: 008, E, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 009, E, 0, 0, 82, 58, 24, 82, 24
INVAR-1, Run: 010, E, 0, 0, 83, 59, 24, 83, 24
INVAR-1, Run: 011, E, 0, 0, 78, 54, 24, 78, 24
INVAR-1, Run: 012, E, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 013, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 014, E, 0, 0, 118, 94, 24, 118, 24
INVAR-1, Run: 015, E, 0, 0, 95, 71, 24, 95, 24
INVAR-1, Run: 016, E, 0, 0, 90, 66, 24, 90, 24
INVAR-1, Run: 017, E, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 018, E, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 019, E, 0, 0, 90, 66, 24, 90, 24
INVAR-1, Run: 020, E, 0, 0, 84, 60, 24, 84, 24
INVAR-1, Run: 021, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 022, E, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 023, E, 0, 0, 90, 66, 24, 90, 24
INVAR-1, Run: 024, E, 0, 0, 98, 74, 24, 98, 24
INVAR-1, Run: 025, E, 0, 0, 91, 67, 24, 91, 24
INVAR-1, Run: 026, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 027, E, 0, 0, 104, 80, 24, 104, 24
INVAR-1, Run: 028, E, 0, 0, 91, 67, 24, 91, 24
INVAR-1, Run: 029, E, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 030, E, 0, 0, 94, 70, 24, 94, 24
INVAR-1, Run: 031, E, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 032, E, 0, 0, 91, 67, 24, 91, 24
INVAR-1, Run: 033, E, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 034, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 035, E, 0, 0, 112, 88, 24, 112, 24
INVAR-1, Run: 036, E, 0, 0, 100, 76, 24, 100, 24
INVAR-1, Run: 037, E, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 038, E, 0, 0, 113, 89, 24, 113, 24
INVAR-1, Run: 039, E, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 040, E, 0, 0, 111, 87, 24, 111, 24
INVAR-1, Run: 041, E, 0, 0, 107, 83, 24, 107, 24
INVAR-1, Run: 042, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 043, E, 0, 0, 96, 72, 24, 96, 24
INVAR-1, Run: 044, E, 0, 0, 103, 79, 24, 103, 24
INVAR-1, Run: 045, E, 0, 0, 116, 92, 24, 116, 24
INVAR-1, Run: 046, E, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 047, E, 0, 0, 117, 93, 24, 117, 24
INVAR-1, Run: 048, E, 0, 0, 113, 89, 24, 113, 24
INVAR-1, Run: 049, E, 0, 0, 80, 56, 24, 80, 24
INVAR-1, Run: 050, E, 0, 0, 71, 47, 24, 71, 24
INVAR-1, Run: 051, E, 0, 0, 84, 60, 24, 84, 24
INVAR-1, Run: 052, E, 0, 0, 115, 91, 24, 115, 24
INVAR-1, Run: 053, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 054, E, 0, 0, 87, 63, 24, 87, 24
INVAR-1, Run: 055, E, 0, 0, 110, 86, 24, 110, 24
INVAR-1, Run: 056, E, 0, 0, 93, 69, 24, 93, 24
INVAR-1, Run: 057, E, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 058, E, 0, 0, 98, 74, 24, 98, 24
INVAR-1, Run: 059, E, 0, 0, 114, 90, 24, 114, 24
INVAR-1, Run: 060, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 061, E, 0, 0, 102, 78, 24, 102, 24
INVAR-1, Run: 062, E, 0, 0, 101, 77, 24, 101, 24
INVAR-1, Run: 063, E, 0, 0, 108, 84, 24, 108, 24
INVAR-1, Run: 064, E, 0, 0, 105, 81, 24, 105, 24
INVAR-1, Run: 065, E, 0, 0, 106, 82, 24, 106, 24
INVAR-1, Run: 066, E, 0, 0, 92, 68, 24, 92, 24
INVAR-1, Run: 067, E, 0, 0, 99, 75, 24, 99, 24
INVAR-1, Run: 068, E, 0, 0, 95, 71, 24, 95, 24
INVAR-1, Run: 069, E, 0, 0, 85, 61, 24, 85, 24
INVAR-1, Run: 070, E, 0, 0, 96, 72, 24, 96, 24
INVAR-1, Run: 071, E, 0, 0, 96, 72, 24, 96, 24
