Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-1, Run: 001, F, 0, 24, 3899, 38, 0
INVAR-1, Run: 002, F, 0, 24, 3883, 38, 0
INVAR-1, Run: 003, F, 0, 24, 3801, 38, 0
INVAR-1, Run: 004, F, 0, 24, 3788, 38, 0
INVAR-1, Run: 005, F, 0, 24, 3750, 38, 0
INVAR-1, Run: 006, F, 0, 24, 3779, 38, 0
INVAR-1, Run: 007, F, 0, 24, 3719, 38, 0
INVAR-1, Run: 008, F, 0, 24, 3787, 38, 0
INVAR-1, Run: 009, F, 0, 24, 3895, 38, 0
INVAR-1, Run: 010, F, 0, 24, 3852, 38, 0
INVAR-1, Run: 011, F, 0, 24, 3758, 38, 0
INVAR-1, Run: 012, F, 0, 24, 3878, 38, 0
INVAR-1, Run: 013, F, 0, 24, 3841, 38, 0
INVAR-1, Run: 014, F, 0, 24, 3800, 38, 0
INVAR-1, Run: 015, F, 0, 24, 3978, 38, 0
INVAR-1, Run: 016, F, 0, 24, 3830, 38, 0
INVAR-1, Run: 017, F, 0, 24, 3746, 38, 0
INVAR-1, Run: 018, F, 0, 24, 3861, 38, 0
INVAR-1, Run: 019, F, 0, 24, 3778, 38, 0
INVAR-1, Run: 020, F, 0, 24, 3900, 38, 0
INVAR-1, Run: 021, F, 0, 24, 3828, 38, 0
INVAR-1, Run: 022, F, 0, 24, 3968, 38, 0
INVAR-1, Run: 023, F, 0, 24, 3811, 38, 0
INVAR-1, Run: 024, F, 0, 24, 3788, 38, 0
INVAR-1, Run: 025, F, 0, 24, 3749, 38, 0
INVAR-1, Run: 026, F, 0, 24, 3875, 38, 0
INVAR-1, Run: 027, F, 0, 24, 3871, 38, 0
INVAR-1, Run: 028, F, 0, 24, 3860, 38, 0
INVAR-1, Run: 029, F, 0, 24, 3870, 38, 0
INVAR-1, Run: 030, F, 0, 24, 3844, 38, 0
INVAR-1, Run: 031, F, 0, 24, 3735, 38, 0
INVAR-1, Run: 032, F, 0, 24, 3800, 38, 0
INVAR-1, Run: 033, F, 0, 24, 3794, 38, 0
INVAR-1, Run: 034, F, 0, 24, 3808, 38, 0
INVAR-1, Run: 035, F, 0, 24, 3872, 38, 0
INVAR-1, Run: 036, F, 0, 24, 3878, 38, 0
INVAR-1, Run: 037, F, 0, 24, 3738, 38, 0
INVAR-1, Run: 038, F, 0, 24, 3787, 38, 0
INVAR-1, Run: 039, F, 0, 24, 3736, 38, 0
INVAR-1, Run: 040, F, 0, 24, 3734, 38, 0
INVAR-1, Run: 041, F, 0, 24, 3797, 38, 0
INVAR-1, Run: 042, F, 0, 24, 3810, 38, 0
INVAR-1, Run: 043, F, 0, 24, 3898, 38, 0
INVAR-1, Run: 044, F, 0, 24, 3808, 38, 0
INVAR-1, Run: 045, F, 0, 24, 3853, 38, 0
INVAR-1, Run: 046, F, 0, 24, 3843, 38, 0
INVAR-1, Run: 047, F, 0, 24, 3783, 38, 0
INVAR-1, Run: 048, F, 0, 24, 3768, 38, 0
INVAR-1, Run: 049, F, 0, 24, 3796, 38, 0
INVAR-1, Run: 050, F, 0, 24, 3899, 38, 0
INVAR-1, Run: 051, F, 0, 24, 3780, 38, 0
INVAR-1, Run: 052, F, 0, 24, 3875, 38, 0
INVAR-1, Run: 053, F, 0, 24, 3761, 38, 0
INVAR-1, Run: 054, F, 0, 24, 3673, 38, 0
INVAR-1, Run: 055, F, 0, 24, 3843, 38, 0
INVAR-1, Run: 056, F, 0, 24, 3882, 38, 0
INVAR-1, Run: 057, F, 0, 24, 3682, 38, 0
INVAR-1, Run: 058, F, 0, 24, 3848, 38, 0
INVAR-1, Run: 059, F, 0, 24, 3774, 38, 0
INVAR-1, Run: 060, F, 0, 24, 3819, 38, 0
INVAR-1, Run: 061, F, 0, 24, 3827, 38, 0
INVAR-1, Run: 062, F, 0, 24, 3945, 38, 0
INVAR-1, Run: 063, F, 0, 24, 3828, 38, 0
INVAR-1, Run: 064, F, 0, 24, 3894, 38, 0
INVAR-1, Run: 065, F, 0, 24, 3906, 38, 0
INVAR-1, Run: 066, F, 0, 24, 3834, 38, 0
INVAR-1, Run: 067, F, 0, 24, 3788, 38, 0
INVAR-1, Run: 068, F, 0, 24, 3842, 38, 0
INVAR-1, Run: 069, F, 0, 24, 3794, 38, 0
INVAR-1, Run: 070, F, 0, 24, 3805, 38, 0
INVAR-1, Run: 071, F, 0, 24, 3826, 38, 0
INVAR-1, Run: 072, F, 0, 24, 3757, 38, 0
INVAR-1, Run: 073, F, 0, 24, 3735, 38, 0
INVAR-1, Run: 074, F, 0, 24, 3755, 38, 0
INVAR-1, Run: 075, F, 0, 24, 3898, 38, 0
INVAR-1, Run: 076, F, 0, 24, 3941, 38, 0
INVAR-1, Run: 077, F, 0, 24, 3753, 38, 0
INVAR-1, Run: 078, F, 0, 24, 3854, 38, 0
INVAR-1, Run: 079, F, 0, 24, 3781, 38, 0
INVAR-1, Run: 080, F, 0, 24, 3893, 38, 0
INVAR-1, Run: 081, F, 0, 24, 3777, 38, 0
INVAR-1, Run: 082, F, 0, 24, 3870, 38, 0
INVAR-1, Run: 083, F, 0, 24, 3701, 38, 0
INVAR-1, Run: 084, F, 0, 24, 3753, 38, 0
INVAR-1, Run: 085, F, 0, 24, 3797, 38, 0
INVAR-1, Run: 086, F, 0, 24, 3918, 38, 0
INVAR-1, Run: 087, F, 0, 24, 3833, 38, 0
INVAR-1, Run: 088, F, 0, 24, 3827, 38, 0
INVAR-1, Run: 089, F, 0, 24, 3896, 38, 0
INVAR-1, Run: 090, F, 0, 24, 3839, 38, 0
INVAR-1, Run: 091, F, 0, 24, 3750, 38, 0
INVAR-1, Run: 092, F, 0, 24, 3694, 38, 0
INVAR-1, Run: 093, F, 0, 24, 3873, 38, 0
INVAR-1, Run: 094, F, 0, 24, 3731, 38, 0
INVAR-1, Run: 095, F, 0, 24, 3986, 38, 0
INVAR-1, Run: 096, F, 0, 24, 3831, 38, 0
INVAR-1, Run: 097, F, 0, 24, 3882, 38, 0
INVAR-1, Run: 098, F, 0, 24, 3833, 38, 0
INVAR-1, Run: 099, F, 0, 24, 3836, 38, 0
INVAR-1, Run: 100, F, 0, 24, 3847, 38, 0
INVAR-10, Run: 001, F, 0, 42, 5206, 50, 0
INVAR-10, Run: 002, F, 0, 42, 5088, 50, 0
INVAR-10, Run: 003, F, 0, 42, 5020, 50, 0
INVAR-10, Run: 004, F, 0, 42, 5078, 50, 0
INVAR-10, Run: 005, F, 0, 42, 5068, 50, 0
INVAR-10, Run: 006, F, 0, 42, 5051, 50, 0
INVAR-10, Run: 007, F, 0, 42, 5052, 50, 0
INVAR-10, Run: 008, F, 0, 42, 5152, 50, 0
INVAR-10, Run: 009, F, 0, 42, 5051, 50, 0
INVAR-10, Run: 010, F, 0, 42, 5059, 50, 0
INVAR-10, Run: 011, F, 0, 42, 4945, 50, 0
INVAR-10, Run: 012, F, 0, 42, 4942, 50, 0
INVAR-10, Run: 013, F, 0, 42, 5020, 50, 0
INVAR-10, Run: 014, F, 0, 42, 4943, 50, 0
INVAR-10, Run: 015, F, 0, 42, 4997, 50, 0
INVAR-10, Run: 016, F, 0, 42, 5030, 50, 0
INVAR-10, Run: 017, F, 0, 42, 4974, 50, 0
INVAR-10, Run: 018, F, 0, 42, 5015, 50, 0
INVAR-10, Run: 019, F, 0, 42, 4933, 50, 0
INVAR-10, Run: 020, F, 0, 42, 5036, 50, 0
INVAR-10, Run: 021, F, 0, 42, 5016, 50, 0
INVAR-10, Run: 022, F, 0, 42, 5005, 50, 0
INVAR-10, Run: 023, F, 0, 42, 5076, 50, 0
INVAR-10, Run: 024, F, 0, 42, 5095, 50, 0
INVAR-10, Run: 025, F, 0, 42, 5072, 50, 0
INVAR-10, Run: 026, F, 0, 42, 4980, 50, 0
INVAR-10, Run: 027, F, 0, 42, 5024, 50, 0
INVAR-10, Run: 028, F, 0, 42, 5080, 50, 0
INVAR-10, Run: 029, F, 0, 42, 4974, 50, 0
INVAR-10, Run: 030, F, 0, 42, 4980, 50, 0
INVAR-10, Run: 031, F, 0, 42, 5097, 50, 0
INVAR-10, Run: 032, F, 0, 42, 5007, 50, 0
INVAR-10, Run: 033, F, 0, 42, 5149, 50, 0
INVAR-10, Run: 034, F, 0, 42, 4987, 50, 0
INVAR-10, Run: 035, F, 0, 42, 5047, 50, 0
INVAR-10, Run: 036, F, 0, 42, 5090, 50, 0
INVAR-10, Run: 037, F, 0, 42, 4859, 50, 0
INVAR-10, Run: 038, F, 0, 42, 5072, 50, 0
INVAR-10, Run: 039, F, 0, 42, 5200, 50, 0
INVAR-10, Run: 040, F, 0, 42, 5006, 50, 0
INVAR-10, Run: 041, F, 0, 42, 5149, 50, 0
INVAR-10, Run: 042, F, 0, 42, 5074, 50, 0
INVAR-10, Run: 043, F, 0, 42, 5027, 50, 0
INVAR-10, Run: 044, F, 0, 42, 5104, 50, 0
INVAR-10, Run: 045, F, 0, 42, 5010, 50, 0
INVAR-10, Run: 046, F, 0, 42, 5110, 50, 0
INVAR-10, Run: 047, F, 0, 42, 5191, 50, 0
INVAR-10, Run: 048, F, 0, 42, 5048, 50, 0
INVAR-10, Run: 049, F, 0, 42, 4961, 50, 0
INVAR-10, Run: 050, F, 0, 42, 5066, 50, 0
INVAR-10, Run: 051, F, 0, 42, 5080, 50, 0
INVAR-10, Run: 052, F, 0, 42, 5045, 50, 0
INVAR-10, Run: 053, F, 0, 42, 5073, 50, 0
INVAR-10, Run: 054, F, 0, 42, 5041, 50, 0
INVAR-10, Run: 055, F, 0, 42, 4924, 50, 0
INVAR-10, Run: 056, F, 0, 42, 5097, 50, 0
INVAR-10, Run: 057, F, 0, 42, 5028, 50, 0
INVAR-10, Run: 058, F, 0, 42, 4931, 50, 0
INVAR-10, Run: 059, F, 0, 42, 5079, 50, 0
INVAR-10, Run: 060, F, 0, 42, 5015, 50, 0
INVAR-10, Run: 061, F, 0, 42, 5076, 50, 0
INVAR-10, Run: 062, F, 0, 42, 5043, 50, 0
INVAR-10, Run: 063, F, 0, 42, 5123, 50, 0
INVAR-10, Run: 064, F, 0, 42, 5061, 50, 0
INVAR-10, Run: 065, F, 0, 42, 5053, 50, 0
INVAR-10, Run: 066, F, 0, 42, 5132, 50, 0
INVAR-10, Run: 067, F, 0, 42, 5102, 50, 0
INVAR-10, Run: 068, F, 0, 42, 5089, 50, 0
INVAR-10, Run: 069, F, 0, 42, 4825, 50, 0
INVAR-10, Run: 070, F, 0, 42, 5147, 50, 0
INVAR-10, Run: 071, F, 0, 42, 5068, 50, 0
INVAR-10, Run: 072, F, 0, 42, 4964, 50, 0
INVAR-10, Run: 073, F, 0, 42, 4906, 50, 0
INVAR-10, Run: 074, F, 0, 42, 5010, 50, 0
INVAR-10, Run: 075, F, 0, 42, 5114, 50, 0
INVAR-10, Run: 076, F, 0, 42, 5024, 50, 0
INVAR-10, Run: 077, F, 0, 42, 5004, 50, 0
INVAR-10, Run: 078, F, 0, 42, 5020, 50, 0
INVAR-10, Run: 079, F, 0, 42, 4958, 50, 0
INVAR-10, Run: 080, F, 0, 42, 4998, 50, 0
INVAR-10, Run: 081, F, 0, 42, 4838, 50, 0
INVAR-10, Run: 082, F, 0, 42, 4930, 50, 0
INVAR-10, Run: 083, F, 0, 42, 5091, 50, 0
INVAR-10, Run: 084, F, 0, 42, 5074, 50, 0
INVAR-10, Run: 085, F, 0, 42, 5032, 50, 0
INVAR-10, Run: 086, F, 0, 42, 5084, 50, 0
INVAR-10, Run: 087, F, 0, 42, 5022, 50, 0
INVAR-10, Run: 088, F, 0, 42, 4930, 50, 0
INVAR-10, Run: 089, F, 0, 42, 5168, 50, 0
INVAR-10, Run: 090, F, 0, 42, 5108, 50, 0
INVAR-10, Run: 091, F, 0, 42, 4935, 50, 0
INVAR-10, Run: 092, F, 0, 42, 5046, 50, 0
INVAR-10, Run: 093, F, 0, 42, 5024, 50, 0
INVAR-10, Run: 094, F, 0, 42, 5074, 50, 0
INVAR-10, Run: 095, F, 0, 42, 5060, 50, 0
INVAR-10, Run: 096, F, 0, 42, 5003, 50, 0
INVAR-10, Run: 097, F, 0, 42, 5052, 50, 0
INVAR-10, Run: 098, F, 0, 42, 4948, 50, 0
INVAR-10, Run: 099, F, 0, 42, 4866, 50, 0
INVAR-10, Run: 100, F, 0, 42, 5009, 50, 0
INVAR-11, Run: 001, F, 0, 58, 10066, 100, 0
INVAR-11, Run: 002, F, 0, 58, 10026, 100, 0
INVAR-11, Run: 003, F, 0, 58, 10206, 100, 0
INVAR-11, Run: 004, F, 0, 58, 9739, 100, 0
INVAR-11, Run: 005, F, 0, 58, 10180, 100, 0
INVAR-11, Run: 006, F, 0, 58, 10106, 100, 0
INVAR-11, Run: 007, F, 0, 58, 10090, 100, 0
INVAR-11, Run: 008, F, 0, 58, 10075, 100, 0
INVAR-11, Run: 009, F, 0, 58, 9802, 100, 0
INVAR-11, Run: 010, F, 0, 58, 9947, 100, 0
INVAR-11, Run: 011, F, 0, 58, 10066, 100, 0
INVAR-11, Run: 012, F, 0, 58, 10204, 100, 0
INVAR-11, Run: 013, F, 0, 58, 9817, 100, 0
INVAR-11, Run: 014, F, 0, 58, 10182, 100, 0
INVAR-11, Run: 015, F, 0, 58, 10008, 100, 0
INVAR-11, Run: 016, F, 0, 58, 10078, 100, 0
INVAR-11, Run: 017, F, 0, 58, 10225, 100, 0
INVAR-11, Run: 018, F, 0, 58, 10055, 100, 0
INVAR-11, Run: 019, F, 0, 58, 10134, 100, 0
INVAR-11, Run: 020, F, 0, 58, 9932, 100, 0
INVAR-11, Run: 021, F, 0, 58, 10066, 100, 0
INVAR-11, Run: 022, F, 0, 58, 10184, 100, 0
INVAR-11, Run: 023, F, 0, 58, 9949, 100, 0
INVAR-11, Run: 024, F, 0, 58, 10114, 100, 0
INVAR-11, Run: 025, F, 0, 58, 10134, 100, 0
INVAR-11, Run: 026, F, 0, 58, 10066, 100, 0
INVAR-11, Run: 027, F, 0, 58, 10199, 100, 0
INVAR-11, Run: 028, F, 0, 58, 10043, 100, 0
INVAR-11, Run: 029, F, 0, 58, 10028, 100, 0
INVAR-11, Run: 030, F, 0, 58, 10091, 100, 0
INVAR-11, Run: 031, F, 0, 58, 10053, 100, 0
INVAR-11, Run: 032, F, 0, 58, 10079, 100, 0
INVAR-11, Run: 033, F, 0, 58, 9982, 100, 0
INVAR-11, Run: 034, F, 0, 58, 10098, 100, 0
INVAR-11, Run: 035, F, 0, 58, 9975, 100, 0
INVAR-11, Run: 036, F, 0, 58, 10020, 100, 0
INVAR-11, Run: 037, F, 0, 58, 9948, 100, 0
INVAR-11, Run: 038, F, 0, 58, 10163, 100, 0
INVAR-11, Run: 039, F, 0, 58, 9907, 100, 0
INVAR-11, Run: 040, F, 0, 58, 10010, 100, 0
INVAR-11, Run: 041, F, 0, 58, 10053, 100, 0
INVAR-11, Run: 042, F, 0, 58, 10033, 100, 0
INVAR-11, Run: 043, F, 0, 58, 9971, 100, 0
INVAR-11, Run: 044, F, 0, 58, 10117, 100, 0
INVAR-11, Run: 045, F, 0, 58, 10108, 100, 0
INVAR-11, Run: 046, F, 0, 58, 10012, 100, 0
INVAR-11, Run: 047, F, 0, 58, 10207, 100, 0
INVAR-11, Run: 048, F, 0, 58, 10081, 100, 0
INVAR-11, Run: 049, F, 0, 58, 10016, 100, 0
INVAR-11, Run: 050, F, 0, 58, 10095, 100, 0
INVAR-11, Run: 051, F, 0, 58, 10089, 100, 0
INVAR-11, Run: 052, F, 0, 58, 10064, 100, 0
INVAR-11, Run: 053, F, 0, 58, 10234, 100, 0
INVAR-11, Run: 054, F, 0, 58, 10096, 100, 0
INVAR-11, Run: 055, F, 0, 58, 10051, 100, 0
INVAR-11, Run: 056, F, 0, 58, 10261, 100, 0
INVAR-11, Run: 057, F, 0, 58, 10123, 100, 0
INVAR-11, Run: 058, F, 0, 58, 10040, 100, 0
INVAR-11, Run: 059, F, 0, 58, 10193, 100, 0
INVAR-11, Run: 060, F, 0, 58, 9978, 100, 0
INVAR-11, Run: 061, F, 0, 58, 9984, 100, 0
INVAR-11, Run: 062, F, 0, 58, 9868, 100, 0
INVAR-11, Run: 063, F, 0, 58, 10108, 100, 0
INVAR-11, Run: 064, F, 0, 58, 10124, 100, 0
INVAR-11, Run: 065, F, 0, 58, 10079, 100, 0
INVAR-11, Run: 066, F, 0, 58, 10127, 100, 0
INVAR-11, Run: 067, F, 0, 58, 10130, 100, 0
INVAR-11, Run: 068, F, 0, 58, 10109, 100, 0
INVAR-11, Run: 069, F, 0, 58, 9929, 100, 0
INVAR-11, Run: 070, F, 0, 58, 10043, 100, 0
INVAR-11, Run: 071, F, 0, 58, 10044, 100, 0
