Input Number, Run_Number, Result@ 100, X, XP, Z, YP
INVAR-1, Run: 001, E, 0, 0, 102, 78
INVAR-1, Run: 002, E, 0, 0, 103, 79
INVAR-1, Run: 003, E, 0, 0, 103, 79
INVAR-1, Run: 004, E, 0, 0, 101, 77
INVAR-1, Run: 005, E, 0, 0, 113, 89
INVAR-1, Run: 006, E, 0, 0, 94, 70
INVAR-1, Run: 007, E, 0, 0, 100, 76
INVAR-1, Run: 008, E, 0, 0, 86, 62
INVAR-1, Run: 009, E, 0, 0, 83, 59
INVAR-1, Run: 010, E, 0, 0, 106, 82
INVAR-1, Run: 011, E, 0, 0, 111, 87
INVAR-1, Run: 012, E, 0, 0, 99, 75
INVAR-1, Run: 013, E, 0, 0, 105, 81
INVAR-1, Run: 014, E, 0, 0, 101, 77
INVAR-1, Run: 015, E, 0, 0, 101, 77
INVAR-1, Run: 016, E, 0, 0, 103, 79
INVAR-1, Run: 017, E, 0, 0, 89, 65
INVAR-1, Run: 018, E, 0, 0, 101, 77
INVAR-1, Run: 019, E, 0, 0, 108, 84
INVAR-1, Run: 020, E, 0, 0, 93, 69
INVAR-1, Run: 021, E, 0, 0, 90, 66
INVAR-1, Run: 022, E, 0, 0, 106, 82
INVAR-1, Run: 023, E, 0, 0, 109, 85
INVAR-1, Run: 024, E, 0, 0, 106, 82
INVAR-1, Run: 025, E, 0, 0, 113, 89
INVAR-1, Run: 026, E, 0, 0, 97, 73
INVAR-1, Run: 027, E, 0, 0, 102, 78
INVAR-1, Run: 028, E, 0, 0, 125, 101
INVAR-1, Run: 029, E, 0, 0, 87, 63
INVAR-1, Run: 030, E, 0, 0, 98, 74
INVAR-1, Run: 031, E, 0, 0, 101, 77
INVAR-1, Run: 032, E, 0, 0, 116, 92
INVAR-1, Run: 033, E, 0, 0, 98, 74
INVAR-1, Run: 034, E, 0, 0, 88, 64
INVAR-1, Run: 035, E, 0, 0, 99, 75
INVAR-1, Run: 036, E, 0, 0, 100, 76
INVAR-1, Run: 037, E, 0, 0, 107, 83
INVAR-1, Run: 038, E, 0, 0, 106, 82
INVAR-1, Run: 039, E, 0, 0, 104, 80
INVAR-1, Run: 040, E, 0, 0, 86, 62
INVAR-1, Run: 041, E, 0, 0, 86, 62
INVAR-1, Run: 042, E, 0, 0, 100, 76
INVAR-1, Run: 043, E, 0, 0, 107, 83
INVAR-1, Run: 044, E, 0, 0, 98, 74
INVAR-1, Run: 045, E, 0, 0, 119, 95
INVAR-1, Run: 046, E, 0, 0, 113, 89
INVAR-1, Run: 047, E, 0, 0, 95, 71
INVAR-1, Run: 048, E, 0, 0, 97, 73
INVAR-1, Run: 049, E, 0, 0, 95, 71
INVAR-1, Run: 050, E, 0, 0, 112, 88
INVAR-1, Run: 051, E, 0, 0, 105, 81
