Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-1, Run: 001, P, 0, 24, 3789, 38, 0
INVAR-1, Run: 002, P, 0, 24, 3963, 38, 0
INVAR-1, Run: 003, P, 0, 24, 3749, 38, 0
INVAR-1, Run: 004, P, 0, 24, 3840, 38, 0
INVAR-1, Run: 005, P, 0, 24, 3855, 38, 0
INVAR-1, Run: 006, P, 0, 24, 3757, 38, 0
INVAR-1, Run: 007, P, 0, 24, 3968, 38, 0
INVAR-1, Run: 008, P, 0, 24, 3749, 38, 0
INVAR-1, Run: 009, P, 0, 24, 3731, 38, 0
INVAR-1, Run: 010, P, 0, 24, 3819, 38, 0
INVAR-1, Run: 011, P, 0, 24, 3843, 38, 0
INVAR-1, Run: 012, P, 0, 24, 3896, 38, 0
INVAR-1, Run: 013, P, 0, 24, 3777, 38, 0
INVAR-1, Run: 014, P, 0, 24, 3810, 38, 0
INVAR-1, Run: 015, P, 0, 24, 3934, 38, 0
INVAR-1, Run: 016, P, 0, 24, 3915, 38, 0
INVAR-1, Run: 017, P, 0, 24, 3821, 38, 0
INVAR-1, Run: 018, P, 0, 24, 3874, 38, 0
INVAR-1, Run: 019, P, 0, 24, 3799, 38, 0
INVAR-1, Run: 020, P, 0, 24, 3838, 38, 0
INVAR-1, Run: 021, P, 0, 24, 3812, 38, 0
INVAR-1, Run: 022, P, 0, 24, 3852, 38, 0
INVAR-1, Run: 023, P, 0, 24, 3740, 38, 0
INVAR-1, Run: 024, P, 0, 24, 3796, 38, 0
INVAR-1, Run: 025, P, 0, 24, 3873, 38, 0
INVAR-1, Run: 026, P, 0, 24, 3858, 38, 0
INVAR-1, Run: 027, P, 0, 24, 3788, 38, 0
INVAR-1, Run: 028, P, 0, 24, 3910, 38, 0
INVAR-1, Run: 029, P, 0, 24, 3878, 38, 0
INVAR-1, Run: 030, P, 0, 24, 3776, 38, 0
INVAR-1, Run: 031, P, 0, 24, 3713, 38, 0
INVAR-1, Run: 032, P, 0, 24, 3805, 38, 0
INVAR-1, Run: 033, P, 0, 24, 3906, 38, 0
INVAR-1, Run: 034, P, 0, 24, 3833, 38, 0
