Input Number, Run_Number, Result@ 100, X, XP, Z, YP
1, Run: 001, E, 0, 0, 87, 63
1, Run: 002, E, 0, 0, 101, 77
1, Run: 003, E, 0, 0, 91, 67
1, Run: 004, E, 0, 0, 126, 102
1, Run: 005, E, 0, 0, 90, 66
1, Run: 006, E, 0, 0, 102, 78
1, Run: 007, E, 0, 0, 83, 59
1, Run: 008, E, 0, 0, 102, 78
1, Run: 009, E, 0, 0, 98, 74
1, Run: 010, E, 0, 0, 92, 68
1, Run: 011, E, 0, 0, 100, 76
1, Run: 012, E, 0, 0, 106, 82
1, Run: 013, E, 0, 0, 104, 80
1, Run: 014, E, 0, 0, 108, 84
1, Run: 015, E, 0, 0, 86, 62
1, Run: 016, E, 0, 0, 109, 85
1, Run: 017, E, 0, 0, 85, 61
1, Run: 018, E, 0, 0, 105, 81
1, Run: 019, E, 0, 0, 103, 79
1, Run: 020, E, 0, 0, 99, 75
1, Run: 021, E, 0, 0, 105, 81
1, Run: 022, E, 0, 0, 94, 70
1, Run: 023, E, 0, 0, 106, 82
1, Run: 024, E, 0, 0, 97, 73
1, Run: 025, E, 0, 0, 85, 61
1, Run: 026, E, 0, 0, 96, 72
1, Run: 027, E, 0, 0, 92, 68
1, Run: 028, E, 0, 0, 93, 69
1, Run: 029, E, 0, 0, 100, 76
1, Run: 030, E, 0, 0, 108, 84
1, Run: 031, E, 0, 0, 101, 77
1, Run: 032, E, 0, 0, 104, 80
1, Run: 033, E, 0, 0, 91, 67
1, Run: 034, E, 0, 0, 94, 70
1, Run: 035, E, 0, 0, 105, 81
1, Run: 036, E, 0, 0, 103, 79
1, Run: 037, E, 0, 0, 91, 67
1, Run: 038, E, 0, 0, 100, 76
1, Run: 039, E, 0, 0, 96, 72
1, Run: 040, E, 0, 0, 104, 80
1, Run: 041, E, 0, 0, 112, 88
1, Run: 042, E, 0, 0, 97, 73
1, Run: 043, E, 0, 0, 117, 93
1, Run: 044, E, 0, 0, 95, 71
1, Run: 045, E, 0, 0, 102, 78
1, Run: 046, E, 0, 0, 97, 73
