Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A3,INVAR-1,100,100,0,0,0,100
A3,INVAR-10,100,100,0,0,0,100
A3,INVAR-11,100,100,0,0,0,100
A3,INVAR-12,100,100,0,0,0,100
A3,INVAR-13,100,100,0,0,0,100
A3,INVAR-14,100,91,0,0,0,91
A3,INVAR-15,100,93,0,0,0,93
A3,INVAR-16,100,96,0,0,0,96
A3,INVAR-17,100,78,0,0,0,78
A3,INVAR-18,100,99,0,0,0,99
A3,INVAR-19,100,0,0,0,0,0
A3,INVAR-2,100,100,0,0,0,100
A3,INVAR-20,100,0,0,0,0,0
A3,INVAR-21,100,0,0,0,0,0
A3,INVAR-22,100,100,0,0,0,100
A3,INVAR-23,100,100,0,0,0,100
A3,INVAR-24,100,100,0,0,0,100
A3,INVAR-25,100,100,0,0,0,100
A3,INVAR-26,100,100,0,0,0,100
A3,INVAR-27,100,100,0,0,0,100
A3,INVAR-28,100,100,0,0,0,100
A3,INVAR-29,100,100,0,0,0,100
A3,INVAR-3,100,96,0,0,0,96
A3,INVAR-30,100,100,0,0,0,100
A3,INVAR-31,100,0,0,0,0,0
A3,INVAR-32,100,100,0,0,0,100
A3,INVAR-33,100,100,0,0,0,100
A3,INVAR-34,100,100,0,0,0,100
A3,INVAR-35,100,93,0,0,0,93
A3,INVAR-36,100,55,0,0,0,55
A3,INVAR-37,100,72,0,0,0,72
A3,INVAR-38,100,59,0,0,0,59
A3,INVAR-39,100,59,0,0,0,59
A3,INVAR-4,100,100,0,0,0,100
A3,INVAR-40,100,65,0,0,0,65
A3,INVAR-41,100,0,0,0,0,0
A3,INVAR-42,100,0,0,0,0,0
A3,INVAR-43,100,0,0,0,0,0
A3,INVAR-44,100,98,0,0,0,98
A3,INVAR-45,100,99,0,0,0,99
A3,INVAR-46,100,98,0,0,0,98
A3,INVAR-5,100,90,0,0,0,90
A3,INVAR-6,100,91,0,0,0,91
A3,INVAR-7,100,0,0,0,0,0
A3,INVAR-8,100,0,0,0,0,0
A3,INVAR-9,100,0,0,0,0,0
