Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-1, Run: 001, F, 90, 0, 38
INVAR-1, Run: 002, F, 73, 0, 38
INVAR-1, Run: 003, F, 78, 0, 38
INVAR-1, Run: 004, F, 85, 0, 38
INVAR-1, Run: 005, F, 79, 0, 38
INVAR-1, Run: 006, F, 99, 0, 38
INVAR-1, Run: 007, F, 99, 0, 38
INVAR-1, Run: 008, F, 87, 0, 38
INVAR-1, Run: 009, F, 87, 0, 38
INVAR-1, Run: 010, F, 84, 0, 38
INVAR-1, Run: 011, F, 89, 0, 38
INVAR-1, Run: 012, F, 77, 0, 38
INVAR-1, Run: 013, F, 90, 0, 38
INVAR-1, Run: 014, F, 92, 0, 38
INVAR-1, Run: 015, F, 81, 0, 38
INVAR-1, Run: 016, F, 80, 0, 38
INVAR-1, Run: 017, F, 104, 0, 38
INVAR-1, Run: 018, F, 93, 0, 38
INVAR-1, Run: 019, F, 96, 0, 38
INVAR-1, Run: 020, F, 80, 0, 38
INVAR-1, Run: 021, F, 75, 0, 38
INVAR-1, Run: 022, F, 84, 0, 38
INVAR-1, Run: 023, F, 94, 0, 38
INVAR-1, Run: 024, F, 104, 0, 38
INVAR-1, Run: 025, F, 77, 0, 38
INVAR-1, Run: 026, F, 100, 0, 38
INVAR-1, Run: 027, F, 92, 0, 38
INVAR-1, Run: 028, F, 92, 0, 38
INVAR-1, Run: 029, F, 93, 0, 38
INVAR-1, Run: 030, F, 94, 0, 38
INVAR-1, Run: 031, F, 80, 0, 38
INVAR-1, Run: 032, F, 81, 0, 38
INVAR-1, Run: 033, F, 95, 0, 38
INVAR-1, Run: 034, F, 86, 0, 38
INVAR-1, Run: 035, F, 100, 0, 38
INVAR-1, Run: 036, F, 97, 0, 38
INVAR-1, Run: 037, F, 81, 0, 38
INVAR-1, Run: 038, F, 87, 0, 38
INVAR-1, Run: 039, F, 104, 0, 38
INVAR-1, Run: 040, F, 84, 0, 38
INVAR-1, Run: 041, F, 78, 0, 38
INVAR-1, Run: 042, F, 83, 0, 38
INVAR-1, Run: 043, F, 99, 0, 38
INVAR-1, Run: 044, F, 70, 0, 38
INVAR-1, Run: 045, F, 87, 0, 38
INVAR-1, Run: 046, F, 100, 0, 38
INVAR-1, Run: 047, F, 79, 0, 38
INVAR-1, Run: 048, F, 87, 0, 38
INVAR-1, Run: 049, F, 72, 0, 38
INVAR-1, Run: 050, F, 87, 0, 38
INVAR-1, Run: 051, F, 79, 0, 38
INVAR-1, Run: 052, F, 76, 0, 38
INVAR-1, Run: 053, F, 112, 0, 38
INVAR-1, Run: 054, F, 79, 0, 38
INVAR-1, Run: 055, F, 102, 0, 38
