Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-1, Run: 001, P, 98, 0, 38
INVAR-1, Run: 002, P, 85, 0, 38
INVAR-1, Run: 003, P, 73, 0, 38
INVAR-1, Run: 004, P, 87, 0, 38
INVAR-1, Run: 005, P, 104, 0, 38
INVAR-1, Run: 006, P, 77, 0, 38
INVAR-1, Run: 007, P, 92, 0, 38
INVAR-1, Run: 008, P, 96, 0, 38
INVAR-1, Run: 009, P, 89, 0, 38
INVAR-1, Run: 010, P, 84, 0, 38
INVAR-1, Run: 011, P, 97, 0, 38
INVAR-1, Run: 012, P, 102, 0, 38
INVAR-1, Run: 013, P, 74, 0, 38
INVAR-1, Run: 014, P, 61, 0, 38
INVAR-1, Run: 015, P, 95, 0, 38
INVAR-1, Run: 016, P, 81, 0, 38
INVAR-1, Run: 017, P, 92, 0, 38
INVAR-1, Run: 018, P, 85, 0, 38
INVAR-1, Run: 019, P, 64, 0, 38
INVAR-1, Run: 020, P, 72, 0, 38
INVAR-1, Run: 021, P, 85, 0, 38
INVAR-1, Run: 022, P, 69, 0, 38
INVAR-1, Run: 023, P, 78, 0, 38
INVAR-1, Run: 024, P, 71, 0, 38
INVAR-1, Run: 025, P, 97, 0, 38
INVAR-1, Run: 026, P, 84, 0, 38
INVAR-1, Run: 027, P, 97, 0, 38
INVAR-1, Run: 028, P, 82, 0, 38
INVAR-1, Run: 029, P, 74, 0, 38
INVAR-1, Run: 030, P, 115, 0, 38
INVAR-1, Run: 031, P, 78, 0, 38
INVAR-1, Run: 032, P, 73, 0, 38
INVAR-1, Run: 033, P, 83, 0, 38
INVAR-1, Run: 034, P, 82, 0, 38
INVAR-1, Run: 035, P, 92, 0, 38
INVAR-1, Run: 036, P, 88, 0, 38
INVAR-1, Run: 037, P, 69, 0, 38
INVAR-1, Run: 038, P, 89, 0, 38
INVAR-1, Run: 039, P, 88, 0, 38
INVAR-1, Run: 040, P, 77, 0, 38
INVAR-1, Run: 041, P, 70, 0, 38
INVAR-1, Run: 042, P, 95, 0, 38
INVAR-1, Run: 043, P, 77, 0, 38
INVAR-1, Run: 044, P, 79, 0, 38
INVAR-1, Run: 045, P, 81, 0, 38
INVAR-1, Run: 046, P, 75, 0, 38
INVAR-1, Run: 047, P, 98, 0, 38
INVAR-1, Run: 048, P, 76, 0, 38
INVAR-1, Run: 049, P, 85, 0, 38
INVAR-1, Run: 050, P, 82, 0, 38
INVAR-1, Run: 051, P, 74, 0, 38
INVAR-1, Run: 052, P, 79, 0, 38
INVAR-1, Run: 053, P, 96, 0, 38
INVAR-1, Run: 054, P, 95, 0, 38
INVAR-1, Run: 055, P, 82, 0, 38
INVAR-1, Run: 056, P, 90, 0, 38
INVAR-1, Run: 057, P, 78, 0, 38
INVAR-1, Run: 058, P, 82, 0, 38
INVAR-1, Run: 059, P, 110, 0, 38
INVAR-1, Run: 060, P, 63, 0, 38
INVAR-1, Run: 061, P, 74, 0, 38
INVAR-1, Run: 062, P, 84, 0, 38
INVAR-1, Run: 063, P, 83, 0, 38
INVAR-1, Run: 064, P, 85, 0, 38
INVAR-1, Run: 065, P, 96, 0, 38
INVAR-1, Run: 066, P, 78, 0, 38
INVAR-1, Run: 067, P, 93, 0, 38
INVAR-1, Run: 068, P, 63, 0, 38
INVAR-1, Run: 069, P, 90, 0, 38
INVAR-1, Run: 070, P, 84, 0, 38
INVAR-1, Run: 071, P, 86, 0, 38
INVAR-1, Run: 072, P, 87, 0, 38
INVAR-1, Run: 073, P, 83, 0, 38
INVAR-1, Run: 074, P, 101, 0, 38
INVAR-1, Run: 075, P, 91, 0, 38
INVAR-1, Run: 076, P, 85, 0, 38
INVAR-1, Run: 077, P, 87, 0, 38
INVAR-1, Run: 078, P, 77, 0, 38
INVAR-1, Run: 079, P, 90, 0, 38
INVAR-1, Run: 080, P, 78, 0, 38
INVAR-1, Run: 081, P, 82, 0, 38
INVAR-1, Run: 082, P, 71, 0, 38
INVAR-1, Run: 083, P, 70, 0, 38
INVAR-1, Run: 084, P, 67, 0, 38
INVAR-1, Run: 085, P, 89, 0, 38
INVAR-1, Run: 086, P, 90, 0, 38
INVAR-1, Run: 087, P, 78, 0, 38
INVAR-1, Run: 088, P, 85, 0, 38
INVAR-1, Run: 089, P, 92, 0, 38
INVAR-1, Run: 090, P, 104, 0, 38
INVAR-1, Run: 091, P, 89, 0, 38
INVAR-1, Run: 092, P, 79, 0, 38
INVAR-1, Run: 093, P, 102, 0, 38
INVAR-1, Run: 094, P, 69, 0, 38
INVAR-1, Run: 095, P, 92, 0, 38
INVAR-1, Run: 096, P, 89, 0, 38
INVAR-1, Run: 097, P, 90, 0, 38
INVAR-1, Run: 098, P, 77, 0, 38
INVAR-1, Run: 099, P, 84, 0, 38
INVAR-1, Run: 100, P, 82, 0, 38
INVAR-10, Run: 001, P, 96, 0, 50
INVAR-10, Run: 002, P, 95, 0, 50
INVAR-10, Run: 003, P, 93, 0, 50
INVAR-10, Run: 004, P, 97, 0, 50
INVAR-10, Run: 005, P, 102, 0, 50
INVAR-10, Run: 006, P, 87, 0, 50
INVAR-10, Run: 007, P, 109, 0, 50
INVAR-10, Run: 008, P, 97, 0, 50
INVAR-10, Run: 009, P, 77, 0, 50
INVAR-10, Run: 010, P, 81, 0, 50
INVAR-10, Run: 011, P, 113, 0, 50
INVAR-10, Run: 012, P, 103, 0, 50
INVAR-10, Run: 013, P, 91, 0, 50
INVAR-10, Run: 014, P, 89, 0, 50
INVAR-10, Run: 015, P, 80, 0, 50
INVAR-10, Run: 016, P, 96, 0, 50
INVAR-10, Run: 017, P, 98, 0, 50
INVAR-10, Run: 018, P, 92, 0, 50
INVAR-10, Run: 019, P, 88, 0, 50
INVAR-10, Run: 020, P, 91, 0, 50
INVAR-10, Run: 021, P, 95, 0, 50
INVAR-10, Run: 022, P, 78, 0, 50
INVAR-10, Run: 023, P, 94, 0, 50
INVAR-10, Run: 024, P, 79, 0, 50
INVAR-10, Run: 025, P, 89, 0, 50
INVAR-10, Run: 026, P, 89, 0, 50
INVAR-10, Run: 027, P, 85, 0, 50
INVAR-10, Run: 028, P, 105, 0, 50
INVAR-10, Run: 029, P, 78, 0, 50
INVAR-10, Run: 030, P, 99, 0, 50
INVAR-10, Run: 031, P, 100, 0, 50
INVAR-10, Run: 032, P, 79, 0, 50
INVAR-10, Run: 033, P, 98, 0, 50
INVAR-10, Run: 034, P, 105, 0, 50
INVAR-10, Run: 035, P, 90, 0, 50
INVAR-10, Run: 036, P, 99, 0, 50
INVAR-10, Run: 037, P, 92, 0, 50
INVAR-10, Run: 038, P, 70, 0, 50
INVAR-10, Run: 039, P, 107, 0, 50
INVAR-10, Run: 040, P, 94, 0, 50
INVAR-10, Run: 041, P, 94, 0, 50
INVAR-10, Run: 042, P, 97, 0, 50
INVAR-10, Run: 043, P, 77, 0, 50
INVAR-10, Run: 044, P, 83, 0, 50
INVAR-10, Run: 045, P, 105, 0, 50
INVAR-10, Run: 046, P, 76, 0, 50
