Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
M1,1,100,0,100,0,0,100
M1,10,100,0,100,0,0,100
M1,11,100,0,100,0,0,100
M1,12,100,0,100,0,0,100
M1,13,100,0,100,0,0,100
M1,14,100,0,100,0,0,100
M1,15,100,0,100,0,0,100
M1,17,100,0,100,0,0,100
M1,18,100,0,100,0,0,100
M1,19,100,0,100,0,0,100
M1,2,100,0,100,0,0,100
M1,20,100,0,100,0,0,100
M1,21,100,0,100,0,0,100
M1,22,100,0,100,0,0,100
M1,23,100,0,100,0,0,100
M1,24,100,0,100,0,0,100
M1,25,100,0,100,0,0,100
M1,26,100,0,100,0,0,100
M1,27,100,0,100,0,0,100
M1,28,100,0,100,0,0,100
M1,29,100,0,100,0,0,100
M1,3,100,0,100,0,0,100
M1,30,100,0,100,0,0,100
M1,35,100,0,100,0,0,100
M1,36,100,0,100,0,0,100
M1,37,100,0,100,0,0,100
M1,38,100,0,100,0,0,100
M1,39,100,0,100,0,0,100
M1,4,100,0,100,0,0,100
M1,40,100,0,100,0,0,100
M1,41,100,0,100,0,0,100
M1,42,100,0,100,0,0,100
M1,43,100,0,100,0,0,100
M1,5,100,0,100,0,0,100
M1,6,100,0,100,0,0,100
M1,7,100,0,100,0,0,100
M1,8,100,0,100,0,0,100
M1,9,100,0,100,0,0,100
M10,1,100,0,0,0,0,0
M10,10,100,0,0,0,0,0
M10,11,100,0,0,0,0,0
M10,12,100,0,0,0,0,0
M10,13,100,0,0,0,0,0
M10,14,100,0,0,0,0,0
M10,15,100,0,0,0,0,0
M10,17,100,0,0,0,0,0
M10,18,100,0,0,0,0,0
M10,19,100,0,0,0,0,0
M10,2,100,0,0,0,0,0
M10,20,100,0,0,0,0,0
M10,21,100,0,0,0,0,0
M10,22,100,0,0,0,0,0
M10,23,100,0,0,0,0,0
M10,24,100,0,0,0,0,0
M10,25,100,0,0,0,0,0
M10,26,100,0,0,0,0,0
M10,27,100,0,0,0,0,0
M10,28,100,0,0,0,0,0
M10,29,100,0,0,0,0,0
M10,3,100,0,0,0,0,0
M10,30,100,0,0,0,0,0
M10,35,100,0,0,0,0,0
M10,36,100,0,0,0,0,0
M10,37,100,0,0,0,0,0
M10,38,100,0,0,0,0,0
M10,39,100,0,0,0,0,0
M10,4,100,0,0,0,0,0
M10,40,100,0,0,0,0,0
M10,41,100,0,0,0,0,0
M10,42,100,0,0,0,0,0
M10,43,100,0,0,0,0,0
M10,5,100,0,0,0,0,0
M10,6,100,0,0,0,0,0
M10,7,100,0,0,0,0,0
M10,8,100,0,0,0,0,0
M10,9,100,0,0,0,0,0
M11,1,100,0,0,0,0,0
M11,10,100,0,0,0,0,0
M11,11,100,0,0,0,0,0
M11,12,100,0,0,0,0,0
M11,13,100,0,0,0,0,0
M11,14,100,0,0,0,0,0
M11,15,100,0,0,0,0,0
M11,17,100,0,0,0,0,0
M11,18,100,0,0,0,0,0
M11,19,100,0,0,0,0,0
M11,2,100,0,0,0,0,0
M11,20,100,0,0,0,0,0
M11,21,100,0,0,0,0,0
M11,22,100,0,0,0,0,0
M11,23,100,0,0,0,0,0
M11,24,100,0,0,0,0,0
M11,25,100,0,0,0,0,0
M11,26,100,0,0,0,0,0
M11,27,100,0,0,0,0,0
M11,28,100,0,0,0,0,0
M11,29,100,0,0,0,0,0
M11,3,100,0,0,0,0,0
M11,30,100,0,0,0,0,0
M11,35,100,0,0,0,0,0
M11,36,100,0,0,0,0,0
M11,37,100,0,0,0,0,0
M11,38,100,0,0,0,0,0
M11,39,100,0,0,0,0,0
M11,4,100,0,0,0,0,0
M11,40,100,0,0,0,0,0
M11,41,100,0,0,0,0,0
M11,42,100,0,0,0,0,0
M11,43,100,0,0,0,0,0
M11,5,100,0,0,0,0,0
M11,6,100,0,0,0,0,0
M11,7,100,0,0,0,0,0
M11,8,100,0,0,0,0,0
M11,9,100,0,0,0,0,0
M12,1,100,0,0,0,0,0
M12,10,100,0,0,0,0,0
M12,11,100,0,0,0,0,0
M12,12,100,0,0,0,0,0
M12,13,100,0,0,0,0,0
M12,14,100,0,0,0,0,0
M12,15,100,0,0,0,0,0
M12,17,100,0,0,0,0,0
M12,18,100,0,0,0,0,0
M12,19,100,0,0,0,0,0
M12,2,100,0,0,0,0,0
M12,20,100,0,0,0,0,0
M12,21,100,0,0,0,0,0
M12,22,100,0,0,0,0,0
M12,23,100,0,0,0,0,0
M12,24,100,0,0,0,0,0
M12,25,100,0,0,0,0,0
M12,26,100,0,0,0,0,0
M12,27,100,0,0,0,0,0
M12,28,100,0,0,0,0,0
M12,29,100,0,0,0,0,0
M12,3,100,0,0,0,0,0
M12,30,100,0,0,0,0,0
M12,35,100,0,0,0,0,0
M12,36,100,0,0,0,0,0
M12,37,100,0,0,0,0,0
M12,38,100,0,0,0,0,0
M12,39,100,0,0,0,0,0
M12,4,100,0,0,0,0,0
M12,40,100,0,0,0,0,0
M12,41,100,0,0,0,0,0
M12,42,100,0,0,0,0,0
M12,43,100,0,0,0,0,0
M12,5,100,0,0,0,0,0
M12,6,100,0,0,0,0,0
M12,7,100,0,0,0,0,0
M12,8,100,0,0,0,0,0
M12,9,100,0,0,0,0,0
M2,1,100,0,0,0,0,0
