Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 002, F, 0, 0, 1, 1, 8, 12, 1, 4, 16
INVAR-1, Run: 003, F, 0, 0, 9, 1, 8, 12, 1, 3, 9
INVAR-1, Run: 004, F, 0, 0, 5, 1, 8, 12, 1, 11, 5
INVAR-1, Run: 005, P, 0, 1, 0, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 006, F, 0, 1, 0, 3, 8, 11, 2, 13, 8
INVAR-1, Run: 007, P, 0, 1, 0, 0, 7, 12, 2, 15, 6
INVAR-1, Run: 008, F, 0, 2, 0, 2, 8, 12, 0, 14, 6
INVAR-1, Run: 009, F, 0, 1, 0, 3, 8, 11, 2, 12, 9
INVAR-1, Run: 010, F, 0, 0, 1, 1, 8, 12, 1, 0, 20
INVAR-1, Run: 011, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 012, F, 0, 0, 5, 1, 8, 12, 1, 13, 3
INVAR-1, Run: 013, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 014, F, 0, 0, 3, 1, 7, 11, 4, 6, 13
INVAR-1, Run: 015, F, 0, 0, 1, 1, 8, 12, 1, 8, 12
INVAR-1, Run: 016, F, 0, 2, 0, 2, 7, 11, 3, 2, 19
INVAR-1, Run: 017, P, 0, 1, 0, 0, 7, 12, 2, 18, 3
INVAR-1, Run: 018, F, 0, 0, 1, 1, 8, 12, 1, 9, 11
INVAR-1, Run: 019, F, 0, 0, 4, 1, 8, 12, 1, 6, 11
INVAR-1, Run: 020, F, 0, 2, 0, 2, 7, 11, 3, 16, 5
INVAR-1, Run: 021, F, 0, 0, 9, 1, 8, 12, 1, 10, 2
INVAR-1, Run: 022, F, 0, 0, 8, 1, 8, 12, 1, 6, 7
INVAR-1, Run: 023, F, 0, 1, 0, 3, 8, 11, 2, 5, 16
INVAR-1, Run: 024, F, 0, 2, 0, 2, 7, 11, 3, 17, 4
