Input Number, Run_Number, Result@ 100, X, V, Y, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 10, 0, 7, 12, 2, 105, 11
INVAR-1, Run: 002, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 003, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 004, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 005, F, 0, 0, 2, 8, 12, 0, 1, 20
INVAR-1, Run: 006, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 007, F, 1, 7, 0, 7, 12, 2, 109, 14
INVAR-1, Run: 008, F, 1, 4, 0, 7, 12, 2, 111, 17
INVAR-1, Run: 009, F, 1, 10, 0, 7, 12, 2, 112, 11
INVAR-1, Run: 010, F, 1, 6, 0, 7, 12, 2, 107, 15
INVAR-1, Run: 011, F, 1, 9, 0, 7, 12, 2, 102, 12
INVAR-1, Run: 012, F, 1, 17, 0, 7, 12, 2, 98, 4
INVAR-1, Run: 013, F, 1, 18, 0, 7, 12, 2, 100, 3
INVAR-1, Run: 014, F, 1, 15, 0, 7, 12, 2, 115, 6
INVAR-1, Run: 015, F, 1, 10, 0, 7, 12, 2, 110, 11
INVAR-1, Run: 016, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 017, F, 0, 0, 2, 7, 11, 3, 2, 21
INVAR-1, Run: 018, F, 0, 0, 2, 7, 11, 3, 1, 21
INVAR-1, Run: 019, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 020, P, 0, 0, 2, 7, 11, 3, 0, 21
INVAR-1, Run: 021, F, 1, 8, 0, 7, 12, 2, 112, 13
INVAR-1, Run: 022, F, 1, 11, 0, 7, 12, 2, 118, 10
INVAR-1, Run: 023, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 024, F, 1, 14, 0, 7, 12, 2, 101, 7
INVAR-1, Run: 025, F, 1, 2, 0, 7, 12, 2, 96, 19
INVAR-1, Run: 026, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 027, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 028, F, 1, 18, 0, 6, 11, 5, 110, 4
INVAR-1, Run: 029, F, 1, 12, 0, 7, 12, 2, 104, 9
INVAR-1, Run: 030, P, 0, 0, 2, 8, 12, 0, 0, 20
INVAR-1, Run: 031, F, 1, 16, 0, 7, 12, 2, 104, 5
