Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, P, 0, 2, 0, 0, 7, 11, 3, 0, 21
INVAR-1, Run: 002, F, 0, 2, 0, 1, 7, 12, 2, 8, 13
INVAR-1, Run: 003, F, 0, 2, 0, 3, 7, 14, 0, 15, 6
INVAR-1, Run: 004, P, 0, 2, 0, 0, 8, 12, 0, 7, 13
INVAR-1, Run: 005, P, 0, 2, 0, 0, 7, 11, 3, 2, 19
INVAR-1, Run: 006, F, 0, 2, 0, 1, 7, 12, 2, 5, 16
INVAR-1, Run: 007, F, 0, 2, 0, 2, 7, 13, 1, 8, 13
INVAR-1, Run: 008, F, 0, 2, 0, 1, 7, 12, 2, 16, 5
INVAR-1, Run: 009, P, 0, 2, 0, 0, 8, 12, 0, 9, 11
INVAR-1, Run: 010, F, 0, 2, 0, 2, 7, 13, 1, 9, 12
INVAR-1, Run: 011, F, 0, 2, 0, 4, 6, 14, 2, 13, 9
INVAR-1, Run: 012, F, 0, 2, 0, 2, 7, 13, 1, 9, 12
INVAR-1, Run: 013, F, 0, 2, 0, 2, 6, 12, 4, 16, 6
INVAR-1, Run: 014, F, 0, 2, 0, 1, 7, 12, 2, 9, 12
INVAR-1, Run: 015, F, 0, 2, 0, 2, 7, 13, 1, 14, 7
INVAR-1, Run: 016, F, 0, 2, 0, 3, 6, 13, 3, 11, 11
INVAR-1, Run: 017, F, 0, 2, 0, 1, 7, 12, 2, 11, 10
INVAR-1, Run: 018, F, 0, 2, 0, 1, 7, 12, 2, 8, 13
INVAR-1, Run: 019, P, 0, 2, 0, 0, 8, 12, 0, 4, 16
INVAR-1, Run: 020, F, 0, 2, 0, 2, 7, 13, 1, 10, 11
INVAR-1, Run: 021, P, 0, 2, 0, 0, 8, 12, 0, 6, 14
INVAR-1, Run: 022, F, 0, 2, 0, 1, 7, 12, 2, 10, 11
INVAR-1, Run: 023, P, 0, 2, 0, 0, 8, 12, 0, 3, 17
INVAR-1, Run: 024, P, 0, 2, 0, 0, 8, 12, 0, 1, 19
INVAR-1, Run: 025, F, 0, 2, 0, 1, 7, 12, 2, 7, 14
INVAR-1, Run: 026, F, 0, 2, 0, 3, 7, 14, 0, 10, 11
INVAR-1, Run: 027, F, 0, 2, 0, 2, 7, 13, 1, 18, 3
INVAR-1, Run: 028, F, 0, 2, 0, 1, 7, 12, 2, 12, 9
INVAR-1, Run: 029, F, 0, 2, 0, 2, 7, 13, 1, 7, 14
INVAR-1, Run: 030, P, 0, 2, 0, 0, 8, 12, 0, 8, 12
INVAR-1, Run: 031, F, 0, 2, 0, 2, 6, 12, 4, 12, 10
INVAR-1, Run: 032, P, 0, 2, 0, 0, 8, 12, 0, 4, 16
INVAR-1, Run: 033, P, 0, 2, 0, 0, 7, 11, 3, 7, 14
INVAR-1, Run: 034, F, 0, 2, 0, 1, 7, 12, 2, 14, 7
INVAR-1, Run: 035, F, 0, 2, 0, 1, 7, 12, 2, 14, 7
INVAR-1, Run: 036, F, 0, 2, 0, 2, 7, 13, 1, 11, 10
INVAR-1, Run: 037, P, 0, 2, 0, 0, 8, 12, 0, 2, 18
INVAR-1, Run: 038, F, 0, 2, 0, 1, 7, 12, 2, 19, 2
INVAR-1, Run: 039, F, 0, 2, 0, 1, 7, 12, 2, 5, 16
INVAR-1, Run: 040, F, 0, 2, 0, 1, 6, 11, 5, 6, 16
INVAR-1, Run: 041, F, 0, 2, 0, 2, 7, 13, 1, 13, 8
INVAR-1, Run: 042, F, 0, 2, 0, 2, 7, 13, 1, 13, 8
INVAR-1, Run: 043, F, 0, 2, 0, 1, 7, 12, 2, 8, 13
INVAR-1, Run: 044, F, 0, 2, 0, 1, 7, 12, 2, 7, 14
INVAR-1, Run: 045, P, 0, 2, 0, 0, 8, 12, 0, 5, 15
INVAR-1, Run: 046, F, 0, 2, 0, 2, 7, 13, 1, 13, 8
INVAR-1, Run: 047, F, 0, 2, 0, 3, 7, 14, 0, 12, 9
INVAR-1, Run: 048, P, 0, 2, 0, 0, 8, 12, 0, 0, 20
INVAR-1, Run: 049, P, 0, 2, 0, 0, 8, 12, 0, 2, 18
INVAR-1, Run: 050, P, 0, 2, 0, 0, 8, 12, 0, 11, 9
INVAR-1, Run: 051, F, 0, 2, 0, 2, 7, 13, 1, 10, 11
INVAR-1, Run: 052, F, 0, 2, 0, 1, 7, 12, 2, 15, 6
INVAR-1, Run: 053, P, 0, 2, 0, 0, 7, 11, 3, 5, 16
INVAR-1, Run: 054, P, 0, 2, 0, 0, 7, 11, 3, 3, 18
INVAR-1, Run: 055, F, 0, 2, 0, 1, 7, 12, 2, 5, 16
INVAR-1, Run: 056, F, 0, 2, 0, 1, 7, 12, 2, 12, 9
INVAR-1, Run: 057, F, 0, 2, 0, 1, 7, 12, 2, 12, 9
INVAR-1, Run: 058, F, 0, 2, 0, 1, 7, 12, 2, 6, 15
INVAR-1, Run: 059, P, 0, 2, 0, 0, 8, 12, 0, 5, 15
INVAR-1, Run: 060, P, 0, 2, 0, 0, 8, 12, 0, 1, 19
INVAR-1, Run: 061, F, 0, 2, 0, 2, 7, 13, 1, 10, 11
INVAR-1, Run: 062, F, 0, 2, 0, 2, 7, 13, 1, 8, 13
INVAR-1, Run: 063, F, 0, 2, 0, 2, 7, 13, 1, 11, 10
INVAR-1, Run: 064, F, 0, 2, 0, 1, 7, 12, 2, 9, 12
INVAR-1, Run: 065, F, 0, 2, 0, 1, 7, 12, 2, 4, 17
INVAR-1, Run: 066, F, 0, 2, 0, 3, 7, 14, 0, 6, 15
INVAR-1, Run: 067, F, 0, 2, 0, 1, 7, 12, 2, 2, 19
INVAR-1, Run: 068, F, 0, 2, 0, 3, 6, 13, 3, 9, 13
INVAR-1, Run: 069, F, 0, 2, 0, 1, 7, 12, 2, 4, 17
INVAR-1, Run: 070, P, 0, 2, 0, 0, 7, 11, 3, 4, 17
INVAR-1, Run: 071, P, 0, 2, 0, 0, 8, 12, 0, 1, 19
INVAR-1, Run: 072, F, 0, 2, 0, 2, 6, 12, 4, 12, 10
INVAR-1, Run: 073, F, 0, 2, 0, 1, 7, 12, 2, 15, 6
INVAR-1, Run: 074, F, 0, 2, 0, 1, 7, 12, 2, 9, 12
INVAR-1, Run: 075, F, 0, 2, 0, 1, 6, 11, 5, 7, 15
INVAR-1, Run: 076, F, 0, 2, 0, 1, 7, 12, 2, 6, 15
INVAR-1, Run: 077, F, 0, 2, 0, 1, 7, 12, 2, 15, 6
INVAR-1, Run: 078, F, 0, 2, 0, 1, 7, 12, 2, 16, 5
