Input Number, Run_Number, Result@ 100, V, X, Y
1, Run: 001, P, 18, 0, 0
1, Run: 002, P, 1, 0, 0
1, Run: 003, P, 4, 0, 0
1, Run: 004, P, 7, 0, 0
1, Run: 005, P, 3, 0, 0
1, Run: 006, P, 1, 0, 0
1, Run: 007, P, 1, 0, 0
1, Run: 008, P, 18, 0, 0
1, Run: 009, P, 7, 0, 0
1, Run: 010, P, 8, 0, 0
1, Run: 011, P, 10, 0, 0
1, Run: 012, P, 6, 0, 0
1, Run: 013, P, 2, 0, 0
1, Run: 014, P, 2, 0, 0
1, Run: 015, P, 4, 0, 0
1, Run: 016, P, 4, 0, 0
1, Run: 017, P, 1, 0, 0
1, Run: 018, P, 3, 0, 0
1, Run: 019, P, 1, 0, 0
1, Run: 020, P, 1, 0, 0
1, Run: 021, P, 2, 0, 0
1, Run: 022, P, 2, 0, 0
1, Run: 023, P, 9, 0, 0
1, Run: 024, P, 4, 0, 0
1, Run: 025, P, 4, 0, 0
1, Run: 026, P, 2, 0, 0
1, Run: 027, P, 14, 0, 0
1, Run: 028, P, 2, 0, 0
1, Run: 029, P, 1, 0, 0
1, Run: 030, P, 6, 0, 0
1, Run: 031, P, 3, 0, 0
1, Run: 032, P, 12, 0, 0
1, Run: 033, P, 15, 0, 0
1, Run: 034, P, 6, 0, 0
1, Run: 035, P, 2, 0, 0
1, Run: 036, P, 6, 0, 0
1, Run: 037, P, 15, 0, 0
1, Run: 038, P, 1, 0, 0
1, Run: 039, P, 4, 0, 0
1, Run: 040, P, 1, 0, 0
1, Run: 041, P, 1, 0, 0
1, Run: 042, P, 4, 0, 0
1, Run: 043, P, 4, 0, 0
1, Run: 044, P, 6, 0, 0
1, Run: 045, P, 1, 0, 0
1, Run: 046, P, 1, 0, 0
1, Run: 047, P, 4, 0, 0
1, Run: 048, P, 1, 0, 0
1, Run: 049, P, 1, 0, 0
1, Run: 050, P, 3, 0, 0
1, Run: 051, P, 12, 0, 0
1, Run: 052, P, 4, 0, 0
1, Run: 053, P, 7, 0, 0
1, Run: 054, P, 7, 0, 0
1, Run: 055, P, 5, 0, 0
1, Run: 056, P, 5, 0, 0
1, Run: 057, P, 4, 0, 0
1, Run: 058, P, 7, 0, 0
1, Run: 059, P, 2, 0, 0
1, Run: 060, P, 1, 0, 0
1, Run: 061, P, 1, 0, 0
1, Run: 062, P, 1, 0, 0
1, Run: 063, P, 8, 0, 0
1, Run: 064, P, 3, 0, 0
1, Run: 065, P, 2, 0, 0
1, Run: 066, P, 9, 0, 0
1, Run: 067, P, 5, 0, 0
1, Run: 068, P, 5, 0, 0
1, Run: 069, P, 8, 0, 0
1, Run: 070, P, 1, 0, 0
1, Run: 071, P, 14, 0, 0
1, Run: 072, P, 3, 0, 0
1, Run: 073, P, 1, 0, 0
1, Run: 074, P, 15, 0, 0
1, Run: 075, P, 5, 0, 0
1, Run: 076, P, 6, 0, 0
1, Run: 077, P, 10, 0, 0
1, Run: 078, P, 6, 0, 0
1, Run: 079, P, 15, 0, 0
1, Run: 080, P, 4, 0, 0
1, Run: 081, P, 14, 0, 0
1, Run: 082, P, 2, 0, 0
1, Run: 083, P, 8, 0, 0
1, Run: 084, P, 1, 0, 0
1, Run: 085, P, 1, 0, 0
1, Run: 086, P, 15, 0, 0
1, Run: 087, P, 6, 0, 0
1, Run: 088, P, 1, 0, 0
1, Run: 089, P, 2, 0, 0
1, Run: 090, P, 1, 0, 0
1, Run: 091, P, 3, 0, 0
1, Run: 092, P, 9, 0, 0
1, Run: 093, P, 2, 0, 0
1, Run: 094, P, 2, 0, 0
1, Run: 095, P, 7, 0, 0
1, Run: 096, P, 10, 0, 0
1, Run: 097, P, 2, 0, 0
1, Run: 098, P, 4, 0, 0
1, Run: 099, P, 3, 0, 0
1, Run: 100, P, 1, 0, 0
2, Run: 001, P, 3, 0, 0
2, Run: 002, P, 5, 0, 0
2, Run: 003, P, 2, 0, 0
2, Run: 004, P, 1, 0, 0
2, Run: 005, P, 18, 0, 0
2, Run: 006, P, 2, 0, 0
2, Run: 007, P, 13, 0, 0
2, Run: 008, P, 11, 0, 0
2, Run: 009, P, 1, 0, 0
2, Run: 010, P, 1, 0, 0
2, Run: 011, P, 1, 0, 0
2, Run: 012, P, 20, 0, 0
2, Run: 013, P, 22, 0, 0
2, Run: 014, P, 23, 0, 0
2, Run: 015, P, 10, 0, 0
2, Run: 016, P, 29, 0, 0
2, Run: 017, P, 3, 0, 0
2, Run: 018, P, 2, 0, 0
2, Run: 019, P, 1, 0, 0
2, Run: 020, P, 3, 0, 0
2, Run: 021, P, 4, 0, 0
2, Run: 022, P, 20, 0, 0
2, Run: 023, P, 5, 0, 0
2, Run: 024, P, 10, 0, 0
2, Run: 025, P, 25, 0, 0
2, Run: 026, P, 20, 0, 0
2, Run: 027, P, 6, 0, 0
2, Run: 028, P, 19, 0, 0
2, Run: 029, P, 2, 0, 0
2, Run: 030, P, 20, 0, 0
2, Run: 031, P, 23, 0, 0
2, Run: 032, P, 1, 0, 0
2, Run: 033, P, 2, 0, 0
2, Run: 034, P, 19, 0, 0
2, Run: 035, P, 16, 0, 0
2, Run: 036, P, 10, 0, 0
2, Run: 037, P, 2, 0, 0
2, Run: 038, P, 5, 0, 0
2, Run: 039, P, 1, 0, 0
2, Run: 040, P, 1, 0, 0
2, Run: 041, P, 3, 0, 0
2, Run: 042, P, 2, 0, 0
2, Run: 043, P, 1, 0, 0
2, Run: 044, P, 3, 0, 0
2, Run: 045, P, 30, 0, 0
2, Run: 046, P, 15, 0, 0
2, Run: 047, P, 19, 0, 0
2, Run: 048, P, 12, 0, 0
2, Run: 049, P, 18, 0, 0
2, Run: 050, P, 16, 0, 0
2, Run: 051, P, 1, 0, 0
2, Run: 052, P, 8, 0, 0
2, Run: 053, P, 4, 0, 0
2, Run: 054, P, 6, 0, 0
2, Run: 055, P, 19, 0, 0
2, Run: 056, P, 1, 0, 0
2, Run: 057, P, 3, 0, 0
2, Run: 058, P, 4, 0, 0
2, Run: 059, P, 31, 0, 0
2, Run: 060, P, 12, 0, 0
2, Run: 061, P, 6, 0, 0
2, Run: 062, P, 1, 0, 0
2, Run: 063, P, 6, 0, 0
2, Run: 064, P, 12, 0, 0
2, Run: 065, P, 18, 0, 0
2, Run: 066, P, 6, 0, 0
2, Run: 067, P, 9, 0, 0
2, Run: 068, P, 2, 0, 0
2, Run: 069, P, 6, 0, 0
2, Run: 070, P, 2, 0, 0
2, Run: 071, P, 14, 0, 0
2, Run: 072, P, 3, 0, 0
2, Run: 073, P, 31, 0, 0
2, Run: 074, P, 1, 0, 0
2, Run: 075, P, 17, 0, 0
2, Run: 076, P, 10, 0, 0
2, Run: 077, P, 2, 0, 0
2, Run: 078, P, 9, 0, 0
2, Run: 079, P, 1, 0, 0
2, Run: 080, P, 4, 0, 0
2, Run: 081, P, 2, 0, 0
2, Run: 082, P, 2, 0, 0
2, Run: 083, P, 1, 0, 0
2, Run: 084, P, 2, 0, 0
2, Run: 085, P, 27, 0, 0
2, Run: 086, P, 3, 0, 0
2, Run: 087, P, 5, 0, 0
2, Run: 088, P, 9, 0, 0
2, Run: 089, P, 1, 0, 0
2, Run: 090, P, 16, 0, 0
2, Run: 091, P, 9, 0, 0
2, Run: 092, P, 1, 0, 0
2, Run: 093, P, 16, 0, 0
2, Run: 094, P, 2, 0, 0
2, Run: 095, P, 30, 0, 0
2, Run: 096, P, 14, 0, 0
2, Run: 097, P, 5, 0, 0
2, Run: 098, P, 30, 0, 0
2, Run: 099, P, 1, 0, 0
2, Run: 100, P, 3, 0, 0
3, Run: 001, P, 17, 0, 0
3, Run: 002, P, 36, 0, 0
3, Run: 003, P, 46, 0, 0
3, Run: 004, P, 55, 0, 0
3, Run: 005, P, 11, 0, 0
3, Run: 006, P, 25, 0, 0
3, Run: 007, P, 23, 0, 0
3, Run: 008, P, 7, 0, 0
3, Run: 009, P, 49, 0, 0
3, Run: 010, P, 18, 0, 0
3, Run: 011, P, 4, 0, 0
3, Run: 012, P, 1, 0, 0
3, Run: 013, P, 5, 0, 0
3, Run: 014, P, 17, 0, 0
3, Run: 015, P, 22, 0, 0
3, Run: 016, P, 2, 0, 0
3, Run: 017, P, 2, 0, 0
3, Run: 018, P, 51, 0, 0
3, Run: 019, P, 11, 0, 0
3, Run: 020, P, 4, 0, 0
3, Run: 021, P, 1, 0, 0
3, Run: 022, P, 48, 0, 0
3, Run: 023, P, 62, 0, 0
3, Run: 024, P, 16, 0, 0
3, Run: 025, P, 49, 0, 0
3, Run: 026, P, 1, 0, 0
3, Run: 027, P, 18, 0, 0
3, Run: 028, P, 1, 0, 0
3, Run: 029, P, 51, 0, 0
3, Run: 030, P, 12, 0, 0
3, Run: 031, P, 6, 0, 0
3, Run: 032, P, 38, 0, 0
3, Run: 033, P, 54, 0, 0
3, Run: 034, P, 38, 0, 0
3, Run: 035, P, 12, 0, 0
3, Run: 036, P, 1, 0, 0
3, Run: 037, P, 38, 0, 0
3, Run: 038, P, 17, 0, 0
3, Run: 039, P, 31, 0, 0
3, Run: 040, P, 5, 0, 0
3, Run: 041, P, 52, 0, 0
3, Run: 042, P, 20, 0, 0
3, Run: 043, P, 25, 0, 0
3, Run: 044, P, 43, 0, 0
3, Run: 045, P, 13, 0, 0
3, Run: 046, P, 37, 0, 0
3, Run: 047, P, 15, 0, 0
3, Run: 048, P, 6, 0, 0
3, Run: 049, P, 2, 0, 0
3, Run: 050, P, 24, 0, 0
3, Run: 051, P, 2, 0, 0
3, Run: 052, P, 36, 0, 0
3, Run: 053, P, 20, 0, 0
3, Run: 054, P, 1, 0, 0
3, Run: 055, P, 4, 0, 0
3, Run: 056, P, 44, 0, 0
3, Run: 057, P, 2, 0, 0
3, Run: 058, P, 1, 0, 0
3, Run: 059, P, 1, 0, 0
3, Run: 060, P, 2, 0, 0
3, Run: 061, P, 2, 0, 0
3, Run: 062, P, 1, 0, 0
3, Run: 063, P, 32, 0, 0
3, Run: 064, P, 1, 0, 0
3, Run: 065, P, 33, 0, 0
3, Run: 066, P, 1, 0, 0
3, Run: 067, P, 1, 0, 0
3, Run: 068, P, 60, 0, 0
3, Run: 069, P, 36, 0, 0
3, Run: 070, P, 27, 0, 0
3, Run: 071, P, 1, 0, 0
3, Run: 072, P, 1, 0, 0
3, Run: 073, P, 11, 0, 0
3, Run: 074, P, 15, 0, 0
3, Run: 075, P, 7, 0, 0
3, Run: 076, P, 16, 0, 0
3, Run: 077, P, 15, 0, 0
3, Run: 078, P, 15, 0, 0
3, Run: 079, P, 1, 0, 0
3, Run: 080, P, 15, 0, 0
3, Run: 081, P, 7, 0, 0
3, Run: 082, P, 26, 0, 0
3, Run: 083, P, 44, 0, 0
3, Run: 084, P, 64, 0, 0
3, Run: 085, P, 26, 0, 0
3, Run: 086, P, 3, 0, 0
3, Run: 087, P, 35, 0, 0
3, Run: 088, P, 58, 0, 0
3, Run: 089, P, 26, 0, 0
3, Run: 090, P, 10, 0, 0
3, Run: 091, P, 42, 0, 0
3, Run: 092, P, 9, 0, 0
3, Run: 093, P, 30, 0, 0
3, Run: 094, P, 61, 0, 0
3, Run: 095, P, 7, 0, 0
3, Run: 096, P, 14, 0, 0
3, Run: 097, P, 19, 0, 0
3, Run: 098, P, 50, 0, 0
3, Run: 099, P, 60, 0, 0
3, Run: 100, P, 30, 0, 0
4, Run: 001, P, 2, 0, 0
4, Run: 002, P, 2, 0, 0
4, Run: 003, P, 6, 0, 0
4, Run: 004, P, 4, 0, 0
4, Run: 005, P, 1, 0, 0
4, Run: 006, P, 1, 0, 0
4, Run: 007, P, 2, 0, 0
4, Run: 008, P, 2, 0, 0
4, Run: 009, P, 1, 0, 0
4, Run: 010, P, 2, 0, 0
4, Run: 011, P, 2, 0, 0
4, Run: 012, P, 2, 0, 0
4, Run: 013, P, 2, 0, 0
4, Run: 014, P, 1, 0, 0
4, Run: 015, P, 3, 0, 0
4, Run: 016, P, 2, 0, 0
4, Run: 017, P, 1, 0, 0
4, Run: 018, P, 2, 0, 0
4, Run: 019, P, 5, 0, 0
4, Run: 020, P, 6, 0, 0
4, Run: 021, P, 1, 0, 0
4, Run: 022, P, 1, 0, 0
4, Run: 023, P, 5, 0, 0
