Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
M1,1,100,57,0,0,0,57
M1,10,100,80,0,0,0,80
M1,11,100,67,0,0,0,67
M1,12,100,75,0,0,0,75
M1,2,100,67,0,0,0,67
M1,3,100,61,0,0,0,61
M1,4,100,54,0,0,0,54
M1,5,100,62,0,0,0,62
M1,6,100,60,0,0,0,60
M1,7,100,59,0,0,0,59
M1,8,100,65,0,0,0,65
M1,9,100,67,0,0,0,67
M2,1,100,57,0,0,0,57
M2,10,100,80,0,0,0,80
M2,11,100,67,0,0,0,67
M2,12,100,75,0,0,0,75
M2,2,100,67,0,0,0,67
M2,3,100,61,0,0,0,61
M2,4,100,54,0,0,0,54
M2,5,100,62,0,0,0,62
M2,6,100,60,0,0,0,60
M2,7,100,60,0,0,0,60
M2,8,100,65,0,0,0,65
M2,9,100,67,0,0,0,67
M3,1,100,35,0,0,0,35
M3,10,100,30,0,0,0,30
M3,11,100,34,0,0,0,34
M3,12,100,16,0,0,0,16
M3,13,100,36,0,0,0,36
M3,14,100,38,0,0,0,38
M3,15,100,37,0,0,0,37
M3,16,100,38,0,0,0,38
M3,17,100,19,0,0,0,19
M3,18,100,41,0,0,0,41
M3,19,100,20,0,0,0,20
M3,2,100,39,0,0,0,39
M3,20,100,23,0,0,0,23
M3,21,100,38,0,0,0,38
M3,22,100,18,0,0,0,18
M3,3,100,27,0,0,0,27
M3,4,100,17,0,0,0,17
M3,5,100,26,0,0,0,26
M3,6,100,35,0,0,0,35
M3,7,100,35,0,0,0,35
M3,8,100,20,0,0,0,20
M3,9,100,49,0,0,0,49
M4,1,100,35,0,0,0,35
M4,10,100,26,0,0,0,26
M4,11,100,34,0,0,0,34
M4,12,100,16,0,0,0,16
M4,13,100,36,0,0,0,36
M4,14,100,37,0,0,0,37
M4,15,100,37,0,0,0,37
M4,16,100,38,0,0,0,38
M4,17,100,19,0,0,0,19
M4,18,100,41,0,0,0,41
M4,19,100,20,0,0,0,20
M4,2,100,39,0,0,0,39
M4,20,100,23,0,0,0,23
M4,21,100,38,0,0,0,38
M4,22,100,18,0,0,0,18
M4,3,100,27,0,0,0,27
M4,4,100,17,0,0,0,17
M4,5,100,26,0,0,0,26
M4,6,100,35,0,0,0,35
M4,7,100,35,0,0,0,35
M4,8,100,20,0,0,0,20
M4,9,100,49,0,0,0,49
M5,1,100,81,0,0,0,81
M5,2,100,78,0,0,0,78
M5,3,100,62,0,0,0,62
M5,4,100,73,0,0,0,73
M5,5,100,85,0,0,0,85
M5,6,100,69,0,0,0,69
