Input Number, Run_Number, Result@ 100, X, V, Y
1, Run: 001, F, 1, 20, 0
1, Run: 002, P, 0, 0, 2
1, Run: 003, F, 1, 7, 0
1, Run: 004, P, 0, 0, 2
1, Run: 005, F, 1, 12, 0
1, Run: 006, F, 1, 16, 0
1, Run: 007, F, 1, 16, 0
1, Run: 008, P, 0, 0, 2
1, Run: 009, F, 1, 16, 0
1, Run: 010, P, 0, 0, 2
1, Run: 011, P, 0, 0, 2
1, Run: 012, F, 1, 16, 0
1, Run: 013, F, 1, 6, 0
1, Run: 014, F, 1, 13, 0
1, Run: 015, F, 1, 14, 0
1, Run: 016, P, 0, 0, 2
1, Run: 017, P, 0, 0, 2
1, Run: 018, F, 1, 8, 0
1, Run: 019, P, 0, 0, 2
1, Run: 020, F, 1, 9, 0
1, Run: 021, P, 0, 0, 2
1, Run: 022, F, 1, 19, 0
1, Run: 023, P, 0, 0, 2
1, Run: 024, P, 0, 0, 2
1, Run: 025, F, 1, 14, 0
1, Run: 026, F, 1, 2, 0
1, Run: 027, F, 1, 6, 0
1, Run: 028, P, 0, 0, 2
1, Run: 029, F, 1, 16, 0
1, Run: 030, F, 1, 5, 0
1, Run: 031, P, 0, 0, 2
1, Run: 032, F, 1, 6, 0
1, Run: 033, F, 1, 12, 0
1, Run: 034, F, 1, 11, 0
1, Run: 035, F, 1, 12, 0
1, Run: 036, F, 1, 14, 0
1, Run: 037, F, 1, 4, 0
1, Run: 038, F, 1, 18, 0
1, Run: 039, F, 1, 15, 0
1, Run: 040, F, 1, 15, 0
1, Run: 041, P, 0, 0, 2
1, Run: 042, P, 0, 0, 2
1, Run: 043, P, 0, 0, 2
1, Run: 044, F, 1, 13, 0
1, Run: 045, P, 0, 0, 2
1, Run: 046, P, 0, 0, 2
1, Run: 047, P, 0, 0, 2
1, Run: 048, F, 1, 7, 0
1, Run: 049, F, 1, 12, 0
1, Run: 050, P, 0, 0, 2
1, Run: 051, F, 1, 21, 0
1, Run: 052, F, 1, 19, 0
1, Run: 053, F, 1, 13, 0
1, Run: 054, P, 0, 0, 2
1, Run: 055, F, 1, 5, 0
1, Run: 056, F, 1, 14, 0
1, Run: 057, F, 1, 12, 0
1, Run: 058, F, 1, 12, 0
1, Run: 059, F, 1, 16, 0
1, Run: 060, F, 1, 4, 0
1, Run: 061, F, 1, 14, 0
1, Run: 062, F, 1, 9, 0
1, Run: 063, P, 0, 0, 2
1, Run: 064, F, 1, 8, 0
1, Run: 065, F, 1, 7, 0
1, Run: 066, F, 1, 12, 0
1, Run: 067, P, 0, 0, 2
1, Run: 068, F, 1, 12, 0
1, Run: 069, P, 0, 0, 2
1, Run: 070, F, 1, 6, 0
1, Run: 071, F, 1, 17, 0
1, Run: 072, P, 0, 0, 2
1, Run: 073, F, 1, 17, 0
1, Run: 074, F, 1, 18, 0
1, Run: 075, F, 1, 15, 0
1, Run: 076, F, 1, 17, 0
1, Run: 077, F, 1, 14, 0
1, Run: 078, F, 1, 13, 0
1, Run: 079, F, 1, 3, 0
1, Run: 080, F, 1, 10, 0
1, Run: 081, P, 0, 0, 2
1, Run: 082, P, 0, 0, 2
1, Run: 083, P, 0, 0, 2
1, Run: 084, P, 0, 0, 2
1, Run: 085, F, 1, 14, 0
1, Run: 086, F, 1, 17, 0
1, Run: 087, F, 1, 10, 0
1, Run: 088, P, 0, 0, 2
1, Run: 089, P, 0, 0, 2
1, Run: 090, P, 0, 0, 2
1, Run: 091, P, 0, 0, 2
1, Run: 092, P, 0, 0, 2
