Input Number, Run_Number, Result@ 100, X, Y, V
1, Run: 001, P, 0, 0, 3
1, Run: 002, F, 3, 3, 0
1, Run: 003, F, 1, 1, 0
1, Run: 004, P, 0, 0, 1
1, Run: 005, P, 0, 0, 3
1, Run: 006, P, 0, 0, 2
1, Run: 007, P, 0, 0, 1
1, Run: 008, F, 1, 1, 0
1, Run: 009, F, 1, 1, 0
1, Run: 010, P, 0, 0, 2
1, Run: 011, F, 1, 1, 0
1, Run: 012, F, 1, 1, 0
1, Run: 013, P, 2, 2, 1
1, Run: 014, F, 1, 1, 0
1, Run: 015, P, 0, 0, 2
1, Run: 016, P, 0, 0, 1
1, Run: 017, P, 1, 1, 1
1, Run: 018, P, 1, 1, 1
1, Run: 019, P, 1, 1, 1
1, Run: 020, F, 2, 2, 0
1, Run: 021, P, 0, 0, 2
1, Run: 022, F, 1, 1, 0
1, Run: 023, F, 1, 1, 0
1, Run: 024, P, 0, 0, 2
1, Run: 025, P, 0, 0, 2
1, Run: 026, F, 2, 2, 0
1, Run: 027, P, 0, 0, 2
1, Run: 028, P, 3, 3, 1
1, Run: 029, P, 1, 1, 1
1, Run: 030, F, 1, 1, 0
1, Run: 031, P, 0, 0, 1
1, Run: 032, F, 1, 1, 0
1, Run: 033, P, 0, 0, 1
1, Run: 034, P, 1, 1, 1
1, Run: 035, P, 1, 1, 2
1, Run: 036, P, 0, 0, 1
1, Run: 037, P, 0, 0, 2
1, Run: 038, P, 1, 1, 1
1, Run: 039, P, 1, 1, 1
1, Run: 040, P, 1, 1, 2
1, Run: 041, P, 0, 0, 3
1, Run: 042, F, 2, 2, 0
1, Run: 043, F, 1, 1, 0
1, Run: 044, P, 1, 1, 1
1, Run: 045, F, 2, 2, 0
1, Run: 046, P, 0, 0, 1
1, Run: 047, P, 0, 0, 2
1, Run: 048, P, 0, 0, 2
1, Run: 049, P, 1, 1, 1
1, Run: 050, P, 1, 1, 1
1, Run: 051, P, 1, 1, 1
1, Run: 052, P, 1, 1, 1
1, Run: 053, P, 1, 1, 1
1, Run: 054, P, 1, 1, 1
1, Run: 055, F, 1, 1, 0
1, Run: 056, P, 0, 0, 2
1, Run: 057, P, 1, 1, 1
1, Run: 058, P, 1, 1, 2
1, Run: 059, F, 1, 1, 0
1, Run: 060, F, 2, 2, 0
1, Run: 061, P, 0, 0, 1
1, Run: 062, F, 2, 2, 0
1, Run: 063, P, 0, 0, 2
1, Run: 064, P, 0, 0, 1
1, Run: 065, F, 0, 3, 0
1, Run: 066, F, 1, 1, 0
1, Run: 067, F, 1, 1, 0
1, Run: 068, P, 0, 0, 2
1, Run: 069, P, 0, 0, 2
1, Run: 070, P, 0, 0, 3
1, Run: 071, P, 2, 2, 4
1, Run: 072, P, 0, 0, 1
1, Run: 073, P, 0, 0, 2
1, Run: 074, F, 2, 2, 0
1, Run: 075, P, 1, 1, 1
1, Run: 076, F, 1, 1, 0
1, Run: 077, P, 0, 0, 2
1, Run: 078, F, 2, 2, 0
1, Run: 079, P, 1, 1, 2
1, Run: 080, P, 0, 0, 1
1, Run: 081, F, 1, 1, 0
1, Run: 082, P, 1, 1, 1
1, Run: 083, P, 1, 1, 2
1, Run: 084, F, 1, 1, 0
1, Run: 085, P, 0, 0, 2
1, Run: 086, F, 1, 1, 0
1, Run: 087, F, 1, 1, 0
1, Run: 088, P, 0, 0, 1
1, Run: 089, P, 0, 0, 2
1, Run: 090, P, 0, 0, 4
1, Run: 091, F, 2, 2, 0
1, Run: 092, F, 1, 1, 0
1, Run: 093, F, 1, 1, 0
1, Run: 094, F, 1, 1, 0
1, Run: 095, P, 0, 0, 2
1, Run: 096, P, 1, 1, 2
1, Run: 097, P, 1, 1, 1
1, Run: 098, P, 1, 1, 1
1, Run: 099, P, 0, 0, 2
1, Run: 100, P, 0, 0, 2
2, Run: 001, P, 0, 0, 1
2, Run: 002, P, 1, 1, 2
2, Run: 003, P, 1, 1, 1
2, Run: 004, P, 0, 0, 3
2, Run: 005, P, 0, 0, 1
2, Run: 006, P, 0, 3, 2
2, Run: 007, P, 0, 0, 1
2, Run: 008, P, 2, 2, 1
2, Run: 009, F, 3, 3, 0
2, Run: 010, P, 0, 0, 2
2, Run: 011, P, 3, 0, 1
2, Run: 012, F, 2, 2, 0
2, Run: 013, P, 1, 1, 1
2, Run: 014, P, 0, 0, 1
2, Run: 015, P, 0, 0, 2
2, Run: 016, P, 0, 0, 1
2, Run: 017, P, 0, 0, 2
2, Run: 018, F, 1, 1, 0
2, Run: 019, F, 1, 1, 0
2, Run: 020, P, 1, 1, 3
2, Run: 021, P, 1, 1, 1
2, Run: 022, P, 1, 1, 2
2, Run: 023, P, 1, 1, 2
2, Run: 024, P, 1, 1, 1
2, Run: 025, P, 0, 0, 1
2, Run: 026, P, 1, 1, 2
2, Run: 027, P, 0, 0, 1
2, Run: 028, P, 1, 1, 1
2, Run: 029, F, 2, 2, 0
2, Run: 030, F, 1, 1, 0
2, Run: 031, P, 1, 1, 1
2, Run: 032, P, 1, 1, 1
2, Run: 033, P, 1, 1, 1
2, Run: 034, P, 0, 0, 2
2, Run: 035, P, 0, 0, 3
2, Run: 036, P, 0, 0, 3
2, Run: 037, P, 2, 2, 1
2, Run: 038, P, 2, 2, 1
2, Run: 039, P, 0, 0, 2
2, Run: 040, P, 0, 0, 1
2, Run: 041, P, 1, 1, 2
2, Run: 042, P, 0, 0, 1
2, Run: 043, P, 0, 0, 2
2, Run: 044, P, 0, 0, 2
2, Run: 045, P, 1, 1, 1
2, Run: 046, P, 0, 0, 1
2, Run: 047, P, 2, 2, 1
2, Run: 048, P, 0, 0, 2
2, Run: 049, P, 0, 0, 4
2, Run: 050, P, 2, 2, 2
2, Run: 051, F, 2, 2, 0
2, Run: 052, P, 0, 0, 2
2, Run: 053, P, 1, 1, 1
2, Run: 054, F, 2, 2, 0
2, Run: 055, P, 0, 0, 2
2, Run: 056, P, 3, 3, 4
2, Run: 057, P, 0, 0, 2
2, Run: 058, P, 1, 1, 1
2, Run: 059, P, 0, 0, 3
2, Run: 060, P, 2, 2, 2
2, Run: 061, P, 0, 0, 1
2, Run: 062, P, 1, 1, 1
2, Run: 063, P, 1, 1, 2
2, Run: 064, P, 0, 0, 2
2, Run: 065, P, 0, 0, 1
2, Run: 066, P, 1, 1, 2
2, Run: 067, P, 0, 0, 2
2, Run: 068, P, 3, 0, 1
2, Run: 069, F, 1, 1, 0
2, Run: 070, P, 0, 0, 1
2, Run: 071, F, 1, 1, 0
2, Run: 072, F, 2, 2, 0
2, Run: 073, F, 1, 1, 0
2, Run: 074, P, 0, 0, 1
2, Run: 075, P, 2, 2, 1
2, Run: 076, P, 0, 0, 3
2, Run: 077, F, 1, 1, 0
2, Run: 078, P, 1, 1, 3
2, Run: 079, P, 0, 0, 2
2, Run: 080, P, 1, 1, 1
2, Run: 081, P, 0, 0, 1
2, Run: 082, P, 0, 0, 2
2, Run: 083, F, 1, 1, 0
2, Run: 084, F, 1, 1, 0
2, Run: 085, F, 1, 1, 0
2, Run: 086, P, 1, 1, 1
2, Run: 087, P, 1, 1, 1
2, Run: 088, P, 2, 2, 2
2, Run: 089, P, 1, 1, 1
2, Run: 090, P, 0, 0, 2
2, Run: 091, P, 1, 1, 1
2, Run: 092, P, 1, 1, 1
2, Run: 093, F, 1, 1, 0
2, Run: 094, P, 0, 0, 3
2, Run: 095, P, 1, 1, 2
2, Run: 096, P, 0, 0, 1
2, Run: 097, P, 0, 0, 1
2, Run: 098, P, 0, 0, 1
2, Run: 099, P, 0, 0, 3
2, Run: 100, F, 1, 1, 0
3, Run: 001, F, 1, 1, 0
3, Run: 002, P, 1, 1, 1
3, Run: 003, F, 1, 1, 0
3, Run: 004, P, 0, 0, 2
3, Run: 005, P, 1, 1, 1
3, Run: 006, P, 0, 0, 3
3, Run: 007, F, 1, 1, 0
3, Run: 008, F, 1, 1, 0
3, Run: 009, F, 1, 1, 0
3, Run: 010, P, 0, 0, 1
3, Run: 011, P, 1, 1, 1
3, Run: 012, P, 1, 1, 1
3, Run: 013, F, 1, 1, 0
3, Run: 014, P, 1, 1, 2
3, Run: 015, P, 1, 1, 1
3, Run: 016, P, 0, 0, 1
3, Run: 017, P, 0, 0, 1
3, Run: 018, P, 1, 1, 1
3, Run: 019, P, 0, 0, 1
3, Run: 020, P, 0, 0, 2
3, Run: 021, P, 0, 0, 4
3, Run: 022, P, 1, 1, 1
3, Run: 023, P, 1, 1, 1
3, Run: 024, F, 1, 1, 0
3, Run: 025, P, 1, 1, 3
