Input Number, Run_Number, Result@ 100, Y, X, V
1, Run: 001, P, 0, 0, 16
1, Run: 002, P, 0, 0, 1
1, Run: 003, P, 0, 0, 6
1, Run: 004, P, 0, 0, 16
1, Run: 005, F, 0, 1, 0
1, Run: 006, P, 0, 0, 9
1, Run: 007, F, 0, 1, 0
1, Run: 008, F, 0, 1, 0
1, Run: 009, P, 0, 0, 7
1, Run: 010, P, 0, 0, 3
1, Run: 011, P, 0, 0, 14
1, Run: 012, P, 0, 0, 9
1, Run: 013, P, 0, 0, 9
1, Run: 014, F, 0, 1, 0
1, Run: 015, F, 0, 1, 0
1, Run: 016, P, 0, 0, 4
1, Run: 017, P, 0, 0, 4
1, Run: 018, F, 0, 1, 0
1, Run: 019, P, 0, 0, 10
1, Run: 020, P, 0, 0, 3
1, Run: 021, P, 0, 0, 7
1, Run: 022, F, 0, 1, 0
1, Run: 023, P, 0, 0, 16
1, Run: 024, F, 0, 1, 0
1, Run: 025, P, 0, 0, 11
1, Run: 026, P, 0, 0, 12
1, Run: 027, F, 0, 2, 0
1, Run: 028, F, 0, 1, 0
1, Run: 029, P, 0, 0, 12
1, Run: 030, P, 0, 0, 1
1, Run: 031, P, 0, 0, 7
1, Run: 032, P, 0, 0, 14
1, Run: 033, P, 0, 0, 3
1, Run: 034, F, 0, 1, 0
1, Run: 035, F, 0, 1, 0
1, Run: 036, P, 0, 0, 2
1, Run: 037, F, 0, 2, 0
1, Run: 038, F, 0, 1, 0
1, Run: 039, F, 0, 1, 0
1, Run: 040, F, 0, 2, 0
1, Run: 041, P, 0, 0, 2
1, Run: 042, P, 0, 0, 1
1, Run: 043, F, 0, 1, 0
1, Run: 044, P, 0, 0, 11
1, Run: 045, P, 0, 0, 7
1, Run: 046, P, 0, 0, 8
1, Run: 047, P, 0, 0, 2
1, Run: 048, P, 0, 0, 5
1, Run: 049, P, 0, 0, 12
1, Run: 050, F, 0, 1, 0
1, Run: 051, P, 0, 0, 17
1, Run: 052, P, 0, 0, 17
1, Run: 053, P, 0, 0, 13
1, Run: 054, F, 0, 0, 0
1, Run: 055, P, 0, 0, 9
1, Run: 056, F, 0, 1, 0
1, Run: 057, F, 0, 1, 0
1, Run: 058, F, 0, 1, 0
1, Run: 059, P, 0, 0, 13
1, Run: 060, F, 0, 1, 0
1, Run: 061, P, 0, 0, 10
1, Run: 062, P, 0, 0, 2
1, Run: 063, F, 0, 1, 0
1, Run: 064, P, 0, 0, 3
1, Run: 065, F, 0, 1, 0
1, Run: 066, F, 0, 1, 0
1, Run: 067, P, 0, 0, 6
1, Run: 068, F, 0, 1, 0
1, Run: 069, F, 0, 1, 0
1, Run: 070, P, 0, 0, 2
1, Run: 071, F, 0, 1, 0
1, Run: 072, P, 0, 0, 9
1, Run: 073, F, 0, 1, 0
1, Run: 074, P, 0, 0, 11
1, Run: 075, P, 0, 0, 10
1, Run: 076, P, 0, 0, 12
1, Run: 077, F, 0, 1, 0
1, Run: 078, F, 0, 1, 0
1, Run: 079, P, 0, 0, 8
1, Run: 080, P, 0, 0, 17
1, Run: 081, F, 0, 1, 0
1, Run: 082, P, 0, 0, 11
1, Run: 083, F, 0, 1, 0
1, Run: 084, P, 0, 0, 14
1, Run: 085, P, 0, 0, 11
1, Run: 086, F, 0, 1, 0
1, Run: 087, P, 0, 0, 13
1, Run: 088, F, 0, 2, 0
1, Run: 089, F, 0, 1, 0
1, Run: 090, F, 0, 1, 0
1, Run: 091, F, 0, 1, 0
1, Run: 092, F, 0, 1, 0
1, Run: 093, F, 0, 1, 0
1, Run: 094, F, 0, 1, 0
1, Run: 095, P, 0, 0, 6
1, Run: 096, P, 0, 0, 2
1, Run: 097, P, 0, 0, 11
1, Run: 098, P, 0, 0, 6
1, Run: 099, P, 0, 0, 12
1, Run: 100, P, 0, 0, 11
10, Run: 001, F, 0, 1, 0
10, Run: 002, P, 0, 0, 9
10, Run: 003, P, 0, 0, 3
10, Run: 004, P, 0, 0, 11
10, Run: 005, F, 0, 1, 0
10, Run: 006, F, 0, 2, 0
10, Run: 007, P, 0, 0, 17
10, Run: 008, P, 0, 0, 12
10, Run: 009, F, 0, 1, 0
10, Run: 010, F, 0, 1, 0
10, Run: 011, P, 0, 0, 5
10, Run: 012, F, 0, 1, 0
10, Run: 013, F, 0, 0, 0
10, Run: 014, F, 0, 1, 0
10, Run: 015, F, 0, 1, 0
10, Run: 016, P, 0, 0, 13
10, Run: 017, P, 0, 0, 13
10, Run: 018, F, 0, 1, 0
10, Run: 019, P, 0, 0, 17
10, Run: 020, P, 0, 0, 2
10, Run: 021, P, 0, 0, 2
10, Run: 022, P, 0, 0, 12
10, Run: 023, P, 0, 0, 4
10, Run: 024, P, 0, 0, 18
10, Run: 025, F, 0, 1, 0
10, Run: 026, P, 0, 0, 26
10, Run: 027, F, 0, 1, 0
10, Run: 028, P, 0, 0, 5
10, Run: 029, F, 0, 1, 0
10, Run: 030, F, 0, 2, 0
10, Run: 031, F, 0, 2, 0
10, Run: 032, P, 0, 0, 13
10, Run: 033, P, 0, 0, 2
10, Run: 034, F, 0, 2, 0
10, Run: 035, P, 0, 0, 15
10, Run: 036, P, 0, 0, 20
10, Run: 037, F, 0, 1, 0
10, Run: 038, F, 0, 2, 0
