Input Number, Run_Number, Result@ 100, V, Y, X
1, Run: 001, F, 13, 0, 0
1, Run: 002, F, 17, 0, 0
1, Run: 003, F, 10, 0, 0
1, Run: 004, P, 0, 0, 2
1, Run: 005, P, 0, 0, 2
1, Run: 006, F, 7, 0, 0
1, Run: 007, F, 15, 0, 0
1, Run: 008, P, 0, 0, 2
1, Run: 009, F, 13, 0, 0
1, Run: 010, P, 0, 0, 2
1, Run: 011, P, 0, 0, 2
1, Run: 012, F, 10, 0, 0
1, Run: 013, P, 0, 0, 2
1, Run: 014, P, 0, 0, 2
1, Run: 015, F, 16, 0, 0
1, Run: 016, P, 0, 0, 2
1, Run: 017, P, 0, 0, 1
1, Run: 018, P, 0, 0, 2
1, Run: 019, P, 0, 0, 2
1, Run: 020, F, 6, 0, 0
1, Run: 021, P, 0, 0, 1
1, Run: 022, P, 0, 0, 1
1, Run: 023, P, 0, 0, 1
1, Run: 024, F, 8, 0, 0
1, Run: 025, P, 0, 0, 1
1, Run: 026, F, 19, 0, 0
1, Run: 027, P, 0, 0, 1
1, Run: 028, P, 0, 0, 1
1, Run: 029, F, 7, 0, 0
1, Run: 030, P, 0, 0, 2
1, Run: 031, P, 0, 0, 2
1, Run: 032, P, 0, 0, 2
1, Run: 033, P, 0, 0, 1
1, Run: 034, P, 0, 0, 1
1, Run: 035, P, 0, 0, 1
1, Run: 036, F, 6, 0, 0
1, Run: 037, F, 10, 0, 0
1, Run: 038, F, 11, 0, 0
1, Run: 039, P, 0, 0, 2
1, Run: 040, P, 0, 0, 2
1, Run: 041, P, 0, 0, 2
1, Run: 042, P, 0, 0, 2
1, Run: 043, F, 2, 0, 0
1, Run: 044, P, 0, 0, 2
1, Run: 045, F, 15, 0, 0
1, Run: 046, P, 0, 0, 2
1, Run: 047, F, 3, 0, 0
1, Run: 048, P, 0, 0, 1
1, Run: 049, P, 0, 0, 2
1, Run: 050, F, 12, 0, 0
1, Run: 051, P, 0, 0, 2
1, Run: 052, P, 0, 0, 1
1, Run: 053, P, 0, 0, 2
1, Run: 054, P, 0, 0, 1
1, Run: 055, P, 0, 0, 1
1, Run: 056, F, 8, 0, 0
1, Run: 057, F, 14, 0, 0
1, Run: 058, P, 0, 0, 2
1, Run: 059, F, 15, 0, 0
1, Run: 060, P, 0, 0, 1
1, Run: 061, P, 0, 0, 1
1, Run: 062, P, 0, 0, 2
1, Run: 063, F, 9, 0, 0
1, Run: 064, P, 0, 0, 2
1, Run: 065, F, 7, 0, 0
1, Run: 066, F, 11, 0, 0
1, Run: 067, P, 0, 0, 1
1, Run: 068, P, 0, 0, 2
1, Run: 069, F, 2, 0, 0
