Input Number, Run_Number, Result@ 100, V, X, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 2, 1, 0, 125, 7, 12, 2, 140, 4
INVAR-1, Run: 002, F, 1, 1, 0, 90, 7, 12, 2, 99, 11
INVAR-1, Run: 003, F, 1, 1, 0, 102, 7, 12, 2, 118, 4
INVAR-1, Run: 004, F, 0, 1, 0, 94, 7, 12, 2, 112, 3
INVAR-1, Run: 005, F, 1, 0, 2, 82, 8, 12, 0, 2, 99
INVAR-1, Run: 006, F, 2, 1, 0, 95, 7, 12, 2, 107, 7
INVAR-1, Run: 007, F, 0, 1, 0, 110, 7, 12, 2, 125, 6
INVAR-1, Run: 008, F, 0, 1, 0, 111, 7, 12, 2, 129, 3
INVAR-1, Run: 009, F, 1, 0, 2, 124, 8, 12, 0, 2, 141
INVAR-1, Run: 010, F, 2, 1, 0, 104, 7, 12, 2, 113, 10
INVAR-1, Run: 011, F, 2, 0, 2, 94, 8, 12, 0, 1, 111
INVAR-1, Run: 012, F, 0, 1, 0, 104, 7, 12, 2, 119, 6
INVAR-1, Run: 013, F, 0, 1, 0, 86, 7, 12, 2, 106, 1
INVAR-1, Run: 014, F, 1, 0, 2, 83, 8, 12, 0, 2, 100
INVAR-1, Run: 015, F, 0, 1, 0, 115, 7, 12, 2, 133, 3
INVAR-1, Run: 016, F, 1, 1, 0, 94, 6, 11, 5, 107, 8
INVAR-1, Run: 017, F, 2, 1, 0, 115, 7, 12, 2, 127, 7
INVAR-1, Run: 018, F, 1, 1, 0, 92, 7, 12, 2, 105, 7
INVAR-1, Run: 019, F, 0, 0, 2, 103, 8, 12, 0, 2, 121
INVAR-1, Run: 020, F, 1, 1, 0, 88, 7, 12, 2, 101, 7
INVAR-1, Run: 021, F, 0, 1, 0, 95, 7, 12, 2, 110, 6
INVAR-1, Run: 022, F, 0, 0, 2, 99, 8, 12, 0, 7, 112
INVAR-1, Run: 023, F, 2, 0, 2, 90, 8, 12, 0, 1, 107
INVAR-1, Run: 024, F, 0, 0, 2, 101, 8, 12, 0, 2, 119
INVAR-1, Run: 025, F, 1, 0, 2, 94, 8, 12, 0, 5, 108
INVAR-1, Run: 026, F, 1, 1, 0, 106, 7, 12, 2, 124, 2
INVAR-1, Run: 027, F, 0, 0, 2, 97, 7, 11, 3, 4, 114
INVAR-1, Run: 028, F, 0, 1, 0, 112, 7, 12, 2, 125, 8
INVAR-1, Run: 029, F, 1, 1, 0, 100, 7, 12, 2, 113, 7
INVAR-1, Run: 030, F, 1, 1, 0, 104, 7, 12, 2, 119, 5
INVAR-1, Run: 031, F, 1, 1, 0, 98, 7, 12, 2, 114, 4
INVAR-1, Run: 032, F, 2, 1, 0, 107, 7, 12, 2, 121, 5
INVAR-1, Run: 033, F, 2, 1, 0, 92, 7, 12, 2, 102, 9
INVAR-1, Run: 034, F, 0, 1, 0, 85, 6, 11, 5, 105, 2
INVAR-1, Run: 035, F, 2, 1, 0, 98, 7, 12, 2, 111, 6
INVAR-1, Run: 036, F, 1, 1, 0, 85, 7, 12, 2, 103, 2
