Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 8, 0, 0, 5, 8, 11, 0, 3, 8
INVAR-1, Run: 002, F, 0, 0, 1, 3, 7, 11, 2, 19, 1
INVAR-1, Run: 003, F, 11, 0, 0, 2, 7, 11, 3, 1, 9
INVAR-1, Run: 004, F, 0, 0, 1, 3, 7, 11, 2, 16, 4
INVAR-1, Run: 005, F, 15, 0, 0, 5, 8, 11, 0, 0, 4
INVAR-1, Run: 006, F, 0, 0, 2, 4, 7, 11, 1, 14, 5
INVAR-1, Run: 007, F, 4, 0, 0, 2, 8, 12, 0, 14, 2
INVAR-1, Run: 008, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 009, F, 14, 0, 0, 2, 8, 12, 0, 2, 4
INVAR-1, Run: 010, F, 6, 0, 0, 5, 8, 11, 0, 10, 3
INVAR-1, Run: 011, F, 0, 0, 2, 4, 7, 11, 1, 16, 3
INVAR-1, Run: 012, P, 0, 0, 1, 0, 7, 12, 2, 17, 4
INVAR-1, Run: 013, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 014, F, 0, 0, 1, 6, 7, 10, 2, 18, 1
INVAR-1, Run: 015, F, 16, 0, 0, 2, 8, 12, 0, 2, 2
INVAR-1, Run: 016, F, 0, 0, 2, 4, 7, 11, 1, 11, 8
INVAR-1, Run: 017, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 018, F, 14, 0, 0, 5, 8, 11, 0, 1, 4
INVAR-1, Run: 019, F, 12, 0, 0, 5, 7, 10, 3, 5, 3
INVAR-1, Run: 020, F, 0, 0, 2, 1, 7, 12, 1, 17, 3
INVAR-1, Run: 021, F, 0, 0, 2, 1, 7, 12, 1, 19, 1
INVAR-1, Run: 022, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 023, F, 10, 0, 0, 5, 8, 11, 0, 5, 4
INVAR-1, Run: 024, F, 0, 0, 2, 1, 7, 12, 1, 18, 2
INVAR-1, Run: 025, F, 0, 0, 2, 4, 7, 11, 1, 17, 2
INVAR-1, Run: 026, F, 0, 0, 2, 4, 7, 11, 1, 15, 4
INVAR-1, Run: 027, P, 0, 0, 1, 0, 7, 12, 2, 19, 2
