Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 3, 0, 0, 100, 7, 44, 3, 13, 41
INVAR-1, Run: 002, F, 1, 0, 0, 89, 8, 42, 0, 3, 47
INVAR-1, Run: 003, F, 1, 0, 0, 104, 8, 47, 0, 7, 48
INVAR-1, Run: 004, F, 0, 0, 1, 100, 8, 46, 0, 0, 53
INVAR-1, Run: 005, F, 1, 0, 1, 92, 7, 42, 3, 20, 31
INVAR-1, Run: 006, F, 1, 0, 0, 101, 7, 45, 3, 13, 42
INVAR-1, Run: 007, F, 0, 0, 1, 106, 7, 47, 3, 12, 44
INVAR-1, Run: 008, F, 0, 0, 1, 100, 7, 45, 3, 18, 36
INVAR-1, Run: 009, F, 2, 0, 0, 102, 7, 45, 3, 14, 41
INVAR-1, Run: 010, F, 2, 0, 0, 93, 7, 42, 3, 1, 51
INVAR-1, Run: 011, F, 1, 0, 0, 101, 7, 45, 3, 9, 46
INVAR-1, Run: 012, F, 0, 0, 1, 106, 8, 48, 0, 4, 51
INVAR-1, Run: 013, F, 2, 0, 0, 108, 7, 47, 3, 14, 43
INVAR-1, Run: 014, F, 0, 0, 1, 124, 7, 53, 3, 11, 51
INVAR-1, Run: 015, F, 2, 0, 0, 99, 8, 45, 0, 6, 47
INVAR-1, Run: 016, F, 2, 0, 0, 93, 7, 42, 3, 14, 38
INVAR-1, Run: 017, F, 2, 0, 0, 93, 7, 42, 3, 6, 46
INVAR-1, Run: 018, F, 0, 0, 1, 106, 7, 47, 3, 12, 44
INVAR-1, Run: 019, F, 0, 0, 1, 79, 7, 38, 3, 15, 32
INVAR-1, Run: 020, F, 0, 0, 1, 106, 7, 47, 3, 15, 41
INVAR-1, Run: 021, F, 1, 0, 1, 107, 7, 47, 3, 13, 43
INVAR-1, Run: 022, F, 1, 0, 0, 92, 7, 42, 3, 12, 40
INVAR-1, Run: 023, F, 2, 0, 0, 111, 7, 48, 3, 17, 41
INVAR-1, Run: 024, F, 2, 0, 1, 84, 7, 39, 3, 14, 34
INVAR-1, Run: 025, F, 0, 0, 1, 106, 7, 47, 3, 8, 48
INVAR-1, Run: 026, F, 2, 0, 0, 87, 7, 40, 3, 5, 45
INVAR-1, Run: 027, F, 0, 0, 1, 97, 8, 45, 0, 1, 51
