Input Number, Run_Number, Result@ 100, X, Y, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 2, 1, 1, 93, 15, 20, 70, 80, 24
INVAR-1, Run: 002, F, 1, 0, 1, 100, 16, 21, 75, 78, 33
INVAR-1, Run: 003, F, 1, 0, 2, 98, 21, 26, 58, 60, 43
INVAR-1, Run: 004, F, 1, 0, 0, 89, 17, 22, 61, 83, 17
INVAR-1, Run: 005, F, 1, 0, 1, 95, 20, 25, 58, 75, 27
INVAR-1, Run: 006, F, 1, 0, 0, 98, 20, 25, 61, 75, 31
INVAR-1, Run: 007, F, 1, 0, 0, 97, 20, 25, 60, 70, 35
INVAR-1, Run: 008, F, 1, 0, 1, 102, 24, 29, 53, 62, 43
INVAR-1, Run: 009, F, 3, 2, 0, 82, 14, 19, 61, 65, 29
INVAR-1, Run: 010, F, 1, 0, 1, 99, 20, 25, 62, 74, 32
INVAR-1, Run: 011, F, 1, 0, 0, 89, 17, 22, 61, 70, 30
INVAR-1, Run: 012, F, 0, 2, 0, 125, 27, 31, 68, 81, 45
INVAR-1, Run: 013, F, 2, 1, 0, 83, 16, 21, 57, 58, 36
INVAR-1, Run: 014, F, 2, 1, 0, 98, 16, 21, 72, 78, 31
INVAR-1, Run: 015, F, 0, 2, 0, 110, 21, 25, 71, 75, 42
INVAR-1, Run: 016, F, 0, 2, 0, 105, 23, 27, 60, 69, 41
INVAR-1, Run: 017, F, 1, 0, 1, 88, 13, 18, 72, 70, 32
INVAR-1, Run: 018, F, 3, 2, 0, 83, 16, 21, 56, 60, 33
INVAR-1, Run: 019, F, 2, 1, 1, 97, 18, 23, 65, 73, 32
INVAR-1, Run: 020, F, 1, 0, 2, 101, 22, 27, 58, 59, 46
INVAR-1, Run: 021, F, 2, 1, 1, 108, 22, 27, 64, 80, 32
INVAR-1, Run: 022, F, 0, 2, 0, 107, 17, 21, 80, 74, 44
INVAR-1, Run: 023, F, 1, 0, 1, 95, 16, 21, 70, 59, 47
INVAR-1, Run: 024, F, 1, 0, 0, 102, 22, 27, 59, 73, 35
INVAR-1, Run: 025, F, 1, 0, 0, 122, 25, 30, 70, 74, 51
INVAR-1, Run: 026, F, 0, 2, 0, 100, 20, 24, 64, 66, 42
INVAR-1, Run: 027, F, 1, 0, 1, 106, 20, 25, 69, 74, 39
INVAR-1, Run: 028, F, 2, 1, 1, 118, 20, 25, 80, 80, 44
INVAR-1, Run: 029, F, 1, 0, 0, 99, 20, 25, 62, 69, 38
INVAR-1, Run: 030, F, 3, 2, 0, 101, 22, 27, 56, 65, 40
INVAR-1, Run: 031, F, 0, 2, 1, 100, 19, 23, 67, 77, 31
INVAR-1, Run: 032, F, 2, 1, 1, 90, 17, 22, 61, 72, 27
