Input Number, Run_Number, Result@ 100, X, V, Y, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-1, Run: 001, F, 1, 1, 0, 84, 62, 11, 5, 67, 10
INVAR-1, Run: 002, F, 0, 1, 0, 100, 74, 12, 2, 84, 3
INVAR-1, Run: 003, F, 1, 2, 0, 123, 89, 12, 2, 92, 9
INVAR-1, Run: 004, F, 4, 0, 0, 96, 70, 12, 2, 74, 10
INVAR-1, Run: 005, F, 2, 0, 0, 89, 66, 12, 2, 61, 19
INVAR-1, Run: 006, F, 2, 0, 0, 98, 71, 11, 5, 76, 11
INVAR-1, Run: 007, F, 1, 0, 0, 108, 79, 12, 2, 81, 12
INVAR-1, Run: 008, F, 0, 2, 0, 88, 65, 11, 5, 64, 15
INVAR-1, Run: 009, F, 0, 1, 0, 85, 64, 12, 2, 59, 18
INVAR-1, Run: 010, F, 1, 1, 0, 105, 77, 12, 2, 79, 11
INVAR-1, Run: 011, F, 0, 1, 0, 115, 84, 12, 2, 93, 4
INVAR-1, Run: 012, F, 0, 1, 0, 103, 76, 12, 2, 88, 1
INVAR-1, Run: 013, F, 0, 2, 0, 112, 82, 12, 2, 86, 8
INVAR-1, Run: 014, F, 2, 0, 0, 119, 86, 12, 2, 91, 9
INVAR-1, Run: 015, F, 1, 2, 0, 102, 75, 12, 2, 80, 7
INVAR-1, Run: 016, F, 0, 1, 0, 94, 70, 12, 2, 80, 3
INVAR-1, Run: 017, F, 1, 2, 0, 117, 85, 12, 2, 91, 6
INVAR-1, Run: 018, F, 1, 1, 0, 111, 81, 12, 2, 84, 10
INVAR-1, Run: 019, F, 1, 0, 0, 84, 63, 12, 2, 73, 4
INVAR-1, Run: 020, F, 0, 2, 0, 88, 66, 12, 2, 72, 6
INVAR-1, Run: 021, F, 2, 0, 0, 122, 87, 11, 5, 94, 9
INVAR-1, Run: 022, F, 0, 1, 0, 85, 64, 12, 2, 66, 11
INVAR-1, Run: 023, F, 3, 0, 0, 100, 73, 12, 2, 72, 15
INVAR-1, Run: 024, F, 1, 1, 0, 111, 81, 12, 2, 89, 5
INVAR-1, Run: 025, F, 0, 1, 0, 106, 78, 12, 2, 87, 4
INVAR-1, Run: 026, F, 2, 0, 0, 104, 76, 12, 2, 84, 6
INVAR-1, Run: 027, F, 1, 0, 0, 99, 73, 12, 2, 76, 11
INVAR-1, Run: 028, F, 2, 1, 0, 104, 76, 12, 2, 86, 3
INVAR-1, Run: 029, F, 1, 2, 0, 111, 81, 12, 2, 93, 0
