Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, D, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, L3
INVAR-1, Run: 001, F, 0, 10, 0, 0, 0, 72, 0, 0, 76, 0, 0, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 002, F, 0, 10, 0, 0, 0, 77, 0, 0, 67, 1, 1, 0, 1, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 003, F, 0, 0, 0, 10, 0, 68, 0, 0, 77, 0, 1, 0, 0, 3, 1, 1, 6, 0, 0
INVAR-1, Run: 004, F, 0, 10, 0, 0, 0, 70, 0, 0, 77, 0, 1, 0, 0, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 005, F, 0, 10, 0, 0, 0, 73, 0, 0, 68, 1, 2, 0, 2, 1, 3, 1, 6, 0, 0
INVAR-1, Run: 006, F, 10, 0, 0, 0, 0, 63, 0, 0, 84, 0, 1, 0, 1, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 007, F, 0, 10, 0, 0, 0, 74, 0, 0, 66, 0, 6, 0, 2, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 008, F, 0, 10, 0, 0, 0, 70, 0, 0, 72, 2, 3, 1, 1, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 009, F, 0, 10, 0, 0, 0, 89, 0, 0, 52, 2, 1, 1, 1, 3, 1, 1, 6, 0, 0
INVAR-1, Run: 010, F, 0, 10, 0, 0, 0, 65, 0, 0, 78, 0, 2, 0, 0, 5, 0, 1, 6, 0, 0
INVAR-1, Run: 011, F, 0, 10, 0, 0, 0, 76, 0, 0, 72, 0, 0, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 012, F, 0, 10, 0, 0, 0, 74, 0, 0, 71, 1, 0, 2, 0, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 013, F, 0, 10, 0, 0, 0, 70, 0, 0, 74, 0, 0, 1, 2, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 014, F, 0, 10, 0, 0, 0, 69, 0, 0, 77, 2, 0, 1, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 015, F, 0, 0, 0, 10, 0, 65, 0, 0, 81, 0, 0, 0, 2, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 016, F, 0, 10, 0, 0, 0, 77, 0, 0, 69, 2, 2, 0, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 017, F, 0, 10, 0, 0, 0, 69, 0, 0, 74, 2, 1, 3, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 018, F, 10, 0, 0, 0, 0, 63, 0, 0, 84, 0, 0, 0, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 019, F, 0, 10, 0, 0, 0, 77, 0, 0, 71, 1, 0, 1, 0, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 020, F, 0, 10, 0, 0, 0, 66, 0, 0, 78, 1, 0, 0, 0, 2, 3, 1, 6, 0, 0
INVAR-1, Run: 021, F, 0, 10, 0, 0, 0, 68, 0, 0, 74, 1, 2, 3, 1, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 022, F, 0, 10, 0, 0, 0, 68, 0, 0, 75, 0, 2, 2, 0, 1, 2, 1, 6, 0, 0
INVAR-1, Run: 023, F, 0, 10, 0, 0, 0, 74, 0, 0, 72, 1, 0, 2, 0, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 024, F, 0, 10, 0, 0, 0, 73, 0, 0, 66, 0, 1, 1, 3, 2, 4, 1, 6, 0, 0
INVAR-1, Run: 025, F, 0, 10, 0, 0, 0, 72, 0, 0, 66, 3, 1, 3, 3, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 026, F, 0, 0, 0, 10, 0, 71, 0, 0, 72, 1, 1, 2, 1, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 027, F, 0, 10, 0, 0, 0, 69, 0, 0, 75, 2, 2, 1, 0, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 028, F, 0, 10, 0, 0, 0, 76, 0, 0, 63, 1, 3, 0, 1, 2, 4, 1, 6, 0, 0
INVAR-1, Run: 029, F, 0, 10, 0, 0, 0, 75, 0, 0, 66, 0, 0, 3, 1, 3, 2, 1, 6, 0, 0
INVAR-1, Run: 030, F, 0, 10, 0, 0, 0, 74, 0, 0, 68, 1, 2, 0, 1, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 031, F, 10, 0, 0, 0, 0, 55, 0, 0, 88, 1, 1, 0, 1, 3, 1, 1, 6, 0, 0
INVAR-1, Run: 032, F, 0, 10, 0, 0, 0, 60, 0, 0, 85, 2, 1, 0, 1, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 033, F, 0, 10, 0, 0, 0, 68, 0, 0, 77, 2, 0, 0, 2, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 034, F, 0, 0, 0, 10, 0, 75, 0, 0, 69, 0, 1, 3, 1, 0, 1, 1, 6, 0, 0
INVAR-1, Run: 035, F, 0, 10, 0, 0, 0, 81, 0, 0, 62, 0, 2, 0, 2, 2, 1, 1, 6, 0, 0
INVAR-1, Run: 036, F, 0, 0, 0, 10, 0, 63, 0, 0, 82, 0, 0, 1, 2, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 037, F, 10, 0, 0, 0, 0, 63, 0, 0, 81, 2, 0, 0, 0, 2, 2, 1, 6, 0, 0
INVAR-1, Run: 038, F, 0, 10, 0, 0, 0, 71, 0, 0, 73, 1, 2, 0, 1, 0, 2, 1, 6, 0, 0
INVAR-1, Run: 039, F, 0, 10, 0, 0, 0, 72, 0, 0, 69, 1, 2, 2, 2, 1, 1, 1, 6, 0, 0
INVAR-1, Run: 040, F, 0, 10, 0, 0, 0, 73, 0, 0, 69, 1, 3, 2, 1, 1, 0, 1, 6, 0, 0
INVAR-1, Run: 041, F, 0, 10, 0, 0, 0, 78, 0, 0, 67, 1, 1, 2, 1, 0, 0, 1, 6, 0, 0
INVAR-1, Run: 042, F, 0, 10, 0, 0, 0, 77, 0, 0, 67, 0, 1, 2, 1, 2, 0, 1, 6, 0, 0
INVAR-1, Run: 043, F, 0, 0, 0, 10, 0, 85, 0, 0, 55, 2, 1, 1, 2, 2, 2, 1, 6, 0, 0
