Input Number, Run_Number, Result@ 1000, A, B, H, C, L5, T2, T5, L4, L1, Y, T1, T3, T4, T6, R, U, L2, D, L3
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 82, 0, 1, 1, 1, 1, 6, 0, 83, 0
INVAR-1, Run: 002, P, 0, 0, 0, 10, 0, 0, 2, 0, 0, 76, 0, 2, 1, 2, 1, 6, 0, 91, 0
INVAR-1, Run: 003, P, 10, 0, 0, 0, 0, 2, 1, 0, 0, 78, 1, 2, 1, 2, 1, 6, 0, 85, 0
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 1, 0, 0, 78, 1, 2, 0, 1, 1, 6, 0, 89, 0
INVAR-1, Run: 005, P, 10, 0, 0, 0, 0, 1, 0, 0, 0, 82, 0, 1, 3, 2, 1, 6, 0, 79, 0
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 0, 2, 0, 0, 67, 2, 3, 2, 0, 1, 6, 0, 107, 0
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 0, 2, 0, 0, 65, 1, 0, 2, 2, 1, 6, 0, 113, 0
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 3, 0, 0, 76, 1, 0, 1, 1, 1, 6, 0, 92, 0
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 86, 1, 0, 2, 0, 1, 6, 0, 73, 0
INVAR-1, Run: 010, P, 0, 0, 0, 10, 0, 1, 0, 0, 0, 79, 2, 1, 0, 0, 1, 6, 0, 88, 0
INVAR-1, Run: 011, P, 0, 0, 0, 10, 0, 1, 3, 0, 0, 83, 1, 0, 0, 2, 1, 6, 0, 77, 0
INVAR-1, Run: 012, P, 0, 10, 0, 0, 0, 2, 0, 0, 0, 66, 4, 0, 2, 1, 1, 6, 0, 109, 0
INVAR-1, Run: 013, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 85, 1, 0, 0, 1, 1, 6, 0, 76, 0
INVAR-1, Run: 014, P, 0, 10, 0, 0, 0, 2, 1, 0, 0, 79, 1, 1, 2, 1, 1, 6, 0, 84, 0
INVAR-1, Run: 015, P, 0, 0, 0, 10, 0, 2, 2, 0, 0, 80, 1, 2, 1, 0, 1, 6, 0, 82, 0
INVAR-1, Run: 016, P, 0, 10, 0, 0, 0, 2, 3, 0, 0, 78, 0, 1, 0, 2, 1, 6, 0, 86, 0
INVAR-1, Run: 017, P, 0, 10, 0, 0, 0, 1, 0, 0, 0, 58, 1, 1, 2, 1, 1, 6, 0, 128, 0
INVAR-1, Run: 018, P, 0, 10, 0, 0, 0, 1, 1, 0, 0, 81, 2, 2, 2, 0, 1, 6, 0, 80, 0
