Input Number, Run_Number, Result@ 1000, A, B, H, C, T4, T6, Y, L4, L1, L5, T1, T2, T3, T5, R, U, L2, D, L3
1, Run: 001, P, 0, 10, 0, 0, 0, 1, 103, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 002, P, 0, 10, 0, 0, 0, 2, 104, 0, 0, 0, 2, 1, 2, 0, 1, 6, 0, 43, 0
1, Run: 003, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 004, P, 0, 0, 0, 10, 0, 1, 106, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 005, P, 0, 0, 0, 10, 0, 2, 110, 0, 0, 0, 4, 0, 1, 0, 1, 6, 0, 43, 0
1, Run: 006, P, 0, 10, 0, 0, 2, 0, 108, 0, 0, 0, 0, 2, 0, 0, 1, 6, 0, 46, 0
1, Run: 007, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 008, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 009, P, 0, 10, 0, 0, 1, 1, 106, 0, 0, 0, 2, 3, 0, 0, 1, 6, 0, 43, 0
1, Run: 010, P, 0, 10, 0, 0, 0, 1, 105, 0, 0, 0, 1, 1, 0, 2, 1, 6, 0, 45, 0
1, Run: 011, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 2, 0, 1, 6, 0, 48, 0
1, Run: 012, P, 0, 10, 0, 0, 1, 0, 107, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 013, P, 0, 10, 0, 0, 1, 0, 103, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 014, P, 0, 10, 0, 0, 1, 0, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 49, 0
1, Run: 015, P, 0, 10, 0, 0, 1, 1, 105, 0, 0, 0, 0, 0, 0, 2, 1, 6, 0, 46, 0
1, Run: 016, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 017, P, 0, 10, 0, 0, 1, 1, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 018, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 48, 0
1, Run: 019, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 020, P, 0, 10, 0, 0, 1, 1, 105, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 47, 0
1, Run: 021, P, 0, 10, 0, 0, 0, 0, 109, 0, 0, 0, 0, 1, 1, 0, 1, 6, 0, 48, 0
1, Run: 022, P, 10, 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 1, 1, 6, 0, 49, 0
1, Run: 023, P, 0, 10, 0, 0, 1, 1, 108, 0, 0, 0, 2, 0, 0, 1, 1, 6, 0, 45, 0
1, Run: 024, P, 10, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
1, Run: 025, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 2, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 026, P, 0, 10, 0, 0, 0, 1, 108, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 47, 0
1, Run: 027, P, 10, 0, 0, 0, 1, 0, 100, 0, 0, 0, 0, 1, 2, 0, 1, 6, 0, 46, 0
1, Run: 028, P, 0, 0, 0, 10, 0, 0, 108, 0, 0, 0, 2, 1, 0, 2, 1, 6, 0, 45, 0
1, Run: 029, P, 0, 0, 0, 10, 0, 0, 103, 0, 0, 0, 1, 0, 1, 1, 1, 6, 0, 47, 0
1, Run: 030, P, 0, 10, 0, 0, 1, 0, 106, 0, 0, 0, 1, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 031, P, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 2, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 032, P, 0, 10, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 1, 1, 1, 6, 0, 48, 0
1, Run: 033, P, 0, 10, 0, 0, 1, 0, 105, 0, 0, 0, 0, 0, 1, 3, 1, 6, 0, 45, 0
1, Run: 034, P, 0, 10, 0, 0, 0, 0, 105, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 035, P, 0, 10, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 2, 1, 6, 0, 48, 0
1, Run: 036, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 1, 0, 0, 2, 1, 6, 0, 47, 0
1, Run: 037, P, 0, 10, 0, 0, 2, 1, 102, 0, 0, 0, 1, 1, 0, 0, 1, 6, 0, 45, 0
1, Run: 038, P, 0, 10, 0, 0, 0, 1, 108, 0, 0, 0, 0, 0, 3, 0, 1, 6, 0, 46, 0
1, Run: 039, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 040, P, 0, 10, 0, 0, 1, 0, 108, 0, 0, 0, 2, 1, 0, 1, 1, 6, 0, 45, 0
1, Run: 041, P, 10, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 48, 0
1, Run: 042, P, 0, 10, 0, 0, 1, 3, 109, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 46, 0
1, Run: 043, P, 0, 10, 0, 0, 1, 0, 108, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 48, 0
1, Run: 044, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 1, 0, 1, 6, 0, 49, 0
1, Run: 045, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 50, 0
1, Run: 046, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 1, 0, 0, 1, 6, 0, 49, 0
1, Run: 047, P, 0, 10, 0, 0, 0, 0, 106, 0, 0, 0, 0, 1, 1, 1, 1, 6, 0, 47, 0
1, Run: 048, P, 0, 10, 0, 0, 0, 2, 104, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 48, 0
1, Run: 049, P, 0, 10, 0, 0, 1, 2, 107, 0, 0, 0, 0, 0, 2, 0, 1, 6, 0, 45, 0
1, Run: 050, P, 0, 10, 0, 0, 0, 0, 105, 0, 0, 0, 1, 1, 0, 1, 1, 6, 0, 47, 0
1, Run: 051, P, 0, 10, 0, 0, 0, 2, 105, 0, 0, 0, 0, 1, 0, 1, 1, 6, 0, 46, 0
1, Run: 052, P, 0, 10, 0, 0, 0, 0, 107, 0, 0, 0, 0, 2, 1, 1, 1, 6, 0, 46, 0
