Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
1, Run: 001, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 002, P, 0, 10, 0, 0, 0, 96, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
1, Run: 003, F, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 0, 0, 0, 0, 1, 1, 0, 49, 0
1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 1, 100, 2, 2, 1, 1, 0, 0, 1, 0, 44, 0
1, Run: 005, P, 0, 10, 0, 0, 0, 87, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 8, 0, 5
1, Run: 006, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 007, P, 0, 0, 0, 10, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
1, Run: 008, P, 0, 0, 0, 10, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 009, P, 0, 10, 0, 0, 2, 84, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 3
1, Run: 010, P, 10, 0, 0, 0, 7, 54, 7, 0, 1, 25, 11, 4, 6, 0, 2, 1, 16, 2, 15
1, Run: 011, P, 0, 10, 0, 0, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 012, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
1, Run: 013, F, 10, 0, 0, 0, 0, 0, 0, 6, 100, 0, 1, 0, 1, 1, 1, 1, 0, 46, 0
1, Run: 014, F, 10, 0, 0, 0, 0, 0, 0, 6, 100, 2, 0, 1, 0, 0, 0, 1, 0, 47, 0
