Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, R, U, L2, T6, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 91, 74, 142, 49613, 49113, 48626, 48149, 500, 789, 486, 477, 48101, 0, 0, 0, 552, 407, 316, 242, 237, 145
INVAR-1, Run: 002, E, 10, 0, 0, 0, 0, 0, 0, 100, 1, 0, 1, 1, 47, 1, 6, 0, 0, 0, 0, 7, 8, 9, 7, 39, 26, 32, 49801, 49311, 48808, 48346, 490, 422, 502, 461, 48299, 0, 0, 0, 280, 197, 158, 132, 142, 83
INVAR-1, Run: 003, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 55, 32, 57, 49787, 49281, 48760, 48262, 506, 452, 521, 497, 48213, 0, 0, 0, 319, 244, 189, 157, 133, 75
INVAR-1, Run: 004, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 0, 1, 2, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 77, 32, 76, 49730, 49204, 48658, 48148, 526, 578, 545, 508, 48102, 0, 0, 0, 401, 285, 208, 176, 177, 116
INVAR-1, Run: 005, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 2, 1, 1, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 110, 66, 115, 49141, 48651, 48160, 47654, 488, 872, 490, 505, 47608, 0, 0, 0, 564, 391, 281, 215, 308, 173
INVAR-1, Run: 006, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 1, 1, 1, 46, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 74, 41, 54, 49336, 48818, 48337, 47844, 517, 651, 480, 492, 47798, 0, 0, 0, 396, 269, 195, 154, 255, 127
INVAR-1, Run: 007, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 1, 0, 1, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 55, 42, 47, 49666, 49151, 48642, 48131, 514, 668, 509, 510, 48083, 0, 0, 0, 389, 244, 189, 147, 279, 145
INVAR-1, Run: 008, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 2, 0, 48, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 49, 32, 74, 49441, 48964, 48468, 47953, 477, 414, 494, 515, 47905, 0, 0, 0, 316, 255, 206, 174, 98, 61
INVAR-1, Run: 009, E, 0, 10, 0, 0, 0, 0, 0, 100, 0, 0, 0, 1, 49, 1, 6, 0, 0, 0, 0, 24, 15, 16, 24, 150, 102, 171, 49409, 48923, 48427, 47914, 486, 1498, 496, 512, 47865, 0, 0, 0, 848, 523, 373, 271, 650, 325
INVAR-1, Run: 010, E, 0, 10, 0, 0, 0, 0, 0, 100, 1, 2, 0, 2, 45, 1, 6, 0, 0, 0, 0, 9, 0, 1, 9, 56, 33, 83, 49221, 48729, 48242, 47700, 490, 487, 487, 540, 47655, 0, 0, 0, 361, 272, 216, 183, 126, 89
