Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A10,INVAR-1,100,0,0,0,0,0
A10,INVAR-2,100,0,0,0,0,0
A10,INVAR-3,100,0,0,0,0,0
A11,INVAR-1,100,100,0,0,0,100
A11,INVAR-2,100,100,0,0,0,100
A11,INVAR-3,100,100,0,0,0,100
A12,INVAR-1,100,100,0,0,0,100
A12,INVAR-2,100,100,0,0,0,100
A12,INVAR-3,100,100,0,0,0,100
A13,INVAR-1,100,100,0,0,0,100
A13,INVAR-2,100,100,0,0,0,100
A13,INVAR-3,100,100,0,0,0,100
A14,INVAR-1,100,100,0,0,0,100
A14,INVAR-2,100,100,0,0,0,100
A14,INVAR-3,100,100,0,0,0,100
A15,INVAR-1,100,0,0,0,0,0
A15,INVAR-2,100,0,0,0,0,0
A15,INVAR-3,100,0,0,0,0,0
A16,INVAR-1,100,0,0,0,0,0
A16,INVAR-2,100,0,0,0,0,0
A16,INVAR-3,100,0,0,0,0,0
A6,INVAR-1,100,0,0,0,0,0
A6,INVAR-2,100,0,0,0,0,0
A6,INVAR-3,100,0,0,0,0,0
A7,INVAR-1,100,0,0,0,0,0
A7,INVAR-2,100,0,0,0,0,0
A7,INVAR-3,100,0,0,0,0,0
A8,INVAR-1,100,0,0,0,0,0
A8,INVAR-2,100,0,0,0,0,0
A8,INVAR-3,100,0,0,0,0,0
A9,INVAR-1,100,0,0,0,0,0
A9,INVAR-2,100,0,0,0,0,0
A9,INVAR-3,100,0,0,0,0,0
