Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 1, 97, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 6, 6, 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 43, 15, 8, 0, 48, 28
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 20, 6, 3, 28, 6, 0, 0, 0, 22, 110, 6, 0, 0, 0, 0, 0, 53, 30, 10, 3, 57, 23
INVAR-1, Run: 003, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 20, 6, 2, 26, 7, 1, 0, 0, 19, 91, 6, 1, 0, 0, 0, 0, 63, 29, 9, 2, 28, 34
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 96, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0, 9, 0, 1, 9, 26, 6, 2, 23, 5, 1, 1, 0, 18, 255, 4, 0, 1, 0, 0, 0, 78, 35, 9, 2, 174, 43
INVAR-1, Run: 005, P, 10, 0, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 8, 9, 10, 8, 8, 6, 2, 19, 6, 1, 0, 0, 13, 100, 5, 1, 0, 0, 0, 0, 51, 17, 9, 2, 49, 34
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16, 7, 8, 16, 15, 6, 1, 17, 3, 0, 0, 0, 14, 166, 3, 0, 0, 0, 0, 0, 76, 23, 8, 1, 90, 53
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 13, 6, 1, 17, 0, 0, 0, 0, 17, 126, 0, 0, 0, 0, 0, 0, 56, 20, 7, 1, 70, 36
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 11, 6, 1, 22, 4, 2, 0, 0, 18, 96, 2, 2, 0, 0, 0, 0, 50, 19, 8, 1, 46, 31
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 98, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 16, 7, 8, 16, 15, 6, 3, 36, 11, 2, 0, 0, 25, 119, 9, 2, 0, 0, 0, 0, 57, 26, 11, 3, 62, 31
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 91, 9, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 9, 0, 1, 9, 24, 6, 14, 70, 53, 42, 34, 23, 17, 98, 11, 8, 11, 7, 16, 16, 73, 53, 29, 14, 25, 20
INVAR-1, Run: 011, P, 0, 0, 0, 10, 0, 97, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0, 19, 20, 11, 19, 22, 6, 4, 41, 16, 2, 0, 0, 25, 97, 14, 2, 0, 0, 0, 0, 59, 35, 13, 4, 38, 24
