Input Number, Run_Number, Result@ 1000, A, B, H, C, T1, L3, L4, L1, L5, Y, T2, T3, T4, T5, T6, R, U, L2, D, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 101, 74, 103, 4375, 4331, 4292, 4252, 4220, 44, 821, 39, 40, 32, 42, 4178, 4178, 556, 428, 327, 253, 265, 178
INVAR-1, Run: 002, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 49, 27, 36, 3434, 3406, 3376, 3343, 3317, 28, 479, 30, 33, 26, 21, 3296, 3296, 311, 262, 213, 186, 168, 99
INVAR-1, Run: 003, P, 10, 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 1, 2, 0, 50, 0, 0, 0, 4686, 4646, 4602, 4572, 4543, 40, 100, 44, 30, 29, 30, 4513, 4513, 100, 150, 150, 150, 0, 0
INVAR-1, Run: 004, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 60, 29, 56, 4591, 4550, 4512, 4473, 4431, 41, 474, 38, 39, 42, 28, 4403, 4403, 350, 295, 235, 206, 124, 105
INVAR-1, Run: 005, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 173, 94, 125, 3960, 3916, 3875, 3834, 3803, 44, 1291, 41, 41, 31, 31, 3772, 3772, 786, 542, 369, 275, 505, 294
INVAR-1, Run: 006, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 152, 108, 267, 2311, 2289, 2269, 2250, 2222, 22, 1258, 20, 19, 28, 15, 2207, 2207, 872, 677, 525, 417, 386, 245
INVAR-1, Run: 007, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 104, 59, 125, 4006, 3969, 3926, 3882, 3857, 37, 814, 43, 44, 25, 29, 3828, 3828, 546, 438, 334, 275, 268, 158
INVAR-1, Run: 008, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 67, 43, 53, 2339, 2309, 2283, 2259, 2242, 30, 645, 26, 24, 17, 26, 2216, 2216, 422, 313, 246, 203, 223, 159
INVAR-1, Run: 009, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 9, 0, 1, 9, 50, 97, 49, 119, 6000, 5954, 5905, 5852, 5805, 46, 698, 49, 53, 47, 52, 5753, 5753, 497, 415, 318, 269, 201, 132
INVAR-1, Run: 010, P, 0, 10, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 1, 6, 0, 0, 10, 1, 2, 10, 50, 54, 40, 40, 4541, 4492, 4445, 4414, 4384, 49, 496, 47, 31, 30, 31, 4353, 4353, 346, 284, 230, 190, 150, 112
