Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, Y, T1, T2, T3, T4, T5, T6, R, U, L2, D, L3, O1, O2, O3, O4, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction8, Reaction9
INVAR-1, Run: 001, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 63, 92, 0, 0, 0, 0, 0, 0, 0, 528, 0, 0, 0, 0, 0, 0, 369, 255, 192, 159, 114
INVAR-1, Run: 002, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 89, 115, 0, 0, 0, 0, 0, 0, 0, 767, 0, 0, 0, 0, 0, 0, 485, 304, 215, 282, 181
INVAR-1, Run: 003, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 108, 222, 0, 0, 0, 0, 0, 0, 0, 890, 0, 0, 0, 0, 0, 0, 615, 430, 322, 275, 185
INVAR-1, Run: 004, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 52, 75, 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 0, 0, 0, 0, 285, 227, 175, 105, 58
INVAR-1, Run: 005, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 88, 160, 0, 0, 0, 0, 0, 0, 0, 678, 0, 0, 0, 0, 0, 0, 498, 348, 260, 180, 150
INVAR-1, Run: 006, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 69, 90, 0, 0, 0, 0, 0, 0, 0, 504, 0, 0, 0, 0, 0, 0, 354, 259, 190, 150, 95
INVAR-1, Run: 007, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 71, 111, 0, 0, 0, 0, 0, 0, 0, 606, 0, 0, 0, 0, 0, 0, 406, 282, 211, 200, 124
INVAR-1, Run: 008, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 84, 224, 0, 0, 0, 0, 0, 0, 0, 763, 0, 0, 0, 0, 0, 0, 540, 408, 324, 223, 132
INVAR-1, Run: 009, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 60, 133, 0, 0, 0, 0, 0, 0, 0, 499, 0, 0, 0, 0, 0, 0, 372, 293, 233, 127, 79
INVAR-1, Run: 010, E, 0, 10, 0, 0, 0, 0, 100, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0, 0, 9, 0, 1, 9, 91, 127, 0, 0, 0, 0, 0, 0, 0, 723, 0, 0, 0, 0, 0, 0, 465, 318, 227, 258, 147
