Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_Q2b, predator_Q1a, predator_g532, predator_mrna533, predator_Q2b_H2, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_H1, predator_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2
INVAR-1, Run: 001, P, 1, 9, 28, 0, 1, 0, 0, 0, 0, 1, 9, 35, 0, 0, 1, 2, 0, 0, 17, 1, 16, 76, 0, 0, 0, 0, 0
INVAR-1, Run: 002, P, 1, 10, 25, 2, 0, 6, 3, 1, 8, 1, 11, 0, 1, 0, 1, 0, 1, 0, 0, 1, 12, 24, 51, 6, 0, 0, 3
INVAR-1, Run: 003, P, 1, 9, 30, 2, 1, 2, 0, 0, 5, 1, 11, 0, 1, 0, 1, 1, 0, 0, 4, 1, 16, 49, 0, 0, 0, 1, 0
INVAR-1, Run: 004, P, 1, 12, 44, 2, 1, 3, 0, 0, 4, 1, 11, 0, 0, 0, 1, 1, 0, 0, 2, 1, 8, 32, 0, 0, 0, 0, 0
INVAR-1, Run: 005, P, 1, 9, 46, 1, 1, 2, 0, 0, 2, 1, 4, 0, 0, 0, 1, 4, 0, 0, 16, 1, 16, 68, 0, 0, 0, 0, 0
INVAR-1, Run: 006, P, 1, 9, 43, 0, 0, 0, 6, 1, 0, 1, 14, 81, 0, 1, 1, 0, 0, 0, 0, 1, 10, 51, 35, 5, 0, 0, 2
INVAR-1, Run: 007, P, 1, 6, 23, 0, 1, 3, 0, 0, 3, 1, 11, 0, 0, 0, 0, 2, 0, 1, 12, 1, 9, 28, 0, 0, 0, 0, 0
INVAR-1, Run: 008, P, 1, 11, 44, 0, 0, 4, 11, 1, 6, 1, 15, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 63, 56, 6, 0, 0, 3
INVAR-1, Run: 009, P, 1, 12, 81, 0, 0, 2, 1, 1, 3, 1, 13, 3, 0, 0, 1, 4, 1, 0, 6, 1, 15, 68, 0, 0, 0, 0, 0
INVAR-1, Run: 010, P, 1, 12, 48, 0, 1, 0, 0, 0, 0, 1, 12, 78, 0, 0, 1, 2, 0, 0, 8, 1, 7, 25, 0, 0, 0, 0, 0
