Input Number, Run_Number, Result@ 100, prey_mrna595, prey_g594, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 001, F, 67568, 162911, 1, 2, 0, 1, 2, 1, 3, 4, 0, 0, 0, 2, 0, 0, 0, 47808, 1, 1, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 002, F, 67386, 163063, 1, 0, 0, 1, 1, 1, 4, 0, 1, 0, 0, 1, 0, 0, 7, 47924, 1, 0, 1, 0, 0, 0, 2, 0, 1
INVAR-1, Run: 003, F, 67861, 163372, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 4, 48097, 1, 1, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 004, F, 67894, 163386, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 47927, 1, 2, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 005, F, 67446, 162919, 1, 1, 0, 1, 1, 1, 2, 2, 0, 0, 0, 1, 1, 0, 0, 48108, 1, 2, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 006, F, 67770, 163486, 1, 1, 0, 3, 0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 3, 47627, 1, 3, 5, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 007, F, 67217, 163140, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 47541, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 008, F, 67748, 163596, 1, 0, 0, 1, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 1, 48085, 1, 0, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 009, F, 67731, 163358, 1, 1, 0, 3, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0, 2, 47855, 1, 1, 1, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 010, F, 67883, 163360, 1, 0, 0, 3, 2, 1, 1, 0, 2, 2, 0, 1, 0, 0, 6, 48039, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 011, F, 67844, 163043, 1, 1, 0, 1, 0, 1, 3, 2, 0, 1, 0, 1, 0, 0, 4, 48028, 1, 2, 1, 0, 0, 1, 2, 0, 1
INVAR-1, Run: 012, F, 67472, 163145, 1, 3, 0, 2, 1, 1, 1, 1, 5, 2, 0, 6, 0, 0, 3, 47604, 1, 0, 0, 0, 0, 4, 3, 0, 1
INVAR-1, Run: 013, F, 67744, 163547, 1, 2, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 4, 47572, 1, 1, 3, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 014, F, 67538, 162763, 1, 0, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 4, 47822, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 015, F, 67795, 163202, 1, 1, 0, 3, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 2, 48180, 1, 0, 1, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 016, F, 67289, 163592, 1, 1, 0, 3, 0, 1, 3, 0, 0, 0, 0, 2, 0, 0, 0, 47624, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 017, F, 67588, 163187, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 47898, 1, 3, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 018, F, 67655, 163354, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0, 3, 0, 0, 3, 47812, 1, 2, 4, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 019, F, 67630, 163805, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 47653, 1, 0, 0, 0, 0, 1, 1, 0, 1
INVAR-1, Run: 020, F, 68140, 163735, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 47867, 1, 3, 3, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 021, F, 67689, 163376, 1, 0, 0, 3, 2, 1, 2, 1, 0, 0, 0, 1, 0, 0, 2, 47624, 1, 1, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 022, F, 68066, 163114, 1, 0, 0, 1, 3, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 47739, 1, 1, 1, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 023, F, 67636, 163060, 1, 1, 0, 0, 0, 1, 3, 1, 1, 0, 0, 0, 0, 0, 3, 47725, 1, 1, 1, 0, 0, 0, 2, 0, 1
INVAR-1, Run: 024, F, 67644, 163093, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 3, 0, 0, 2, 47614, 1, 2, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 025, F, 67881, 163499, 1, 3, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 5, 47931, 1, 0, 0, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 026, F, 67211, 163776, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 2, 47831, 1, 2, 3, 0, 0, 2, 0, 0, 1
