Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2
INVAR-1, Run: 001, F, 0, 12, 1, 2, 0, 11, 11, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 1, 0, 0
INVAR-1, Run: 002, F, 0, 10, 1, 2, 4, 15, 19, 1, 1, 0, 3, 1, 0, 2, 0, 1, 2, 0, 0, 1, 1, 1, 3, 0, 0, 1, 0
INVAR-1, Run: 003, F, 0, 19, 1, 2, 3, 29, 34, 1, 2, 0, 2, 1, 0, 2, 0, 1, 1, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 004, F, 0, 14, 1, 0, 4, 21, 20, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 2, 2, 0, 1
INVAR-1, Run: 005, F, 0, 9, 1, 1, 3, 11, 13, 1, 1, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 0
INVAR-1, Run: 006, F, 0, 15, 1, 0, 4, 19, 23, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 2, 1, 1, 1, 0
INVAR-1, Run: 007, F, 0, 21, 1, 0, 2, 19, 22, 1, 2, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 3, 1, 2, 6, 0, 0, 0, 1
INVAR-1, Run: 008, F, 0, 12, 1, 3, 1, 8, 7, 1, 4, 0, 2, 2, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0
INVAR-1, Run: 009, F, 0, 17, 1, 0, 1, 15, 19, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1
INVAR-1, Run: 010, F, 0, 24, 1, 0, 10, 37, 43, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 2, 0, 2, 1, 2
INVAR-1, Run: 011, F, 1, 26, 1, 0, 4, 24, 20, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 3, 0
INVAR-1, Run: 012, F, 2, 29, 1, 1, 10, 43, 40, 1, 1, 0, 1, 1, 0, 4, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0
INVAR-1, Run: 013, F, 0, 17, 1, 1, 1, 17, 11, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 5, 5, 3, 0, 0, 0
INVAR-1, Run: 014, F, 0, 21, 1, 2, 6, 34, 32, 1, 4, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 015, F, 1, 13, 1, 0, 1, 14, 19, 1, 1, 0, 1, 3, 1, 3, 0, 1, 0, 0, 0, 0, 1, 1, 1, 2, 0, 0, 0
INVAR-1, Run: 016, F, 0, 15, 1, 2, 6, 21, 22, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0
INVAR-1, Run: 017, F, 0, 16, 1, 1, 3, 23, 20, 1, 0, 0, 1, 1, 0, 2, 1, 1, 0, 0, 0, 3, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 018, F, 0, 20, 1, 0, 4, 22, 24, 1, 0, 0, 2, 1, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0
INVAR-1, Run: 019, F, 0, 20, 1, 1, 7, 34, 25, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 3, 1, 2, 0, 0, 1
INVAR-1, Run: 020, F, 0, 8, 1, 2, 6, 14, 20, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0
INVAR-1, Run: 021, F, 0, 9, 1, 0, 2, 14, 16, 1, 1, 0, 0, 1, 0, 0, 0, 1, 3, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0
INVAR-1, Run: 022, F, 0, 16, 1, 0, 1, 12, 13, 1, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0
INVAR-1, Run: 023, F, 0, 5, 1, 0, 3, 8, 7, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0
