Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532
INVAR-1, Run: 001, P, 1, 3, 0, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 3, 0, 0, 0, 1, 0, 1
INVAR-1, Run: 002, P, 1, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 2, 6, 4, 3, 0, 1, 0, 1
INVAR-1, Run: 003, P, 1, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 2, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1
INVAR-1, Run: 004, P, 1, 2, 1, 1, 4, 1, 3, 0, 1, 0, 0, 3, 0, 0, 2, 3, 1, 0, 1, 2, 5, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 005, P, 1, 2, 1, 1, 2, 1, 1, 0, 9, 1, 0, 6, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
INVAR-1, Run: 006, P, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 0, 2, 0, 1, 3, 1, 2, 2, 0, 1, 0, 0, 1, 1
INVAR-1, Run: 007, P, 1, 4, 1, 2, 0, 1, 0, 0, 3, 0, 1, 3, 3, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0
INVAR-1, Run: 008, P, 1, 5, 0, 0, 0, 1, 0, 1, 2, 1, 0, 2, 0, 1, 1, 1, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 1
INVAR-1, Run: 009, P, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 4, 2, 0, 0, 1, 0, 0, 0
INVAR-1, Run: 010, P, 1, 1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 3, 0, 2, 0
INVAR-1, Run: 011, P, 1, 4, 0, 0, 0, 1, 1, 5, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 3, 2, 0, 0, 0, 0, 0, 1
