Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_Q2b, predator_Q1a, predator_g532, predator_mrna533, predator_Q2b_H2, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_H1, predator_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47
INVAR-1, Run: 001, P, 1, 12, 30, 1, 0, 4, 6, 1, 6, 1, 12, 0, 0, 0, 1, 0, 1, 0, 0, 1, 16, 59, 65, 4, 0, 0, 4, 12, 0, 51, 14, 52, 0, 0, 36, 35, 4, 0, 13, 7, 14, 2, 67, 5, 34, 90, 83, 62, 31, 110, 51, 0, 6, 6, 0, 0, 0, 0, 17, 1, 80, 20, 81, 16, 2380, 6, 5, 2255, 2, 0, 3, 3, 121, 117
INVAR-1, Run: 002, P, 1, 5, 33, 0, 1, 0, 0, 0, 0, 1, 7, 25, 0, 0, 1, 1, 0, 0, 7, 1, 13, 60, 0, 0, 0, 0, 0, 5, 0, 45, 12, 37, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 28, 3, 0, 0, 0, 0, 0, 0, 37, 1, 0, 0, 0, 0, 8, 1, 15, 2, 88, 28, 94, 0, 3, 0, 0, 3, 0, 94, 0, 0, 0, 0
INVAR-1, Run: 003, P, 1, 12, 43, 0, 1, 2, 0, 0, 0, 1, 11, 5, 0, 0, 1, 1, 0, 0, 5, 1, 10, 36, 0, 0, 0, 0, 0, 12, 0, 60, 17, 54, 1, 2, 2, 2, 0, 0, 9, 9, 12, 1, 50, 2, 16, 2, 2, 43, 16, 3, 53, 1, 0, 0, 0, 0, 8, 3, 10, 0, 48, 12, 60, 0, 22, 0, 0, 19, 0, 60, 0, 0, 3, 3
INVAR-1, Run: 004, P, 1, 7, 18, 2, 1, 3, 2, 0, 6, 1, 6, 1, 0, 0, 1, 0, 0, 0, 0, 1, 8, 34, 22, 1, 0, 0, 1, 7, 0, 24, 4, 34, 0, 1, 16, 16, 2, 0, 16, 10, 6, 0, 32, 1, 10, 18, 16, 30, 9, 34, 32, 0, 0, 0, 0, 0, 0, 0, 8, 0, 45, 11, 35, 13, 965, 0, 0, 927, 1, 0, 1, 1, 37, 36
INVAR-1, Run: 005, P, 1, 12, 31, 2, 0, 2, 0, 1, 4, 1, 6, 0, 0, 0, 1, 0, 0, 0, 0, 1, 9, 31, 20, 1, 0, 0, 1, 12, 0, 46, 14, 40, 0, 1, 19, 18, 1, 0, 11, 7, 6, 0, 36, 2, 15, 25, 24, 34, 14, 35, 38, 0, 1, 1, 0, 0, 0, 0, 11, 2, 42, 11, 27, 7, 840, 1, 1, 802, 1, 0, 1, 1, 37, 36
INVAR-1, Run: 006, P, 1, 9, 29, 0, 0, 3, 3, 1, 3, 1, 10, 0, 0, 0, 1, 0, 0, 0, 0, 1, 12, 49, 43, 2, 0, 0, 3, 9, 0, 40, 7, 44, 1, 1, 15, 14, 2, 0, 7, 4, 10, 0, 57, 1, 18, 30, 26, 56, 17, 53, 43, 0, 0, 0, 0, 0, 0, 0, 13, 1, 62, 13, 53, 10, 1436, 0, 0, 1374, 1, 0, 1, 1, 60, 57
INVAR-1, Run: 007, P, 1, 20, 63, 0, 1, 1, 0, 0, 0, 1, 20, 3, 0, 0, 1, 1, 0, 0, 1, 1, 16, 49, 1, 0, 0, 0, 0, 20, 0, 85, 22, 87, 0, 1, 0, 0, 0, 0, 3, 3, 22, 2, 105, 9, 0, 0, 0, 93, 0, 0, 87, 2, 0, 0, 0, 1, 1, 0, 17, 1, 65, 16, 51, 1, 22, 0, 0, 22, 0, 49, 0, 0, 0, 0
INVAR-1, Run: 008, P, 1, 18, 55, 3, 0, 5, 24, 1, 3, 1, 7, 0, 0, 0, 0, 2, 0, 1, 0, 1, 13, 54, 65, 8, 0, 0, 9, 18, 0, 97, 17, 89, 1, 0, 38, 37, 5, 0, 17, 14, 7, 0, 32, 0, 176, 212, 187, 32, 168, 98, 85, 0, 3, 2, 2, 0, 0, 0, 14, 1, 84, 29, 94, 29, 2629, 5, 4, 2489, 7, 0, 8, 8, 132, 123
INVAR-1, Run: 009, P, 1, 8, 31, 1, 0, 2, 4, 1, 0, 1, 13, 0, 1, 0, 1, 0, 0, 0, 0, 1, 13, 50, 38, 7, 0, 0, 4, 9, 1, 45, 9, 40, 1, 1, 35, 34, 2, 1, 10, 10, 13, 0, 68, 3, 46, 54, 49, 65, 44, 53, 38, 0, 3, 3, 0, 0, 0, 0, 13, 0, 62, 12, 53, 15, 1389, 1, 1, 1320, 1, 0, 1, 1, 62, 58
INVAR-1, Run: 010, P, 1, 11, 40, 0, 1, 2, 1, 0, 5, 1, 9, 0, 0, 0, 1, 2, 0, 0, 7, 1, 10, 52, 0, 0, 0, 0, 0, 11, 0, 52, 11, 62, 0, 0, 21, 21, 2, 0, 12, 7, 11, 2, 54, 4, 14, 12, 11, 50, 14, 10, 62, 3, 0, 0, 0, 1, 8, 1, 10, 0, 69, 17, 69, 1, 220, 0, 0, 209, 0, 68, 0, 0, 11, 11
INVAR-1, Run: 011, P, 1, 12, 37, 0, 1, 1, 0, 0, 1, 1, 8, 1, 0, 0, 1, 4, 1, 0, 14, 1, 13, 49, 0, 0, 0, 0, 0, 12, 0, 50, 13, 58, 0, 1, 0, 0, 0, 0, 3, 2, 9, 1, 40, 1, 22, 0, 0, 38, 21, 0, 58, 4, 3, 3, 0, 0, 18, 4, 13, 0, 73, 23, 70, 0, 9, 2, 1, 9, 0, 70, 1, 1, 0, 0
INVAR-1, Run: 012, P, 1, 7, 19, 1, 0, 6, 2, 1, 6, 1, 12, 1, 0, 0, 1, 0, 0, 0, 0, 1, 16, 55, 61, 6, 0, 0, 12, 10, 3, 32, 10, 36, 0, 1, 28, 27, 7, 2, 17, 11, 12, 0, 48, 1, 21, 64, 61, 46, 20, 109, 35, 0, 0, 0, 0, 0, 0, 0, 16, 0, 81, 26, 79, 18, 2062, 0, 0, 1932, 1, 0, 1, 1, 124, 112
INVAR-1, Run: 013, P, 1, 14, 36, 5, 1, 7, 5, 0, 5, 1, 15, 0, 0, 0, 1, 0, 0, 0, 0, 1, 12, 35, 46, 3, 0, 0, 1, 16, 2, 59, 18, 63, 0, 1, 38, 38, 6, 0, 24, 19, 15, 0, 65, 1, 89, 70, 65, 64, 86, 73, 58, 0, 1, 1, 0, 0, 0, 0, 13, 1, 49, 14, 58, 12, 1543, 3, 3, 1461, 3, 0, 3, 3, 79, 78
INVAR-1, Run: 014, P, 1, 9, 42, 1, 1, 6, 1, 0, 5, 1, 7, 0, 0, 0, 1, 1, 0, 0, 1, 1, 21, 89, 1, 0, 0, 0, 0, 10, 1, 46, 3, 51, 0, 1, 31, 31, 5, 0, 22, 17, 8, 1, 33, 1, 135, 41, 40, 32, 127, 61, 50, 0, 13, 13, 1, 0, 1, 0, 22, 1, 108, 19, 105, 10, 1605, 13, 13, 1543, 8, 94, 8, 8, 62, 62
INVAR-1, Run: 015, P, 1, 12, 34, 1, 1, 3, 5, 0, 2, 1, 11, 0, 0, 0, 1, 1, 0, 0, 2, 1, 10, 33, 1, 0, 0, 0, 4, 13, 1, 45, 6, 46, 1, 2, 24, 24, 1, 0, 15, 13, 12, 1, 46, 0, 65, 54, 49, 46, 61, 48, 44, 0, 4, 4, 1, 0, 2, 0, 11, 1, 41, 8, 60, 10, 1231, 2, 2, 1174, 4, 49, 4, 4, 57, 53
INVAR-1, Run: 016, P, 1, 9, 29, 0, 1, 1, 0, 0, 2, 1, 21, 1, 0, 0, 1, 1, 0, 0, 3, 1, 16, 67, 0, 0, 0, 0, 0, 9, 0, 39, 10, 46, 0, 1, 5, 5, 0, 0, 4, 2, 21, 0, 107, 6, 6, 3, 3, 100, 5, 17, 46, 1, 2, 2, 0, 0, 3, 0, 17, 1, 90, 23, 77, 8, 508, 3, 3, 491, 1, 69, 1, 1, 17, 17
INVAR-1, Run: 017, P, 1, 11, 54, 0, 1, 2, 0, 0, 0, 1, 8, 2, 0, 0, 1, 1, 0, 0, 7, 1, 12, 55, 0, 0, 0, 0, 0, 12, 1, 71, 17, 67, 0, 2, 0, 0, 0, 0, 4, 4, 8, 0, 32, 2, 8, 0, 0, 28, 8, 2, 67, 1, 0, 0, 0, 0, 8, 1, 13, 1, 77, 22, 69, 0, 49, 0, 0, 47, 0, 69, 0, 0, 2, 2
INVAR-1, Run: 018, P, 1, 13, 70, 4, 0, 2, 0, 1, 3, 1, 11, 0, 0, 0, 1, 3, 0, 0, 4, 1, 8, 35, 0, 0, 0, 0, 0, 14, 1, 102, 31, 99, 0, 0, 31, 30, 2, 0, 11, 8, 11, 0, 56, 1, 61, 62, 61, 55, 55, 22, 95, 1, 7, 7, 2, 0, 4, 0, 9, 1, 52, 17, 47, 4, 437, 5, 5, 414, 6, 43, 6, 6, 23, 23
INVAR-1, Run: 019, P, 1, 8, 36, 0, 1, 2, 0, 0, 1, 1, 9, 1, 0, 0, 1, 1, 0, 0, 8, 1, 16, 48, 0, 0, 0, 0, 0, 9, 1, 45, 9, 36, 1, 1, 10, 10, 1, 0, 4, 3, 9, 0, 32, 3, 47, 3, 3, 28, 43, 16, 35, 1, 0, 0, 0, 0, 9, 1, 17, 1, 68, 20, 80, 5, 356, 1, 1, 340, 4, 75, 4, 4, 16, 16
INVAR-1, Run: 020, P, 1, 12, 52, 0, 1, 1, 0, 0, 0, 1, 7, 46, 0, 0, 1, 1, 0, 0, 2, 1, 12, 40, 0, 0, 0, 0, 0, 13, 1, 77, 25, 75, 0, 1, 16, 16, 0, 0, 0, 0, 8, 1, 60, 14, 0, 9, 9, 0, 0, 9, 75, 1, 0, 0, 0, 0, 3, 1, 13, 1, 55, 15, 51, 0, 157, 0, 0, 148, 0, 51, 0, 0, 9, 9
INVAR-1, Run: 021, P, 1, 16, 65, 1, 1, 5, 4, 0, 8, 1, 8, 0, 0, 0, 0, 1, 0, 1, 2, 1, 13, 53, 0, 0, 0, 3, 0, 17, 1, 92, 23, 89, 1, 1, 46, 46, 4, 0, 21, 13, 10, 2, 50, 0, 124, 117, 113, 50, 115, 63, 87, 1, 4, 3, 0, 0, 2, 0, 13, 0, 70, 16, 71, 18, 1360, 2, 1, 1293, 5, 53, 9, 6, 67, 67
INVAR-1, Run: 022, P, 1, 9, 25, 1, 0, 3, 3, 1, 3, 1, 10, 0, 0, 0, 1, 0, 0, 0, 0, 1, 9, 32, 43, 3, 0, 0, 3, 9, 0, 40, 11, 37, 0, 0, 35, 34, 3, 0, 9, 6, 11, 1, 46, 3, 8, 51, 47, 43, 8, 71, 36, 0, 0, 0, 0, 0, 0, 0, 10, 1, 45, 13, 64, 21, 1551, 0, 0, 1470, 0, 0, 0, 0, 78, 75
INVAR-1, Run: 023, P, 1, 7, 23, 2, 0, 5, 4, 1, 2, 1, 13, 0, 0, 0, 0, 0, 0, 1, 0, 1, 8, 20, 32, 3, 0, 0, 4, 8, 1, 34, 6, 35, 0, 1, 22, 21, 4, 0, 13, 11, 15, 2, 63, 1, 20, 36, 31, 62, 18, 49, 33, 0, 4, 3, 0, 0, 0, 0, 10, 2, 28, 7, 43, 11, 1145, 4, 3, 1084, 1, 0, 2, 2, 58, 54
INVAR-1, Run: 024, P, 1, 11, 28, 0, 0, 0, 1, 1, 0, 1, 14, 49, 0, 0, 1, 0, 0, 0, 0, 1, 6, 13, 26, 2, 0, 0, 2, 12, 1, 41, 11, 36, 0, 0, 16, 15, 0, 0, 0, 0, 14, 0, 57, 8, 0, 19, 17, 0, 0, 48, 36, 0, 0, 0, 0, 0, 0, 0, 6, 0, 19, 6, 30, 4, 1082, 0, 0, 1028, 0, 0, 0, 0, 52, 50
INVAR-1, Run: 025, P, 1, 7, 20, 0, 0, 3, 4, 1, 5, 1, 7, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 44, 41, 2, 0, 0, 4, 8, 1, 33, 8, 27, 1, 2, 34, 33, 1, 0, 14, 9, 7, 0, 44, 0, 26, 47, 42, 44, 26, 75, 26, 0, 0, 0, 0, 0, 0, 0, 14, 0, 52, 8, 53, 12, 1429, 0, 0, 1343, 0, 0, 0, 0, 84, 80
INVAR-1, Run: 026, P, 1, 14, 60, 0, 0, 6, 5, 1, 2, 1, 9, 0, 0, 0, 1, 2, 0, 0, 1, 1, 5, 21, 0, 0, 0, 0, 0, 15, 1, 93, 27, 83, 1, 0, 37, 36, 6, 0, 13, 11, 9, 0, 47, 0, 119, 62, 56, 47, 114, 37, 82, 1, 5, 5, 1, 0, 1, 0, 8, 3, 29, 8, 33, 12, 859, 4, 4, 816, 5, 21, 5, 5, 43, 43
