Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 2, 0, 3, 2, 1, 2, 0, 1, 4, 0, 3, 0, 0, 0, 0, 1, 2, 1, 2, 6, 0, 0, 1, 0, 0, 1, 110, 10, 92, 78, 76, 91, 89, 107, 87, 87, 27, 108, 27, 20, 43, 21, 29, 66, 30, 29, 38, 104, 100, 113, 111, 106, 104, 133, 126, 110, 67, 53, 38, 97, 37, 32, 38, 43, 40, 40, 21, 21, 94, 64, 105, 12, 12
INVAR-1, Run: 002, P, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 1, 0, 0, 1, 1, 105, 54, 75, 95, 93, 94, 94, 79, 43, 109, 83, 105, 82, 36, 57, 55, 26, 70, 29, 29, 26, 96, 120, 99, 99, 116, 116, 109, 108, 123, 78, 95, 28, 119, 27, 35, 51, 43, 52, 52, 59, 58, 143, 117, 57, 45, 45
INVAR-1, Run: 003, P, 1, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 96, 10, 65, 83, 83, 109, 107, 102, 73, 71, 20, 96, 20, 27, 35, 18, 33, 63, 39, 39, 39, 102, 118, 103, 102, 94, 93, 99, 98, 77, 49, 46, 31, 116, 31, 28, 36, 28, 36, 36, 18, 18, 109, 76, 82, 16, 16
INVAR-1, Run: 004, P, 1, 3, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 1, 2, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 0, 0, 96, 8, 62, 61, 61, 101, 100, 98, 66, 84, 23, 93, 22, 31, 51, 25, 35, 80, 27, 27, 23, 101, 86, 93, 90, 107, 106, 96, 96, 102, 68, 62, 27, 85, 27, 35, 30, 34, 33, 31, 27, 27, 110, 73, 85, 18, 17
INVAR-1, Run: 005, P, 1, 1, 0, 0, 0, 1, 2, 4, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 99, 28, 94, 68, 68, 97, 95, 84, 64, 48, 19, 98, 19, 16, 27, 12, 27, 90, 10, 10, 6, 96, 99, 90, 90, 83, 82, 58, 57, 65, 34, 25, 10, 98, 10, 13, 20, 30, 20, 20, 12, 12, 93, 66, 82, 21, 21
INVAR-1, Run: 006, P, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 1, 93, 10, 80, 69, 68, 98, 97, 108, 82, 73, 15, 92, 15, 26, 38, 19, 37, 96, 17, 17, 31, 123, 85, 128, 126, 93, 93, 81, 80, 80, 41, 36, 25, 85, 25, 17, 34, 39, 35, 35, 19, 19, 97, 60, 97, 9, 9
INVAR-1, Run: 007, P, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 1, 0, 2, 0, 0, 1, 102, 17, 73, 82, 82, 94, 93, 95, 74, 71, 44, 101, 43, 21, 42, 49, 33, 85, 17, 17, 17, 102, 120, 104, 104, 102, 100, 133, 132, 108, 83, 95, 43, 119, 43, 44, 27, 24, 29, 29, 51, 51, 112, 79, 77, 32, 32
INVAR-1, Run: 008, P, 1, 0, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 3, 5, 3, 1, 0, 0, 0, 1, 91, 11, 70, 90, 88, 118, 117, 179, 151, 48, 8, 91, 8, 27, 30, 26, 30, 89, 11, 10, 13, 102, 70, 79, 77, 109, 106, 104, 98, 94, 66, 67, 21, 70, 20, 40, 17, 25, 18, 18, 26, 26, 71, 41, 86, 12, 12
INVAR-1, Run: 009, P, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 2, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 81, 17, 86, 87, 87, 96, 95, 61, 49, 68, 29, 80, 27, 11, 32, 31, 17, 93, 16, 16, 12, 103, 83, 118, 117, 107, 107, 111, 110, 132, 77, 70, 24, 81, 24, 37, 33, 55, 35, 34, 33, 33, 86, 68, 80, 15, 14
INVAR-1, Run: 010, P, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 1, 3, 1, 1, 0, 0, 0, 0, 1, 96, 22, 95, 99, 99, 103, 102, 92, 65, 76, 12, 94, 12, 27, 43, 26, 30, 68, 14, 13, 29, 97, 75, 83, 83, 107, 104, 97, 95, 87, 47, 57, 25, 73, 24, 31, 32, 39, 33, 33, 26, 26, 113, 83, 100, 18, 18
