Input Number, Run_Number, Result@ 100, predator_g532, prey_Q2a, H1, prey_Q1b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_H2, prey_H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 2, 3, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 107, 0, 5, 6, 6, 127, 126, 104, 102, 70, 25, 106, 25, 0, 38, 20, 38, 73, 23, 23, 26, 98, 102, 104, 104, 90, 89, 95, 95, 84, 44, 57, 37, 100, 37, 37, 30, 38, 30, 30, 20, 20, 111, 70, 5, 0, 0
INVAR-1, Run: 002, P, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 4, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 101, 0, 2, 7, 7, 107, 106, 119, 117, 57, 21, 100, 21, 1, 25, 22, 44, 94, 5, 5, 3, 96, 124, 115, 114, 93, 92, 107, 107, 120, 65, 54, 12, 120, 12, 31, 33, 54, 32, 33, 23, 23, 102, 58, 2, 0, 0
INVAR-1, Run: 003, P, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 2, 0, 0, 1, 1, 103, 0, 9, 8, 8, 83, 82, 72, 71, 98, 28, 103, 28, 0, 48, 40, 39, 77, 38, 38, 42, 119, 115, 136, 136, 112, 110, 95, 93, 107, 62, 82, 49, 115, 47, 41, 49, 44, 50, 51, 41, 40, 128, 89, 9, 0, 0
INVAR-1, Run: 004, P, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 82, 0, 2, 5, 5, 106, 104, 130, 126, 31, 21, 80, 21, 2, 16, 44, 36, 101, 7, 7, 4, 104, 86, 94, 93, 102, 101, 120, 120, 121, 70, 80, 8, 85, 8, 35, 15, 49, 15, 16, 44, 44, 68, 31, 2, 0, 0
INVAR-1, Run: 005, P, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 2, 1, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 1, 1, 0, 1, 98, 0, 4, 4, 4, 104, 102, 123, 121, 65, 26, 97, 26, 1, 34, 28, 34, 84, 9, 9, 11, 94, 90, 101, 101, 99, 97, 78, 76, 76, 45, 50, 15, 90, 15, 21, 31, 30, 31, 32, 28, 28, 88, 51, 4, 1, 1
INVAR-1, Run: 006, P, 0, 2, 0, 3, 1, 0, 0, 0, 0, 1, 5, 3, 0, 0, 1, 1, 0, 1, 1, 0, 0, 2, 1, 3, 3, 0, 0, 1, 90, 0, 3, 0, 0, 103, 98, 118, 115, 38, 23, 90, 23, 0, 24, 20, 33, 97, 10, 10, 14, 110, 87, 108, 106, 113, 110, 98, 96, 110, 65, 50, 10, 86, 10, 26, 15, 42, 14, 15, 21, 21, 71, 38, 3, 0, 0
INVAR-1, Run: 007, P, 0, 0, 0, 3, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 91, 0, 5, 4, 4, 101, 101, 108, 106, 49, 42, 90, 41, 1, 22, 36, 36, 83, 21, 21, 12, 94, 73, 90, 90, 112, 111, 103, 100, 107, 75, 80, 21, 71, 20, 42, 27, 31, 27, 28, 38, 37, 93, 57, 5, 0, 0
INVAR-1, Run: 008, P, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 3, 0, 1, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1, 1, 94, 0, 6, 8, 8, 103, 102, 115, 110, 55, 40, 93, 39, 5, 27, 23, 52, 65, 32, 32, 35, 98, 95, 97, 95, 106, 106, 98, 98, 97, 59, 55, 36, 94, 35, 26, 28, 37, 28, 29, 28, 27, 99, 46, 6, 0, 0
INVAR-1, Run: 009, P, 0, 0, 0, 2, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 1, 0, 0, 0, 1, 99, 0, 3, 4, 4, 109, 108, 99, 99, 76, 13, 97, 13, 0, 34, 27, 32, 77, 17, 17, 9, 83, 118, 86, 85, 98, 97, 112, 111, 92, 55, 53, 27, 118, 27, 26, 43, 36, 42, 43, 27, 27, 111, 79, 3, 0, 0
INVAR-1, Run: 010, P, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 1, 109, 3, 14, 11, 11, 108, 108, 100, 95, 83, 19, 108, 18, 5, 47, 23, 44, 69, 33, 33, 37, 104, 92, 101, 99, 100, 98, 103, 104, 87, 54, 39, 38, 89, 38, 14, 37, 31, 36, 37, 24, 24, 113, 68, 11, 5, 5
