Input Number, Run_Number, Result@ 100, prey_g616, prey_mrna595, predator_H2, predator_Q2b, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_Q2b_H2, prey_g594, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 0, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 93, 0, 97, 86, 85, 102, 102, 79, 56, 70, 0, 92, 0, 23, 36, 5, 20, 90, 0, 0, 0, 89, 75, 76, 75, 5, 5, 7, 7, 6, 6, 5, 0, 75, 0, 1, 33, 0, 34, 34, 4, 4, 95, 75, 99, 0, 0
INVAR-1, Run: 002, F, 0, 3, 0, 3, 1, 0, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 110, 2, 103, 137, 137, 92, 92, 86, 42, 86, 1, 110, 1, 44, 47, 1, 27, 100, 0, 0, 0, 96, 119, 107, 106, 1, 1, 0, 0, 0, 0, 0, 0, 117, 0, 0, 38, 0, 38, 38, 0, 0, 104, 75, 102, 1, 1
INVAR-1, Run: 003, F, 0, 1, 0, 4, 1, 3, 0, 0, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 0, 88, 55, 54, 88, 87, 78, 65, 40, 1, 91, 1, 12, 20, 1, 14, 104, 0, 0, 0, 102, 86, 115, 113, 3, 3, 6, 6, 2, 2, 0, 0, 83, 0, 0, 20, 0, 20, 20, 0, 0, 72, 56, 88, 1, 1
INVAR-1, Run: 004, F, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 97, 0, 111, 105, 105, 101, 99, 112, 56, 78, 0, 96, 0, 54, 36, 1, 30, 112, 0, 0, 0, 110, 105, 100, 100, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 39, 0, 41, 41, 0, 0, 102, 72, 111, 0, 0
INVAR-1, Run: 005, F, 0, 0, 0, 3, 1, 1, 0, 1, 2, 1, 1, 2, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 3, 3, 0, 1, 1, 95, 0, 99, 123, 121, 108, 107, 103, 49, 82, 0, 94, 0, 52, 41, 1, 23, 96, 0, 0, 0, 95, 83, 99, 96, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 35, 0, 41, 38, 0, 0, 98, 74, 100, 0, 0
INVAR-1, Run: 006, F, 0, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 99, 1, 85, 80, 79, 117, 116, 115, 79, 54, 2, 97, 2, 36, 29, 1, 35, 87, 4, 4, 8, 94, 93, 86, 83, 3, 3, 3, 3, 0, 0, 0, 2, 92, 2, 0, 25, 0, 25, 25, 0, 0, 95, 60, 84, 1, 1
INVAR-1, Run: 007, F, 0, 1, 0, 5, 1, 1, 0, 0, 3, 1, 2, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 1, 115, 0, 102, 95, 92, 90, 88, 81, 55, 126, 0, 114, 0, 25, 65, 1, 31, 78, 0, 0, 0, 76, 125, 101, 101, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 57, 0, 61, 60, 0, 0, 113, 79, 102, 0, 0
INVAR-1, Run: 008, F, 0, 0, 0, 4, 1, 1, 0, 3, 1, 1, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 94, 0, 79, 68, 67, 110, 110, 90, 72, 68, 0, 93, 0, 18, 35, 1, 35, 100, 2, 2, 3, 102, 101, 71, 71, 3, 3, 4, 4, 3, 3, 4, 2, 98, 2, 4, 29, 0, 31, 31, 0, 0, 113, 76, 82, 0, 0
INVAR-1, Run: 009, F, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 108, 0, 113, 117, 116, 95, 94, 97, 50, 76, 0, 107, 0, 47, 40, 1, 23, 116, 1, 1, 1, 115, 83, 109, 108, 3, 3, 2, 2, 0, 0, 0, 2, 84, 2, 0, 36, 0, 36, 36, 0, 0, 113, 89, 114, 0, 0
INVAR-1, Run: 010, F, 0, 0, 0, 5, 1, 3, 0, 1, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 99, 0, 111, 109, 109, 111, 110, 113, 73, 65, 1, 96, 1, 38, 33, 1, 46, 123, 0, 0, 0, 122, 112, 126, 126, 1, 1, 0, 0, 0, 0, 0, 0, 108, 0, 0, 32, 0, 32, 32, 0, 0, 127, 81, 112, 0, 0
INVAR-1, Run: 011, F, 0, 2, 0, 2, 1, 2, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 1, 109, 0, 88, 93, 93, 104, 103, 85, 48, 88, 3, 107, 3, 37, 43, 4, 29, 100, 1, 1, 0, 97, 96, 104, 102, 3, 3, 3, 3, 3, 3, 7, 1, 95, 1, 4, 43, 0, 45, 45, 3, 3, 117, 87, 89, 2, 2
INVAR-1, Run: 012, F, 0, 0, 0, 4, 1, 2, 0, 0, 0, 1, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 131, 0, 87, 93, 93, 102, 102, 112, 72, 98, 2, 129, 2, 40, 50, 1, 46, 85, 0, 0, 0, 84, 125, 94, 94, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 44, 0, 46, 46, 0, 0, 158, 108, 87, 1, 1
INVAR-1, Run: 013, F, 0, 0, 0, 4, 1, 5, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 123, 0, 104, 108, 107, 97, 96, 106, 63, 62, 2, 118, 2, 43, 29, 1, 31, 92, 0, 0, 0, 91, 134, 125, 125, 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 32, 0, 32, 32, 0, 0, 96, 65, 105, 2, 2
INVAR-1, Run: 014, F, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 109, 0, 105, 114, 114, 86, 86, 92, 61, 101, 0, 107, 0, 31, 45, 1, 24, 102, 0, 0, 0, 101, 115, 98, 98, 0, 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 48, 0, 53, 48, 0, 0, 126, 100, 105, 0, 0
INVAR-1, Run: 015, F, 0, 1, 0, 2, 1, 1, 0, 1, 0, 1, 2, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 108, 2, 104, 96, 96, 92, 90, 85, 60, 72, 2, 107, 2, 22, 39, 3, 19, 119, 5, 5, 9, 126, 119, 150, 150, 7, 7, 9, 9, 7, 6, 10, 1, 118, 1, 8, 32, 1, 33, 33, 2, 2, 98, 79, 103, 5, 5
INVAR-1, Run: 016, F, 0, 2, 0, 0, 1, 0, 0, 2, 3, 1, 2, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 93, 0, 74, 94, 91, 102, 100, 84, 58, 74, 1, 93, 1, 25, 44, 2, 20, 106, 0, 0, 0, 103, 96, 107, 106, 3, 3, 9, 9, 10, 4, 2, 1, 97, 1, 1, 29, 6, 30, 30, 1, 1, 98, 78, 76, 0, 0
INVAR-1, Run: 017, F, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 84, 3, 98, 89, 88, 98, 97, 87, 61, 39, 4, 84, 4, 26, 14, 3, 16, 108, 0, 0, 0, 107, 83, 100, 100, 7, 7, 6, 6, 6, 6, 4, 0, 84, 0, 2, 24, 0, 25, 24, 2, 2, 59, 43, 95, 2, 2
INVAR-1, Run: 018, F, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 109, 0, 77, 91, 90, 99, 99, 96, 57, 51, 0, 108, 0, 39, 25, 1, 34, 102, 0, 0, 0, 100, 105, 107, 107, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 26, 0, 26, 26, 0, 0, 92, 58, 79, 0, 0
INVAR-1, Run: 019, F, 0, 1, 0, 1, 1, 3, 0, 0, 0, 1, 0, 0, 4, 2, 0, 1, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 1, 1, 102, 0, 100, 107, 107, 92, 92, 103, 64, 103, 3, 99, 3, 39, 36, 1, 44, 100, 0, 0, 0, 98, 116, 80, 75, 1, 1, 1, 1, 0, 0, 0, 0, 116, 0, 0, 64, 0, 65, 64, 0, 0, 119, 71, 100, 1, 1
INVAR-1, Run: 020, F, 0, 2, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 95, 0, 103, 76, 76, 93, 92, 85, 57, 58, 0, 95, 0, 27, 29, 5, 24, 101, 0, 0, 0, 98, 93, 115, 114, 7, 7, 7, 7, 12, 11, 11, 0, 93, 0, 7, 29, 1, 29, 29, 4, 4, 89, 65, 103, 0, 0
INVAR-1, Run: 021, F, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 88, 1, 98, 125, 125, 94, 93, 86, 45, 62, 5, 88, 5, 41, 20, 3, 12, 93, 0, 0, 0, 92, 68, 114, 114, 7, 7, 9, 9, 9, 8, 7, 0, 69, 0, 5, 42, 1, 42, 42, 2, 2, 76, 64, 98, 4, 4
INVAR-1, Run: 022, F, 0, 2, 0, 4, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 106, 0, 100, 95, 95, 116, 115, 126, 89, 48, 0, 104, 0, 36, 27, 1, 45, 111, 0, 0, 0, 108, 114, 94, 93, 1, 1, 0, 0, 0, 0, 0, 0, 111, 0, 0, 19, 0, 20, 20, 0, 0, 108, 62, 100, 0, 0
INVAR-1, Run: 023, F, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 97, 0, 120, 81, 79, 126, 124, 156, 104, 51, 0, 97, 0, 52, 27, 1, 40, 108, 0, 0, 0, 106, 120, 103, 103, 0, 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 24, 0, 24, 24, 0, 0, 99, 59, 121, 0, 0
INVAR-1, Run: 024, F, 0, 0, 0, 2, 1, 0, 0, 3, 0, 1, 1, 2, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 107, 0, 98, 86, 86, 104, 103, 122, 79, 94, 0, 107, 0, 41, 41, 1, 40, 88, 0, 0, 0, 87, 97, 101, 100, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 50, 0, 51, 50, 0, 0, 121, 81, 101, 0, 0
INVAR-1, Run: 025, F, 0, 1, 0, 3, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 2, 1, 0, 1, 1, 88, 0, 102, 89, 88, 100, 100, 113, 76, 94, 0, 88, 0, 37, 34, 2, 29, 106, 0, 0, 0, 104, 108, 85, 83, 2, 2, 2, 2, 1, 1, 5, 0, 106, 0, 4, 57, 0, 60, 59, 1, 1, 107, 77, 102, 0, 0
INVAR-1, Run: 026, F, 0, 0, 0, 0, 1, 1, 0, 1, 2, 1, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 107, 4, 92, 87, 85, 111, 111, 134, 84, 71, 3, 106, 3, 50, 35, 1, 30, 82, 0, 0, 0, 81, 109, 75, 75, 2, 2, 1, 1, 0, 0, 0, 0, 110, 0, 0, 32, 0, 34, 32, 0, 0, 104, 72, 89, 3, 3
INVAR-1, Run: 027, F, 0, 0, 0, 2, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 1, 111, 0, 109, 98, 98, 94, 93, 74, 44, 94, 0, 110, 0, 29, 42, 1, 36, 105, 0, 0, 0, 104, 108, 103, 101, 2, 2, 0, 0, 0, 0, 0, 0, 107, 0, 0, 52, 0, 52, 52, 0, 0, 129, 93, 110, 0, 0
INVAR-1, Run: 028, F, 0, 2, 0, 2, 1, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 81, 9, 106, 115, 115, 100, 100, 89, 52, 63, 5, 79, 5, 37, 35, 1, 21, 102, 0, 0, 0, 99, 84, 90, 89, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 28, 0, 28, 28, 0, 0, 81, 60, 98, 4, 4
INVAR-1, Run: 029, F, 0, 0, 0, 5, 1, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 91, 0, 120, 107, 106, 111, 109, 121, 72, 59, 3, 90, 3, 49, 28, 1, 26, 101, 0, 0, 0, 100, 100, 102, 102, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 29, 0, 30, 29, 0, 0, 104, 77, 120, 1, 1
INVAR-1, Run: 030, F, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 114, 0, 96, 96, 95, 109, 109, 110, 76, 68, 0, 113, 0, 34, 29, 2, 22, 94, 0, 0, 0, 92, 94, 85, 84, 1, 1, 2, 2, 1, 1, 1, 0, 94, 0, 0, 38, 0, 39, 38, 1, 1, 91, 67, 97, 0, 0
INVAR-1, Run: 031, F, 0, 0, 0, 2, 1, 2, 0, 0, 0, 1, 2, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 3, 94, 110, 110, 89, 87, 71, 40, 69, 3, 92, 3, 29, 35, 3, 11, 100, 0, 0, 0, 99, 94, 89, 88, 2, 2, 4, 4, 8, 5, 3, 0, 93, 0, 1, 34, 3, 34, 34, 2, 2, 80, 69, 91, 1, 1
INVAR-1, Run: 032, F, 0, 1, 0, 4, 1, 2, 0, 2, 3, 1, 2, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 94, 6, 99, 89, 86, 90, 88, 70, 52, 81, 5, 92, 5, 18, 45, 3, 31, 104, 0, 0, 0, 102, 123, 90, 89, 10, 10, 2, 2, 4, 4, 4, 0, 120, 0, 2, 36, 0, 36, 36, 2, 2, 119, 87, 95, 4, 4
INVAR-1, Run: 033, F, 0, 1, 0, 1, 1, 3, 0, 2, 0, 1, 1, 3, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 3, 0, 0, 1, 1, 103, 0, 93, 88, 88, 116, 115, 137, 90, 77, 2, 100, 2, 44, 32, 1, 48, 103, 0, 0, 0, 101, 117, 97, 95, 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 42, 0, 45, 45, 0, 0, 116, 67, 95, 3, 3
INVAR-1, Run: 034, F, 0, 1, 0, 2, 1, 0, 0, 0, 0, 1, 2, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 1, 1, 109, 0, 80, 91, 91, 98, 96, 91, 56, 59, 0, 109, 0, 35, 28, 1, 38, 98, 0, 0, 0, 96, 110, 111, 110, 4, 4, 1, 1, 1, 1, 1, 0, 109, 0, 1, 27, 0, 29, 29, 0, 0, 128, 89, 80, 0, 0
INVAR-1, Run: 035, F, 0, 3, 0, 3, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 108, 0, 112, 131, 130, 105, 105, 90, 49, 72, 0, 107, 0, 41, 36, 1, 23, 110, 0, 0, 0, 106, 88, 120, 119, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 35, 0, 36, 35, 0, 0, 89, 65, 113, 0, 0
INVAR-1, Run: 036, F, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 100, 0, 113, 107, 107, 98, 95, 78, 35, 94, 1, 99, 1, 42, 53, 2, 25, 102, 0, 0, 0, 101, 88, 99, 99, 3, 3, 6, 6, 7, 6, 4, 0, 88, 0, 3, 41, 1, 41, 41, 1, 1, 100, 75, 113, 1, 1
