Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, prey_g616, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, predator_g532, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, P, 1, 0, 0, 3, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 94, 3, 90, 106, 101, 82, 82, 76, 45, 56, 1, 94, 1, 31, 24, 5, 23, 114, 0, 0, 0, 113, 77, 116, 114, 16, 16, 11, 11, 16, 9, 8, 2, 77, 2, 3, 32, 7, 32, 32, 5, 5, 67, 44, 90, 5, 5
INVAR-1, Run: 002, P, 1, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 97, 4, 104, 109, 109, 103, 103, 111, 63, 60, 1, 97, 1, 48, 28, 2, 26, 91, 0, 0, 0, 91, 78, 88, 88, 15, 15, 14, 14, 16, 12, 7, 4, 78, 4, 5, 31, 4, 32, 32, 2, 2, 103, 77, 102, 3, 3
INVAR-1, Run: 003, P, 1, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98, 0, 69, 72, 70, 97, 97, 98, 61, 46, 1, 97, 1, 37, 21, 2, 23, 103, 0, 0, 0, 103, 92, 120, 120, 12, 12, 17, 17, 11, 7, 3, 0, 91, 0, 1, 25, 4, 25, 25, 2, 2, 80, 56, 70, 0, 0
INVAR-1, Run: 004, P, 1, 2, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 107, 2, 104, 101, 100, 107, 107, 97, 66, 63, 1, 105, 1, 31, 33, 15, 18, 88, 0, 0, 0, 86, 102, 66, 66, 15, 15, 16, 16, 17, 13, 23, 0, 101, 0, 8, 26, 4, 29, 29, 15, 15, 98, 80, 102, 1, 1
INVAR-1, Run: 005, P, 1, 4, 0, 0, 0, 1, 1, 0, 1, 0, 0, 2, 0, 0, 1, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 110, 2, 105, 79, 79, 96, 95, 80, 55, 73, 1, 106, 1, 25, 36, 11, 17, 85, 5, 5, 6, 90, 106, 87, 84, 21, 21, 20, 20, 23, 21, 21, 7, 104, 7, 10, 37, 2, 37, 37, 11, 11, 90, 72, 103, 4, 4
INVAR-1, Run: 006, P, 1, 1, 0, 2, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 106, 4, 97, 81, 81, 96, 94, 113, 80, 60, 1, 105, 1, 33, 29, 16, 32, 128, 0, 0, 0, 128, 106, 144, 143, 33, 33, 35, 35, 44, 25, 24, 2, 105, 2, 8, 29, 19, 31, 29, 16, 16, 104, 72, 95, 6, 6
INVAR-1, Run: 007, P, 1, 3, 0, 0, 0, 1, 3, 1, 1, 0, 0, 3, 0, 0, 1, 2, 0, 0, 4, 0, 0, 0, 0, 0, 4, 0, 1, 81, 2, 92, 74, 74, 113, 110, 80, 48, 53, 1, 78, 1, 31, 29, 5, 19, 106, 0, 0, 0, 104, 83, 121, 117, 10, 10, 7, 7, 12, 10, 10, 0, 80, 0, 5, 20, 2, 24, 20, 5, 5, 72, 52, 90, 1, 1
INVAR-1, Run: 008, P, 1, 2, 0, 2, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 101, 5, 97, 95, 95, 114, 112, 119, 84, 84, 1, 99, 1, 35, 38, 3, 38, 105, 0, 0, 0, 104, 93, 86, 85, 6, 6, 3, 3, 9, 6, 5, 0, 93, 0, 2, 46, 3, 46, 46, 3, 3, 142, 103, 94, 2, 2
INVAR-1, Run: 009, P, 1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 93, 10, 91, 91, 90, 77, 77, 77, 46, 65, 1, 92, 1, 31, 32, 6, 20, 102, 0, 0, 0, 102, 75, 109, 108, 8, 8, 8, 8, 10, 10, 12, 0, 75, 0, 6, 33, 0, 33, 33, 6, 6, 94, 74, 83, 4, 4
INVAR-1, Run: 010, P, 1, 1, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 1, 101, 0, 106, 104, 104, 104, 104, 92, 52, 68, 1, 100, 1, 40, 25, 11, 22, 96, 2, 2, 6, 101, 81, 103, 103, 22, 22, 25, 25, 26, 13, 16, 6, 81, 6, 5, 36, 13, 41, 38, 11, 11, 94, 70, 106, 0, 0
