Input Number, Run_Number, Result@ 100, prey_H1, predator_g532, predator_g494, predator_mrna495, predator_g532_Q2b_H2, predator_mrna533, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_Q1a, predator_H1, predator_H2, predator_Q2b, predator_Q2b_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, H1, H2, Reaction New, Reaction1, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction3, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction4, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 001, F, 0, 19, 1, 0, 2, 24, 23, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 1, 4, 1, 0, 0, 0, 20, 97, 100, 1023, 1020, 997, 80, 80, 58, 12, 78, 24, 97, 22, 46, 41, 35, 7, 83, 15, 15, 13, 95, 88, 101, 99, 86, 85, 83, 79, 97, 63, 66, 14, 86, 14, 29, 17, 33, 37, 37, 37, 37, 90, 82, 947, 116, 114
INVAR-1, Run: 002, F, 0, 27, 1, 1, 3, 30, 26, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 3, 1, 0, 0, 29, 82, 250, 1304, 1326, 1300, 112, 111, 119, 15, 108, 25, 81, 22, 104, 54, 21, 13, 64, 27, 27, 28, 91, 79, 74, 74, 94, 92, 91, 89, 89, 65, 55, 26, 76, 25, 30, 24, 21, 54, 54, 24, 24, 110, 97, 1084, 262, 259
INVAR-1, Run: 003, F, 0, 20, 1, 2, 5, 20, 11, 1, 2, 1, 1, 0, 1, 2, 0, 1, 1, 1, 0, 4, 1, 1, 1, 0, 1, 0, 2, 24, 114, 222, 1165, 1173, 1162, 102, 100, 82, 9, 103, 22, 112, 17, 72, 53, 14, 12, 95, 6, 6, 6, 100, 102, 110, 106, 110, 109, 104, 102, 107, 67, 54, 8, 95, 7, 31, 25, 40, 50, 50, 22, 20, 109, 96, 963, 230, 225
INVAR-1, Run: 004, F, 2, 22, 1, 0, 4, 30, 21, 1, 2, 0, 2, 2, 0, 2, 0, 0, 3, 0, 1, 5, 1, 4, 5, 0, 0, 1, 0, 25, 100, 94, 985, 1051, 1030, 105, 103, 101, 11, 110, 16, 100, 12, 90, 50, 18, 7, 92, 15, 14, 12, 101, 95, 110, 105, 97, 93, 93, 87, 112, 70, 64, 14, 89, 13, 42, 29, 42, 58, 57, 22, 22, 96, 87, 921, 106, 102
INVAR-1, Run: 005, F, 0, 23, 1, 2, 2, 29, 31, 1, 1, 0, 2, 1, 0, 3, 0, 1, 1, 0, 0, 2, 1, 1, 3, 0, 0, 0, 0, 24, 101, 127, 1724, 1816, 1785, 116, 115, 111, 8, 81, 20, 99, 18, 103, 40, 34, 5, 78, 6, 6, 14, 91, 94, 90, 88, 95, 94, 104, 101, 101, 71, 80, 14, 89, 14, 44, 16, 30, 40, 40, 36, 36, 113, 106, 1626, 141, 139
INVAR-1, Run: 006, F, 0, 22, 1, 1, 4, 20, 28, 1, 1, 0, 4, 0, 0, 3, 0, 1, 3, 0, 0, 1, 1, 2, 2, 1, 0, 2, 0, 25, 98, 213, 1717, 1645, 1617, 91, 90, 89, 5, 78, 18, 97, 14, 84, 27, 10, 8, 105, 11, 11, 8, 110, 90, 103, 102, 94, 92, 68, 66, 73, 51, 36, 10, 83, 10, 22, 24, 21, 51, 49, 14, 14, 91, 79, 1524, 227, 223
INVAR-1, Run: 007, F, 0, 20, 1, 1, 1, 33, 35, 1, 1, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 1, 2, 2, 1, 2, 0, 1, 20, 97, 71, 992, 1004, 969, 112, 111, 138, 24, 95, 23, 96, 22, 114, 44, 33, 19, 88, 13, 13, 7, 94, 101, 75, 75, 109, 107, 109, 107, 83, 52, 72, 13, 100, 13, 33, 31, 30, 51, 51, 37, 36, 109, 89, 954, 88, 87
INVAR-1, Run: 008, F, 0, 20, 1, 2, 3, 18, 21, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 22, 100, 126, 983, 1014, 993, 79, 79, 72, 14, 76, 21, 98, 18, 58, 42, 33, 5, 95, 7, 7, 7, 102, 94, 74, 74, 95, 95, 110, 110, 108, 65, 76, 13, 91, 13, 40, 12, 43, 34, 34, 36, 36, 90, 85, 875, 164, 161
INVAR-1, Run: 009, F, 0, 18, 1, 3, 6, 14, 12, 1, 0, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 23, 108, 150, 1255, 1204, 1192, 96, 96, 107, 17, 97, 16, 105, 10, 90, 48, 21, 12, 77, 15, 14, 4, 81, 95, 76, 75, 104, 104, 85, 83, 83, 74, 56, 12, 87, 10, 29, 23, 9, 48, 48, 27, 27, 99, 86, 1119, 155, 149
INVAR-1, Run: 010, F, 0, 29, 1, 0, 9, 42, 38, 1, 0, 0, 0, 0, 3, 0, 0, 1, 1, 0, 0, 3, 1, 1, 3, 0, 0, 0, 1, 37, 102, 445, 2422, 2395, 2357, 112, 112, 102, 11, 92, 27, 102, 18, 91, 39, 25, 9, 81, 18, 18, 22, 102, 93, 121, 118, 89, 88, 97, 94, 87, 51, 71, 20, 84, 20, 33, 16, 36, 53, 53, 38, 37, 89, 80, 2019, 498, 489
