Test, Input, Number_R, Number_F, Number_E, Number_TSE, Number_TEE, Number_NP
A10,INVAR-1,100,0,0,0,0,0
A11,INVAR-1,100,0,0,0,0,0
A12,INVAR-1,100,0,0,0,0,0
A13,INVAR-1,100,0,0,0,0,0
A14,INVAR-1,100,0,0,0,0,0
A15,INVAR-1,100,0,0,0,0,0
A16,INVAR-1,100,0,0,0,0,0
A17,INVAR-1,100,0,0,0,0,0
A18,INVAR-1,100,0,0,0,0,0
A19,INVAR-1,100,100,0,0,0,100
A20,INVAR-1,100,0,0,0,0,0
A21,INVAR-1,100,0,0,0,0,0
A22,INVAR-1,100,0,0,0,0,0
A23,INVAR-1,100,0,0,0,0,0
A24,INVAR-1,100,0,0,0,0,0
A25,INVAR-1,100,0,0,0,0,0
A26,INVAR-1,100,0,0,0,0,0
A27,INVAR-1,100,0,0,0,0,0
A6,INVAR-1,100,0,0,0,0,0
A7,INVAR-1,100,0,0,0,0,0
A8,INVAR-1,100,0,0,0,0,0
A9,INVAR-1,100,0,0,0,0,0
