Input Number, Run_Number, Result@ 100, Y, X1, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 001, P, 14, 0, 0, 1386, 38, 24
INVAR-1, Run: 002, P, 14, 0, 0, 1369, 38, 24
INVAR-1, Run: 003, P, 14, 0, 0, 1342, 38, 24
INVAR-1, Run: 004, P, 14, 0, 0, 1391, 38, 24
INVAR-1, Run: 005, P, 14, 0, 0, 1413, 38, 24
INVAR-1, Run: 006, P, 14, 0, 0, 1379, 38, 24
INVAR-1, Run: 007, P, 14, 0, 0, 1420, 38, 24
INVAR-1, Run: 008, P, 14, 0, 0, 1348, 38, 24
INVAR-1, Run: 009, P, 14, 0, 0, 1341, 38, 24
INVAR-1, Run: 010, P, 14, 0, 0, 1315, 38, 24
INVAR-1, Run: 011, P, 14, 0, 0, 1400, 38, 24
INVAR-1, Run: 012, P, 14, 0, 0, 1386, 38, 24
INVAR-1, Run: 013, P, 14, 0, 0, 1327, 38, 24
INVAR-1, Run: 014, P, 14, 0, 0, 1375, 38, 24
INVAR-1, Run: 015, P, 14, 0, 0, 1381, 38, 24
INVAR-1, Run: 016, P, 14, 0, 0, 1404, 38, 24
INVAR-1, Run: 017, P, 14, 0, 0, 1340, 38, 24
INVAR-1, Run: 018, P, 14, 0, 0, 1367, 38, 24
INVAR-1, Run: 019, P, 14, 0, 0, 1440, 38, 24
INVAR-1, Run: 020, P, 14, 0, 0, 1412, 38, 24
INVAR-1, Run: 021, P, 14, 0, 0, 1392, 38, 24
INVAR-1, Run: 022, P, 14, 0, 0, 1358, 38, 24
INVAR-1, Run: 023, P, 14, 0, 0, 1445, 38, 24
INVAR-1, Run: 024, P, 14, 0, 0, 1372, 38, 24
INVAR-1, Run: 025, P, 14, 0, 0, 1358, 38, 24
INVAR-1, Run: 026, P, 14, 0, 0, 1345, 38, 24
INVAR-1, Run: 027, P, 14, 0, 0, 1344, 38, 24
INVAR-1, Run: 028, P, 14, 0, 0, 1384, 38, 24
INVAR-1, Run: 029, P, 14, 0, 0, 1428, 38, 24
INVAR-1, Run: 030, P, 14, 0, 0, 1369, 38, 24
INVAR-1, Run: 031, P, 14, 0, 0, 1392, 38, 24
INVAR-1, Run: 032, P, 14, 0, 0, 1325, 38, 24
INVAR-1, Run: 033, P, 14, 0, 0, 1379, 38, 24
INVAR-1, Run: 034, P, 14, 0, 0, 1373, 38, 24
INVAR-1, Run: 035, P, 14, 0, 0, 1341, 38, 24
