Input Number, Run_Number, Result@ 100, X1, Y, X2, NEW_REACTION, Reaction1, Reaction2
INVAR-1, Run: 001, P, 2, 228, 0, 108, 252, 24
INVAR-1, Run: 002, P, 4, 208, 0, 99, 232, 24
INVAR-1, Run: 003, P, 2, 232, 0, 110, 256, 24
INVAR-1, Run: 004, P, 2, 206, 0, 97, 230, 24
INVAR-1, Run: 005, P, 0, 212, 0, 99, 236, 24
INVAR-1, Run: 006, P, 2, 210, 0, 99, 234, 24
INVAR-1, Run: 007, P, 2, 216, 0, 102, 240, 24
INVAR-1, Run: 008, P, 2, 222, 0, 105, 246, 24
INVAR-1, Run: 009, P, 0, 180, 0, 83, 204, 24
INVAR-1, Run: 010, P, 3, 183, 0, 86, 207, 24
INVAR-1, Run: 011, P, 1, 229, 0, 108, 253, 24
INVAR-1, Run: 012, P, 0, 222, 0, 104, 246, 24
INVAR-1, Run: 013, P, 1, 203, 0, 95, 227, 24
INVAR-1, Run: 014, P, 3, 243, 0, 116, 267, 24
INVAR-1, Run: 015, P, 3, 233, 0, 111, 257, 24
INVAR-1, Run: 016, P, 2, 230, 0, 109, 254, 24
INVAR-1, Run: 017, P, 4, 216, 0, 103, 240, 24
INVAR-1, Run: 018, P, 1, 207, 0, 97, 231, 24
INVAR-1, Run: 019, P, 3, 231, 0, 110, 255, 24
INVAR-1, Run: 020, P, 4, 240, 0, 115, 264, 24
INVAR-1, Run: 021, P, 0, 238, 0, 112, 262, 24
INVAR-1, Run: 022, P, 0, 216, 0, 101, 240, 24
INVAR-1, Run: 023, P, 3, 171, 0, 80, 195, 24
INVAR-1, Run: 024, P, 0, 218, 0, 102, 242, 24
INVAR-1, Run: 025, P, 1, 215, 0, 101, 239, 24
INVAR-1, Run: 026, P, 1, 239, 0, 113, 263, 24
INVAR-1, Run: 027, P, 3, 215, 0, 102, 239, 24
INVAR-1, Run: 028, P, 3, 219, 0, 104, 243, 24
INVAR-1, Run: 029, P, 3, 211, 0, 100, 235, 24
INVAR-1, Run: 030, P, 3, 185, 0, 87, 209, 24
INVAR-1, Run: 031, P, 1, 245, 0, 116, 269, 24
INVAR-1, Run: 032, P, 1, 229, 0, 108, 253, 24
INVAR-1, Run: 033, P, 1, 197, 0, 92, 221, 24
INVAR-1, Run: 034, P, 0, 242, 0, 114, 266, 24
INVAR-1, Run: 035, P, 1, 217, 0, 102, 241, 24
INVAR-1, Run: 036, P, 0, 204, 0, 95, 228, 24
INVAR-1, Run: 037, P, 7, 229, 0, 111, 253, 24
INVAR-1, Run: 038, P, 1, 177, 0, 82, 201, 24
INVAR-1, Run: 039, P, 0, 202, 0, 94, 226, 24
INVAR-1, Run: 040, P, 4, 220, 0, 105, 244, 24
INVAR-1, Run: 041, P, 1, 227, 0, 107, 251, 24
INVAR-1, Run: 042, P, 3, 191, 0, 90, 215, 24
INVAR-1, Run: 043, P, 2, 194, 0, 91, 218, 24
INVAR-1, Run: 044, P, 5, 213, 0, 102, 237, 24
INVAR-1, Run: 045, P, 0, 222, 0, 104, 246, 24
INVAR-1, Run: 046, P, 0, 206, 0, 96, 230, 24
INVAR-1, Run: 047, P, 0, 206, 0, 96, 230, 24
INVAR-1, Run: 048, P, 2, 256, 0, 122, 280, 24
INVAR-1, Run: 049, P, 4, 224, 0, 107, 248, 24
INVAR-1, Run: 050, P, 1, 215, 0, 101, 239, 24
INVAR-1, Run: 051, P, 0, 240, 0, 113, 264, 24
INVAR-1, Run: 052, P, 1, 241, 0, 114, 265, 24
INVAR-1, Run: 053, P, 1, 221, 0, 104, 245, 24
INVAR-1, Run: 054, P, 0, 208, 0, 97, 232, 24
INVAR-1, Run: 055, P, 3, 199, 0, 94, 223, 24
INVAR-1, Run: 056, P, 4, 220, 0, 105, 244, 24
INVAR-1, Run: 057, P, 1, 219, 0, 103, 243, 24
INVAR-1, Run: 058, P, 2, 244, 0, 116, 268, 24
INVAR-1, Run: 059, P, 2, 258, 0, 123, 282, 24
INVAR-1, Run: 060, P, 4, 218, 0, 104, 242, 24
INVAR-1, Run: 061, P, 3, 207, 0, 98, 231, 24
INVAR-1, Run: 062, P, 2, 222, 0, 105, 246, 24
INVAR-1, Run: 063, P, 2, 216, 0, 102, 240, 24
INVAR-1, Run: 064, P, 4, 222, 0, 106, 246, 24
INVAR-1, Run: 065, P, 2, 194, 0, 91, 218, 24
INVAR-1, Run: 066, P, 0, 218, 0, 102, 242, 24
INVAR-1, Run: 067, P, 2, 252, 0, 120, 276, 24
INVAR-1, Run: 068, P, 3, 223, 0, 106, 247, 24
INVAR-1, Run: 069, P, 0, 192, 0, 89, 216, 24
INVAR-1, Run: 070, P, 3, 213, 0, 101, 237, 24
INVAR-1, Run: 071, P, 1, 219, 0, 103, 243, 24
INVAR-1, Run: 072, P, 3, 233, 0, 111, 257, 24
INVAR-1, Run: 073, P, 2, 200, 0, 94, 224, 24
INVAR-1, Run: 074, P, 0, 196, 0, 91, 220, 24
INVAR-1, Run: 075, P, 5, 213, 0, 102, 237, 24
INVAR-1, Run: 076, P, 2, 184, 0, 86, 208, 24
INVAR-1, Run: 077, P, 1, 235, 0, 111, 259, 24
INVAR-1, Run: 078, P, 1, 205, 0, 96, 229, 24
INVAR-1, Run: 079, P, 3, 199, 0, 94, 223, 24
