Input Number, Run_Number, Result@ 100, X2, Y, Reaction2
INVAR-1, Run: 001, E, 24, 0, 0
INVAR-1, Run: 002, E, 24, 0, 0
INVAR-1, Run: 003, E, 24, 0, 0
INVAR-1, Run: 004, E, 24, 0, 0
INVAR-1, Run: 005, E, 24, 0, 0
INVAR-1, Run: 006, E, 24, 0, 0
INVAR-1, Run: 007, E, 24, 0, 0
INVAR-1, Run: 008, E, 24, 0, 0
INVAR-1, Run: 009, E, 24, 0, 0
INVAR-1, Run: 010, E, 24, 0, 0
INVAR-1, Run: 011, E, 24, 0, 0
INVAR-1, Run: 012, E, 24, 0, 0
INVAR-1, Run: 013, E, 24, 0, 0
INVAR-1, Run: 014, E, 24, 0, 0
INVAR-1, Run: 015, E, 24, 0, 0
INVAR-1, Run: 016, E, 24, 0, 0
INVAR-1, Run: 017, E, 24, 0, 0
INVAR-1, Run: 018, E, 24, 0, 0
INVAR-1, Run: 019, E, 24, 0, 0
INVAR-1, Run: 020, E, 24, 0, 0
INVAR-1, Run: 021, E, 24, 0, 0
INVAR-1, Run: 022, E, 24, 0, 0
INVAR-1, Run: 023, E, 24, 0, 0
INVAR-1, Run: 024, E, 24, 0, 0
INVAR-1, Run: 025, E, 24, 0, 0
INVAR-1, Run: 026, E, 24, 0, 0
INVAR-1, Run: 027, E, 24, 0, 0
INVAR-1, Run: 028, E, 24, 0, 0
INVAR-1, Run: 029, E, 24, 0, 0
INVAR-1, Run: 030, E, 24, 0, 0
INVAR-1, Run: 031, E, 24, 0, 0
INVAR-1, Run: 032, E, 24, 0, 0
INVAR-1, Run: 033, E, 24, 0, 0
INVAR-1, Run: 034, E, 24, 0, 0
INVAR-1, Run: 035, E, 24, 0, 0
INVAR-1, Run: 036, E, 24, 0, 0
INVAR-1, Run: 037, E, 24, 0, 0
INVAR-1, Run: 038, E, 24, 0, 0
INVAR-1, Run: 039, E, 24, 0, 0
INVAR-1, Run: 040, E, 24, 0, 0
INVAR-1, Run: 041, E, 24, 0, 0
INVAR-1, Run: 042, E, 24, 0, 0
INVAR-1, Run: 043, E, 24, 0, 0
INVAR-1, Run: 044, E, 24, 0, 0
INVAR-1, Run: 045, E, 24, 0, 0
INVAR-1, Run: 046, E, 24, 0, 0
INVAR-1, Run: 047, E, 24, 0, 0
INVAR-1, Run: 048, E, 24, 0, 0
INVAR-1, Run: 049, E, 24, 0, 0
INVAR-1, Run: 050, E, 24, 0, 0
INVAR-1, Run: 051, E, 24, 0, 0
INVAR-1, Run: 052, E, 24, 0, 0
INVAR-1, Run: 053, E, 24, 0, 0
INVAR-1, Run: 054, E, 24, 0, 0
INVAR-1, Run: 055, E, 24, 0, 0
INVAR-1, Run: 056, E, 24, 0, 0
INVAR-1, Run: 057, E, 24, 0, 0
INVAR-1, Run: 058, E, 24, 0, 0
INVAR-1, Run: 059, E, 24, 0, 0
INVAR-1, Run: 060, E, 24, 0, 0
INVAR-1, Run: 061, E, 24, 0, 0
INVAR-1, Run: 062, E, 24, 0, 0
INVAR-1, Run: 063, E, 24, 0, 0
INVAR-1, Run: 064, E, 24, 0, 0
INVAR-1, Run: 065, E, 24, 0, 0
INVAR-1, Run: 066, E, 24, 0, 0
INVAR-1, Run: 067, E, 24, 0, 0
INVAR-1, Run: 068, E, 24, 0, 0
INVAR-1, Run: 069, E, 24, 0, 0
INVAR-1, Run: 070, E, 24, 0, 0
INVAR-1, Run: 071, E, 24, 0, 0
INVAR-1, Run: 072, E, 24, 0, 0
INVAR-1, Run: 073, E, 24, 0, 0
INVAR-1, Run: 074, E, 24, 0, 0
INVAR-1, Run: 075, E, 24, 0, 0
INVAR-1, Run: 076, E, 24, 0, 0
INVAR-1, Run: 077, E, 24, 0, 0
INVAR-1, Run: 078, E, 24, 0, 0
INVAR-1, Run: 079, E, 24, 0, 0
INVAR-1, Run: 080, E, 24, 0, 0
INVAR-1, Run: 081, E, 24, 0, 0
INVAR-1, Run: 082, E, 24, 0, 0
INVAR-1, Run: 083, E, 24, 0, 0
INVAR-1, Run: 084, E, 24, 0, 0
INVAR-1, Run: 085, E, 24, 0, 0
INVAR-1, Run: 086, E, 24, 0, 0
INVAR-1, Run: 087, E, 24, 0, 0
INVAR-1, Run: 088, E, 24, 0, 0
INVAR-1, Run: 089, E, 24, 0, 0
INVAR-1, Run: 090, E, 24, 0, 0
INVAR-1, Run: 091, E, 24, 0, 0
INVAR-1, Run: 092, E, 24, 0, 0
INVAR-1, Run: 093, E, 24, 0, 0
INVAR-1, Run: 094, E, 24, 0, 0
INVAR-1, Run: 095, E, 24, 0, 0
INVAR-1, Run: 096, E, 24, 0, 0
INVAR-1, Run: 097, E, 24, 0, 0
INVAR-1, Run: 098, E, 24, 0, 0
INVAR-1, Run: 099, E, 24, 0, 0
INVAR-1, Run: 100, E, 24, 0, 0
INVAR-10, Run: 001, E, 42, 0, 0
INVAR-10, Run: 002, E, 42, 0, 0
INVAR-10, Run: 003, E, 42, 0, 0
INVAR-10, Run: 004, E, 42, 0, 0
INVAR-10, Run: 005, E, 42, 0, 0
INVAR-10, Run: 006, E, 42, 0, 0
INVAR-10, Run: 007, E, 42, 0, 0
INVAR-10, Run: 008, E, 42, 0, 0
INVAR-10, Run: 009, E, 42, 0, 0
INVAR-10, Run: 010, E, 42, 0, 0
INVAR-10, Run: 011, E, 42, 0, 0
INVAR-10, Run: 012, E, 42, 0, 0
INVAR-10, Run: 013, E, 42, 0, 0
INVAR-10, Run: 014, E, 42, 0, 0
INVAR-10, Run: 015, E, 42, 0, 0
INVAR-10, Run: 016, E, 42, 0, 0
INVAR-10, Run: 017, E, 42, 0, 0
INVAR-10, Run: 018, E, 42, 0, 0
INVAR-10, Run: 019, E, 42, 0, 0
INVAR-10, Run: 020, E, 42, 0, 0
INVAR-10, Run: 021, E, 42, 0, 0
INVAR-10, Run: 022, E, 42, 0, 0
INVAR-10, Run: 023, E, 42, 0, 0
INVAR-10, Run: 024, E, 42, 0, 0
INVAR-10, Run: 025, E, 42, 0, 0
INVAR-10, Run: 026, E, 42, 0, 0
INVAR-10, Run: 027, E, 42, 0, 0
INVAR-10, Run: 028, E, 42, 0, 0
INVAR-10, Run: 029, E, 42, 0, 0
INVAR-10, Run: 030, E, 42, 0, 0
INVAR-10, Run: 031, E, 42, 0, 0
INVAR-10, Run: 032, E, 42, 0, 0
INVAR-10, Run: 033, E, 42, 0, 0
INVAR-10, Run: 034, E, 42, 0, 0
INVAR-10, Run: 035, E, 42, 0, 0
INVAR-10, Run: 036, E, 42, 0, 0
INVAR-10, Run: 037, E, 42, 0, 0
INVAR-10, Run: 038, E, 42, 0, 0
INVAR-10, Run: 039, E, 42, 0, 0
INVAR-10, Run: 040, E, 42, 0, 0
INVAR-10, Run: 041, E, 42, 0, 0
INVAR-10, Run: 042, E, 42, 0, 0
INVAR-10, Run: 043, E, 42, 0, 0
INVAR-10, Run: 044, E, 42, 0, 0
INVAR-10, Run: 045, E, 42, 0, 0
INVAR-10, Run: 046, E, 42, 0, 0
INVAR-10, Run: 047, E, 42, 0, 0
