Input Number, Run_Number, Result@ 100, X2, X1, Y
INVAR-1, Run: 001, F, 182, 0, 0
INVAR-1, Run: 002, F, 166, 0, 0
INVAR-1, Run: 003, F, 164, 0, 0
INVAR-1, Run: 004, F, 174, 0, 0
INVAR-1, Run: 005, F, 158, 0, 0
INVAR-1, Run: 006, F, 156, 0, 0
INVAR-1, Run: 007, F, 212, 0, 0
INVAR-1, Run: 008, F, 150, 0, 0
INVAR-1, Run: 009, F, 176, 0, 0
INVAR-1, Run: 010, F, 160, 0, 0
INVAR-1, Run: 011, F, 240, 0, 0
INVAR-1, Run: 012, F, 146, 0, 0
INVAR-1, Run: 013, F, 198, 0, 0
INVAR-1, Run: 014, F, 172, 0, 0
INVAR-1, Run: 015, F, 196, 0, 0
INVAR-1, Run: 016, F, 132, 0, 0
INVAR-1, Run: 017, F, 188, 0, 0
INVAR-1, Run: 018, F, 188, 0, 0
INVAR-1, Run: 019, F, 182, 0, 0
INVAR-1, Run: 020, F, 186, 0, 0
INVAR-1, Run: 021, F, 180, 0, 0
INVAR-1, Run: 022, F, 200, 0, 0
INVAR-1, Run: 023, F, 222, 0, 0
INVAR-1, Run: 024, F, 184, 0, 0
INVAR-1, Run: 025, F, 156, 0, 0
INVAR-1, Run: 026, F, 208, 0, 0
INVAR-1, Run: 027, F, 192, 0, 0
INVAR-1, Run: 028, F, 188, 0, 0
INVAR-1, Run: 029, F, 208, 0, 0
INVAR-1, Run: 030, F, 188, 0, 0
INVAR-1, Run: 031, F, 196, 0, 0
INVAR-1, Run: 032, F, 168, 0, 0
INVAR-1, Run: 033, F, 214, 0, 0
INVAR-1, Run: 034, F, 206, 0, 0
INVAR-1, Run: 035, F, 184, 0, 0
INVAR-1, Run: 036, F, 194, 0, 0
INVAR-1, Run: 037, F, 214, 0, 0
INVAR-1, Run: 038, F, 222, 0, 0
INVAR-1, Run: 039, F, 178, 0, 0
INVAR-1, Run: 040, F, 178, 0, 0
INVAR-1, Run: 041, F, 200, 0, 0
INVAR-1, Run: 042, F, 178, 0, 0
INVAR-1, Run: 043, F, 146, 0, 0
INVAR-1, Run: 044, F, 198, 0, 0
INVAR-1, Run: 045, F, 206, 0, 0
INVAR-1, Run: 046, F, 184, 0, 0
INVAR-1, Run: 047, F, 172, 0, 0
INVAR-1, Run: 048, F, 190, 0, 0
INVAR-1, Run: 049, F, 176, 0, 0
INVAR-1, Run: 050, F, 172, 0, 0
INVAR-1, Run: 051, F, 186, 0, 0
INVAR-1, Run: 052, F, 180, 0, 0
INVAR-1, Run: 053, F, 182, 0, 0
INVAR-1, Run: 054, F, 182, 0, 0
INVAR-1, Run: 055, F, 166, 0, 0
INVAR-1, Run: 056, F, 184, 0, 0
INVAR-1, Run: 057, F, 174, 0, 0
INVAR-1, Run: 058, F, 202, 0, 0
INVAR-1, Run: 059, F, 180, 0, 0
INVAR-1, Run: 060, F, 184, 0, 0
INVAR-1, Run: 061, F, 200, 0, 0
INVAR-1, Run: 062, F, 226, 0, 0
INVAR-1, Run: 063, F, 196, 0, 0
INVAR-1, Run: 064, F, 204, 0, 0
INVAR-1, Run: 065, F, 178, 0, 0
INVAR-1, Run: 066, F, 182, 0, 0
INVAR-1, Run: 067, F, 218, 0, 0
INVAR-1, Run: 068, F, 158, 0, 0
INVAR-1, Run: 069, F, 206, 0, 0
INVAR-1, Run: 070, F, 172, 0, 0
INVAR-1, Run: 071, F, 166, 0, 0
INVAR-1, Run: 072, F, 224, 0, 0
INVAR-1, Run: 073, F, 204, 0, 0
INVAR-1, Run: 074, F, 216, 0, 0
INVAR-1, Run: 075, F, 200, 0, 0
INVAR-1, Run: 076, F, 170, 0, 0
INVAR-1, Run: 077, F, 216, 0, 0
INVAR-1, Run: 078, F, 158, 0, 0
INVAR-1, Run: 079, F, 170, 0, 0
INVAR-1, Run: 080, F, 186, 0, 0
INVAR-1, Run: 081, F, 160, 0, 0
INVAR-1, Run: 082, F, 176, 0, 0
INVAR-1, Run: 083, F, 186, 0, 0
INVAR-1, Run: 084, F, 164, 0, 0
INVAR-1, Run: 085, F, 192, 0, 0
INVAR-1, Run: 086, F, 186, 0, 0
INVAR-1, Run: 087, F, 164, 0, 0
INVAR-1, Run: 088, F, 186, 0, 0
INVAR-1, Run: 089, F, 182, 0, 0
INVAR-1, Run: 090, F, 174, 0, 0
INVAR-1, Run: 091, F, 198, 0, 0
INVAR-1, Run: 092, F, 176, 0, 0
INVAR-1, Run: 093, F, 184, 0, 0
INVAR-1, Run: 094, F, 194, 0, 0
INVAR-1, Run: 095, F, 196, 0, 0
INVAR-1, Run: 096, F, 148, 0, 0
INVAR-1, Run: 097, F, 178, 0, 0
INVAR-1, Run: 098, F, 200, 0, 0
INVAR-1, Run: 099, F, 180, 0, 0
INVAR-1, Run: 100, F, 162, 0, 0
INVAR-10, Run: 001, F, 160, 0, 0
INVAR-10, Run: 002, F, 184, 0, 0
INVAR-10, Run: 003, F, 204, 0, 0
INVAR-10, Run: 004, F, 190, 0, 0
INVAR-10, Run: 005, F, 188, 0, 0
INVAR-10, Run: 006, F, 188, 0, 0
INVAR-10, Run: 007, F, 176, 0, 0
INVAR-10, Run: 008, F, 140, 0, 0
INVAR-10, Run: 009, F, 204, 0, 0
INVAR-10, Run: 010, F, 178, 0, 0
INVAR-10, Run: 011, F, 184, 0, 0
INVAR-10, Run: 012, F, 184, 0, 0
INVAR-10, Run: 013, F, 190, 0, 0
INVAR-10, Run: 014, F, 200, 0, 0
INVAR-10, Run: 015, F, 192, 0, 0
INVAR-10, Run: 016, F, 160, 0, 0
INVAR-10, Run: 017, F, 170, 0, 0
INVAR-10, Run: 018, F, 180, 0, 0
INVAR-10, Run: 019, F, 182, 0, 0
INVAR-10, Run: 020, F, 190, 0, 0
INVAR-10, Run: 021, F, 210, 0, 0
INVAR-10, Run: 022, F, 178, 0, 0
INVAR-10, Run: 023, F, 194, 0, 0
INVAR-10, Run: 024, F, 198, 0, 0
INVAR-10, Run: 025, F, 192, 0, 0
INVAR-10, Run: 026, F, 216, 0, 0
INVAR-10, Run: 027, F, 214, 0, 0
INVAR-10, Run: 028, F, 238, 0, 0
INVAR-10, Run: 029, F, 224, 0, 0
INVAR-10, Run: 030, F, 206, 0, 0
INVAR-10, Run: 031, F, 200, 0, 0
INVAR-10, Run: 032, F, 184, 0, 0
INVAR-10, Run: 033, F, 182, 0, 0
INVAR-10, Run: 034, F, 188, 0, 0
INVAR-10, Run: 035, F, 208, 0, 0
INVAR-10, Run: 036, F, 178, 0, 0
INVAR-10, Run: 037, F, 180, 0, 0
INVAR-10, Run: 038, F, 212, 0, 0
INVAR-10, Run: 039, F, 192, 0, 0
INVAR-10, Run: 040, F, 208, 0, 0
INVAR-10, Run: 041, F, 204, 0, 0
INVAR-10, Run: 042, F, 144, 0, 0
INVAR-10, Run: 043, F, 182, 0, 0
INVAR-10, Run: 044, F, 176, 0, 0
INVAR-10, Run: 045, F, 212, 0, 0
INVAR-10, Run: 046, F, 204, 0, 0
INVAR-10, Run: 047, F, 176, 0, 0
INVAR-10, Run: 048, F, 172, 0, 0
INVAR-10, Run: 049, F, 196, 0, 0
INVAR-10, Run: 050, F, 176, 0, 0
INVAR-10, Run: 051, F, 242, 0, 0
INVAR-10, Run: 052, F, 176, 0, 0
INVAR-10, Run: 053, F, 174, 0, 0
INVAR-10, Run: 054, F, 184, 0, 0
INVAR-10, Run: 055, F, 192, 0, 0
INVAR-10, Run: 056, F, 208, 0, 0
INVAR-10, Run: 057, F, 190, 0, 0
INVAR-10, Run: 058, F, 214, 0, 0
INVAR-10, Run: 059, F, 214, 0, 0
INVAR-10, Run: 060, F, 214, 0, 0
INVAR-10, Run: 061, F, 178, 0, 0
INVAR-10, Run: 062, F, 164, 0, 0
INVAR-10, Run: 063, F, 234, 0, 0
INVAR-10, Run: 064, F, 190, 0, 0
INVAR-10, Run: 065, F, 186, 0, 0
INVAR-10, Run: 066, F, 170, 0, 0
INVAR-10, Run: 067, F, 196, 0, 0
INVAR-10, Run: 068, F, 168, 0, 0
INVAR-10, Run: 069, F, 198, 0, 0
INVAR-10, Run: 070, F, 184, 0, 0
INVAR-10, Run: 071, F, 200, 0, 0
INVAR-10, Run: 072, F, 176, 0, 0
INVAR-10, Run: 073, F, 178, 0, 0
INVAR-10, Run: 074, F, 204, 0, 0
INVAR-10, Run: 075, F, 228, 0, 0
INVAR-10, Run: 076, F, 182, 0, 0
INVAR-10, Run: 077, F, 200, 0, 0
INVAR-10, Run: 078, F, 156, 0, 0
INVAR-10, Run: 079, F, 176, 0, 0
INVAR-10, Run: 080, F, 198, 0, 0
INVAR-10, Run: 081, F, 226, 0, 0
INVAR-10, Run: 082, F, 186, 0, 0
INVAR-10, Run: 083, F, 202, 0, 0
INVAR-10, Run: 084, F, 206, 0, 0
INVAR-10, Run: 085, F, 192, 0, 0
INVAR-10, Run: 086, F, 188, 0, 0
INVAR-10, Run: 087, F, 204, 0, 0
INVAR-10, Run: 088, F, 180, 0, 0
INVAR-10, Run: 089, F, 198, 0, 0
INVAR-10, Run: 090, F, 198, 0, 0
INVAR-10, Run: 091, F, 204, 0, 0
INVAR-10, Run: 092, F, 186, 0, 0
INVAR-10, Run: 093, F, 194, 0, 0
INVAR-10, Run: 094, F, 214, 0, 0
INVAR-10, Run: 095, F, 210, 0, 0
INVAR-10, Run: 096, F, 176, 0, 0
INVAR-10, Run: 097, F, 212, 0, 0
INVAR-10, Run: 098, F, 200, 0, 0
INVAR-10, Run: 099, F, 208, 0, 0
INVAR-10, Run: 100, F, 186, 0, 0
INVAR-11, Run: 001, F, 154, 0, 0
INVAR-11, Run: 002, F, 170, 0, 0
INVAR-11, Run: 003, F, 190, 0, 0
INVAR-11, Run: 004, F, 142, 0, 0
INVAR-11, Run: 005, F, 146, 0, 0
INVAR-11, Run: 006, F, 122, 0, 0
INVAR-11, Run: 007, F, 188, 0, 0
INVAR-11, Run: 008, F, 134, 0, 0
INVAR-11, Run: 009, F, 150, 0, 0
INVAR-11, Run: 010, F, 186, 0, 0
INVAR-11, Run: 011, F, 144, 0, 0
INVAR-11, Run: 012, F, 176, 0, 0
INVAR-11, Run: 013, F, 100, 0, 0
INVAR-11, Run: 014, F, 140, 0, 0
INVAR-11, Run: 015, F, 202, 0, 0
