Input Number, Run_Number, Result@ 100, X1, Y, X2
INVAR-1, Run: 001, F, 1, 133, 0
INVAR-1, Run: 002, F, 0, 100, 0
INVAR-1, Run: 003, F, 0, 120, 0
INVAR-1, Run: 004, F, 1, 119, 0
INVAR-1, Run: 005, F, 0, 122, 0
INVAR-1, Run: 006, F, 1, 113, 0
INVAR-1, Run: 007, F, 1, 126, 0
INVAR-1, Run: 008, F, 0, 99, 0
INVAR-1, Run: 009, F, 3, 111, 0
INVAR-1, Run: 010, F, 1, 119, 0
INVAR-1, Run: 011, F, 0, 101, 0
INVAR-1, Run: 012, F, 0, 115, 0
INVAR-1, Run: 013, F, 1, 117, 0
INVAR-1, Run: 014, F, 1, 127, 0
INVAR-1, Run: 015, F, 0, 129, 0
INVAR-1, Run: 016, F, 2, 113, 0
INVAR-1, Run: 017, F, 0, 116, 0
INVAR-1, Run: 018, F, 0, 98, 0
INVAR-1, Run: 019, F, 1, 101, 0
INVAR-1, Run: 020, F, 1, 118, 0
INVAR-1, Run: 021, F, 1, 104, 0
INVAR-1, Run: 022, F, 1, 109, 0
INVAR-1, Run: 023, F, 4, 112, 0
INVAR-1, Run: 024, F, 1, 118, 0
INVAR-1, Run: 025, F, 1, 99, 0
INVAR-1, Run: 026, F, 2, 108, 0
INVAR-1, Run: 027, F, 1, 116, 0
INVAR-1, Run: 028, F, 1, 114, 0
INVAR-1, Run: 029, F, 1, 125, 0
INVAR-1, Run: 030, F, 2, 104, 1
INVAR-1, Run: 031, F, 2, 125, 0
INVAR-1, Run: 032, F, 0, 130, 0
INVAR-1, Run: 033, F, 2, 105, 0
INVAR-1, Run: 034, F, 0, 113, 0
INVAR-1, Run: 035, F, 2, 113, 0
INVAR-1, Run: 036, F, 2, 119, 0
INVAR-1, Run: 037, F, 3, 114, 0
INVAR-1, Run: 038, F, 1, 98, 0
INVAR-1, Run: 039, F, 2, 110, 0
INVAR-1, Run: 040, F, 0, 106, 0
INVAR-1, Run: 041, F, 0, 143, 0
INVAR-1, Run: 042, F, 0, 105, 0
INVAR-1, Run: 043, F, 0, 97, 0
INVAR-1, Run: 044, F, 0, 122, 0
INVAR-1, Run: 045, F, 1, 100, 0
INVAR-1, Run: 046, F, 0, 95, 0
INVAR-1, Run: 047, F, 2, 127, 0
INVAR-1, Run: 048, F, 1, 117, 0
INVAR-1, Run: 049, F, 1, 109, 0
INVAR-1, Run: 050, F, 0, 100, 0
INVAR-1, Run: 051, F, 0, 122, 0
INVAR-1, Run: 052, F, 0, 118, 0
INVAR-1, Run: 053, F, 1, 116, 0
INVAR-1, Run: 054, F, 1, 119, 0
INVAR-1, Run: 055, F, 0, 114, 0
INVAR-1, Run: 056, F, 1, 106, 0
INVAR-1, Run: 057, F, 2, 106, 0
INVAR-1, Run: 058, F, 2, 114, 0
INVAR-1, Run: 059, F, 1, 112, 0
INVAR-1, Run: 060, F, 0, 110, 0
INVAR-1, Run: 061, F, 1, 117, 0
INVAR-1, Run: 062, F, 0, 113, 0
INVAR-1, Run: 063, F, 2, 108, 0
INVAR-1, Run: 064, F, 1, 111, 0
INVAR-1, Run: 065, F, 1, 110, 0
INVAR-1, Run: 066, F, 0, 129, 0
INVAR-1, Run: 067, F, 2, 108, 0
INVAR-1, Run: 068, F, 2, 116, 0
INVAR-1, Run: 069, F, 0, 121, 0
INVAR-1, Run: 070, F, 3, 96, 0
INVAR-1, Run: 071, F, 1, 121, 0
INVAR-1, Run: 072, F, 0, 108, 0
INVAR-1, Run: 073, F, 1, 97, 0
INVAR-1, Run: 074, F, 2, 133, 0
INVAR-1, Run: 075, F, 3, 113, 0
INVAR-1, Run: 076, F, 2, 119, 0
INVAR-1, Run: 077, F, 2, 115, 0
INVAR-1, Run: 078, F, 3, 113, 0
INVAR-1, Run: 079, F, 1, 130, 0
INVAR-1, Run: 080, F, 0, 115, 0
INVAR-1, Run: 081, F, 4, 110, 0
INVAR-1, Run: 082, F, 1, 113, 0
INVAR-1, Run: 083, F, 1, 112, 0
INVAR-1, Run: 084, F, 1, 120, 0
INVAR-1, Run: 085, F, 0, 114, 0
INVAR-1, Run: 086, F, 0, 106, 0
INVAR-1, Run: 087, F, 0, 112, 0
INVAR-1, Run: 088, F, 2, 97, 0
INVAR-1, Run: 089, F, 1, 106, 0
INVAR-1, Run: 090, F, 0, 103, 0
INVAR-1, Run: 091, F, 1, 112, 0
INVAR-1, Run: 092, F, 3, 125, 0
INVAR-1, Run: 093, F, 1, 109, 0
INVAR-1, Run: 094, F, 2, 133, 0
INVAR-1, Run: 095, F, 4, 109, 0
INVAR-1, Run: 096, F, 1, 133, 0
INVAR-1, Run: 097, F, 0, 117, 0
INVAR-1, Run: 098, F, 4, 117, 0
INVAR-1, Run: 099, F, 0, 105, 0
INVAR-1, Run: 100, F, 0, 100, 0
INVAR-10, Run: 001, F, 2, 87, 0
INVAR-10, Run: 002, F, 0, 106, 0
INVAR-10, Run: 003, F, 1, 97, 0
INVAR-10, Run: 004, F, 0, 102, 0
INVAR-10, Run: 005, F, 0, 105, 0
INVAR-10, Run: 006, F, 0, 103, 0
INVAR-10, Run: 007, F, 0, 102, 0
INVAR-10, Run: 008, F, 1, 108, 0
INVAR-10, Run: 009, F, 1, 113, 0
INVAR-10, Run: 010, F, 4, 106, 0
INVAR-10, Run: 011, F, 0, 110, 0
INVAR-10, Run: 012, F, 2, 104, 0
INVAR-10, Run: 013, F, 3, 107, 0
INVAR-10, Run: 014, F, 1, 115, 0
INVAR-10, Run: 015, F, 2, 112, 0
INVAR-10, Run: 016, F, 2, 104, 0
INVAR-10, Run: 017, F, 0, 102, 0
INVAR-10, Run: 018, F, 1, 113, 0
INVAR-10, Run: 019, F, 2, 89, 0
INVAR-10, Run: 020, F, 2, 113, 0
INVAR-10, Run: 021, F, 1, 118, 0
INVAR-10, Run: 022, F, 1, 127, 0
INVAR-10, Run: 023, F, 0, 118, 0
INVAR-10, Run: 024, F, 0, 111, 0
INVAR-10, Run: 025, F, 0, 92, 0
INVAR-10, Run: 026, F, 1, 108, 0
INVAR-10, Run: 027, F, 1, 98, 0
INVAR-10, Run: 028, F, 1, 109, 0
INVAR-10, Run: 029, F, 1, 116, 0
INVAR-10, Run: 030, F, 2, 118, 0
INVAR-10, Run: 031, F, 0, 106, 0
INVAR-10, Run: 032, F, 2, 118, 0
INVAR-10, Run: 033, F, 1, 106, 0
INVAR-10, Run: 034, F, 3, 115, 1
INVAR-10, Run: 035, F, 2, 98, 0
INVAR-10, Run: 036, F, 0, 99, 0
INVAR-10, Run: 037, F, 2, 94, 0
INVAR-10, Run: 038, F, 0, 108, 0
INVAR-10, Run: 039, F, 2, 105, 0
INVAR-10, Run: 040, F, 0, 114, 0
INVAR-10, Run: 041, F, 2, 113, 0
INVAR-10, Run: 042, F, 0, 116, 0
INVAR-10, Run: 043, F, 0, 114, 0
INVAR-10, Run: 044, F, 1, 105, 0
INVAR-10, Run: 045, F, 0, 131, 0
INVAR-10, Run: 046, F, 3, 105, 0
INVAR-10, Run: 047, F, 1, 110, 0
INVAR-10, Run: 048, F, 2, 101, 0
INVAR-10, Run: 049, F, 0, 109, 0
INVAR-10, Run: 050, F, 1, 109, 0
INVAR-10, Run: 051, F, 0, 105, 0
INVAR-10, Run: 052, F, 0, 109, 0
INVAR-10, Run: 053, F, 0, 97, 0
INVAR-10, Run: 054, F, 1, 117, 0
INVAR-10, Run: 055, F, 1, 107, 0
INVAR-10, Run: 056, F, 0, 101, 0
INVAR-10, Run: 057, F, 3, 105, 0
INVAR-10, Run: 058, F, 0, 114, 0
INVAR-10, Run: 059, F, 1, 108, 0
INVAR-10, Run: 060, F, 1, 105, 0
INVAR-10, Run: 061, F, 1, 94, 0
INVAR-10, Run: 062, F, 0, 109, 0
INVAR-10, Run: 063, F, 1, 124, 0
INVAR-10, Run: 064, F, 1, 110, 0
INVAR-10, Run: 065, F, 2, 113, 0
INVAR-10, Run: 066, F, 0, 115, 0
INVAR-10, Run: 067, F, 1, 106, 0
INVAR-10, Run: 068, F, 0, 100, 0
INVAR-10, Run: 069, F, 1, 98, 0
INVAR-10, Run: 070, F, 0, 105, 0
INVAR-10, Run: 071, F, 2, 103, 0
INVAR-10, Run: 072, F, 0, 96, 0
INVAR-10, Run: 073, F, 0, 105, 0
INVAR-10, Run: 074, F, 1, 99, 0
INVAR-10, Run: 075, F, 2, 103, 0
INVAR-10, Run: 076, F, 0, 113, 0
INVAR-10, Run: 077, F, 3, 122, 0
INVAR-10, Run: 078, F, 3, 100, 0
INVAR-10, Run: 079, F, 1, 122, 0
INVAR-10, Run: 080, F, 2, 103, 0
INVAR-10, Run: 081, F, 0, 104, 0
INVAR-10, Run: 082, F, 1, 120, 0
INVAR-10, Run: 083, F, 1, 131, 0
INVAR-10, Run: 084, F, 1, 96, 1
INVAR-10, Run: 085, F, 0, 96, 0
INVAR-10, Run: 086, F, 0, 97, 0
INVAR-10, Run: 087, F, 0, 105, 0
INVAR-10, Run: 088, F, 2, 119, 0
INVAR-10, Run: 089, F, 1, 110, 0
INVAR-10, Run: 090, F, 2, 93, 0
INVAR-10, Run: 091, F, 0, 108, 0
INVAR-10, Run: 092, F, 0, 108, 0
INVAR-10, Run: 093, F, 1, 124, 0
INVAR-10, Run: 094, F, 0, 115, 0
INVAR-10, Run: 095, F, 0, 105, 0
INVAR-10, Run: 096, F, 2, 122, 0
INVAR-10, Run: 097, F, 1, 123, 0
INVAR-10, Run: 098, F, 0, 101, 0
INVAR-10, Run: 099, F, 0, 96, 0
INVAR-10, Run: 100, F, 0, 93, 0
INVAR-11, Run: 001, F, 0, 142, 0
INVAR-11, Run: 002, F, 2, 149, 0
INVAR-11, Run: 003, F, 0, 157, 0
INVAR-11, Run: 004, F, 0, 157, 0
INVAR-11, Run: 005, F, 0, 139, 0
INVAR-11, Run: 006, F, 1, 146, 0
INVAR-11, Run: 007, F, 1, 130, 0
INVAR-11, Run: 008, F, 0, 135, 0
INVAR-11, Run: 009, F, 0, 138, 0
INVAR-11, Run: 010, F, 2, 133, 0
INVAR-11, Run: 011, F, 0, 147, 0
INVAR-11, Run: 012, F, 1, 133, 0
INVAR-11, Run: 013, F, 2, 141, 0
INVAR-11, Run: 014, F, 3, 135, 0
INVAR-11, Run: 015, F, 1, 139, 0
INVAR-11, Run: 016, F, 0, 153, 0
INVAR-11, Run: 017, F, 0, 132, 0
INVAR-11, Run: 018, F, 2, 149, 0
INVAR-11, Run: 019, F, 0, 153, 0
INVAR-11, Run: 020, F, 2, 150, 0
INVAR-11, Run: 021, F, 2, 149, 0
INVAR-11, Run: 022, F, 0, 136, 0
INVAR-11, Run: 023, F, 1, 129, 0
INVAR-11, Run: 024, F, 0, 162, 0
INVAR-11, Run: 025, F, 1, 147, 0
INVAR-11, Run: 026, F, 1, 138, 0
INVAR-11, Run: 027, F, 2, 131, 0
INVAR-11, Run: 028, F, 1, 144, 0
INVAR-11, Run: 029, F, 2, 143, 0
INVAR-11, Run: 030, F, 1, 143, 0
INVAR-11, Run: 031, F, 0, 132, 0
INVAR-11, Run: 032, F, 1, 142, 0
INVAR-11, Run: 033, F, 0, 142, 0
INVAR-11, Run: 034, F, 2, 154, 0
INVAR-11, Run: 035, F, 0, 147, 0
INVAR-11, Run: 036, F, 0, 152, 0
INVAR-11, Run: 037, F, 0, 136, 0
INVAR-11, Run: 038, F, 1, 130, 0
INVAR-11, Run: 039, F, 0, 126, 0
INVAR-11, Run: 040, F, 1, 130, 0
INVAR-11, Run: 041, F, 0, 153, 0
INVAR-11, Run: 042, F, 0, 143, 0
INVAR-11, Run: 043, F, 3, 134, 0
INVAR-11, Run: 044, F, 0, 130, 0
INVAR-11, Run: 045, F, 0, 125, 0
INVAR-11, Run: 046, F, 2, 134, 0
INVAR-11, Run: 047, F, 1, 121, 0
INVAR-11, Run: 048, F, 2, 154, 0
INVAR-11, Run: 049, F, 1, 145, 0
INVAR-11, Run: 050, F, 1, 127, 0
INVAR-11, Run: 051, F, 1, 144, 0
INVAR-11, Run: 052, F, 1, 133, 0
INVAR-11, Run: 053, F, 1, 145, 0
INVAR-11, Run: 054, F, 2, 130, 0
INVAR-11, Run: 055, F, 1, 130, 0
INVAR-11, Run: 056, F, 1, 150, 0
INVAR-11, Run: 057, F, 4, 157, 0
INVAR-11, Run: 058, F, 1, 136, 0
INVAR-11, Run: 059, F, 0, 157, 0
INVAR-11, Run: 060, F, 1, 138, 0
INVAR-11, Run: 061, F, 0, 124, 0
INVAR-11, Run: 062, F, 1, 152, 0
INVAR-11, Run: 063, F, 2, 148, 0
INVAR-11, Run: 064, F, 2, 128, 0
INVAR-11, Run: 065, F, 1, 144, 0
INVAR-11, Run: 066, F, 0, 164, 0
INVAR-11, Run: 067, F, 1, 142, 0
INVAR-11, Run: 068, F, 0, 164, 0
INVAR-11, Run: 069, F, 3, 135, 0
INVAR-11, Run: 070, F, 0, 153, 0
INVAR-11, Run: 071, F, 1, 159, 1
INVAR-11, Run: 072, F, 0, 142, 0
INVAR-11, Run: 073, F, 0, 161, 0
INVAR-11, Run: 074, F, 0, 139, 0
INVAR-11, Run: 075, F, 0, 131, 0
INVAR-11, Run: 076, F, 1, 143, 0
INVAR-11, Run: 077, F, 1, 159, 0
INVAR-11, Run: 078, F, 1, 136, 0
INVAR-11, Run: 079, F, 1, 147, 0
INVAR-11, Run: 080, F, 1, 136, 0
INVAR-11, Run: 081, F, 0, 143, 0
INVAR-11, Run: 082, F, 2, 136, 0
INVAR-11, Run: 083, F, 4, 155, 0
INVAR-11, Run: 084, F, 2, 126, 0
INVAR-11, Run: 085, F, 1, 136, 0
INVAR-11, Run: 086, F, 0, 121, 0
INVAR-11, Run: 087, F, 1, 146, 0
INVAR-11, Run: 088, F, 1, 126, 0
INVAR-11, Run: 089, F, 1, 131, 0
INVAR-11, Run: 090, F, 0, 152, 0
INVAR-11, Run: 091, F, 1, 136, 0
INVAR-11, Run: 092, F, 0, 139, 0
INVAR-11, Run: 093, F, 2, 151, 0
INVAR-11, Run: 094, F, 0, 142, 0
INVAR-11, Run: 095, F, 2, 143, 0
INVAR-11, Run: 096, F, 0, 140, 0
INVAR-11, Run: 097, F, 5, 130, 0
INVAR-11, Run: 098, F, 2, 149, 0
INVAR-11, Run: 099, F, 0, 132, 0
INVAR-11, Run: 100, F, 0, 141, 0
INVAR-12, Run: 001, F, 4, 172, 0
INVAR-12, Run: 002, F, 3, 173, 0
INVAR-12, Run: 003, F, 0, 173, 0
INVAR-12, Run: 004, F, 0, 175, 0
INVAR-12, Run: 005, F, 1, 175, 0
INVAR-12, Run: 006, F, 0, 168, 0
INVAR-12, Run: 007, F, 2, 176, 0
INVAR-12, Run: 008, F, 0, 178, 0
INVAR-12, Run: 009, F, 1, 171, 0
INVAR-12, Run: 010, F, 1, 163, 0
INVAR-12, Run: 011, F, 1, 179, 0
INVAR-12, Run: 012, F, 1, 177, 0
INVAR-12, Run: 013, F, 0, 178, 0
INVAR-12, Run: 014, F, 1, 162, 0
INVAR-12, Run: 015, F, 0, 176, 0
INVAR-12, Run: 016, F, 0, 163, 0
INVAR-12, Run: 017, F, 1, 170, 0
INVAR-12, Run: 018, F, 3, 171, 0
INVAR-12, Run: 019, F, 1, 152, 0
INVAR-12, Run: 020, F, 4, 175, 0
INVAR-12, Run: 021, F, 1, 164, 0
INVAR-12, Run: 022, F, 1, 174, 0
INVAR-12, Run: 023, F, 1, 178, 0
INVAR-12, Run: 024, F, 0, 158, 0
INVAR-12, Run: 025, F, 0, 166, 0
INVAR-12, Run: 026, F, 3, 170, 0
INVAR-12, Run: 027, F, 0, 156, 0
INVAR-12, Run: 028, F, 2, 169, 0
INVAR-12, Run: 029, F, 0, 173, 0
INVAR-12, Run: 030, F, 1, 175, 0
INVAR-12, Run: 031, F, 2, 169, 0
INVAR-12, Run: 032, F, 1, 154, 0
INVAR-12, Run: 033, F, 2, 148, 0
INVAR-12, Run: 034, F, 2, 183, 0
INVAR-12, Run: 035, F, 0, 153, 0
INVAR-12, Run: 036, F, 0, 163, 0
INVAR-12, Run: 037, F, 0, 159, 0
INVAR-12, Run: 038, F, 2, 171, 0
INVAR-12, Run: 039, F, 0, 181, 0
INVAR-12, Run: 040, F, 0, 164, 0
INVAR-12, Run: 041, F, 2, 178, 0
INVAR-12, Run: 042, F, 2, 156, 0
INVAR-12, Run: 043, F, 0, 160, 0
INVAR-12, Run: 044, F, 0, 174, 0
INVAR-12, Run: 045, F, 0, 182, 0
INVAR-12, Run: 046, F, 2, 174, 0
INVAR-12, Run: 047, F, 2, 158, 0
INVAR-12, Run: 048, F, 1, 167, 0
INVAR-12, Run: 049, F, 2, 160, 0
INVAR-12, Run: 050, F, 2, 164, 0
INVAR-12, Run: 051, F, 0, 180, 0
INVAR-12, Run: 052, F, 0, 163, 0
INVAR-12, Run: 053, F, 2, 165, 0
INVAR-12, Run: 054, F, 0, 176, 0
INVAR-12, Run: 055, F, 3, 167, 0
INVAR-12, Run: 056, F, 2, 169, 0
INVAR-12, Run: 057, F, 3, 167, 0
INVAR-12, Run: 058, F, 0, 150, 0
INVAR-12, Run: 059, F, 0, 186, 0
INVAR-12, Run: 060, F, 2, 153, 0
INVAR-12, Run: 061, F, 1, 174, 0
INVAR-12, Run: 062, F, 0, 172, 0
INVAR-12, Run: 063, F, 0, 176, 0
INVAR-12, Run: 064, F, 3, 159, 0
INVAR-12, Run: 065, F, 0, 156, 0
INVAR-12, Run: 066, F, 1, 152, 0
INVAR-12, Run: 067, F, 1, 174, 0
INVAR-12, Run: 068, F, 2, 169, 0
INVAR-12, Run: 069, F, 0, 168, 0
INVAR-12, Run: 070, F, 2, 164, 0
INVAR-12, Run: 071, F, 0, 175, 0
INVAR-12, Run: 072, F, 2, 169, 0
INVAR-12, Run: 073, F, 2, 173, 0
INVAR-12, Run: 074, F, 0, 185, 0
INVAR-12, Run: 075, F, 0, 188, 0
INVAR-12, Run: 076, F, 0, 179, 0
INVAR-12, Run: 077, F, 2, 172, 0
INVAR-12, Run: 078, F, 0, 183, 0
INVAR-12, Run: 079, F, 0, 170, 0
INVAR-12, Run: 080, F, 1, 166, 0
INVAR-12, Run: 081, F, 0, 176, 0
INVAR-12, Run: 082, F, 2, 165, 0
INVAR-12, Run: 083, F, 2, 169, 1
INVAR-12, Run: 084, F, 1, 172, 0
INVAR-12, Run: 085, F, 0, 167, 0
INVAR-12, Run: 086, F, 0, 185, 0
INVAR-12, Run: 087, F, 0, 176, 0
INVAR-12, Run: 088, F, 0, 163, 0
INVAR-12, Run: 089, F, 1, 171, 0
INVAR-12, Run: 090, F, 0, 169, 0
INVAR-12, Run: 091, F, 1, 169, 0
INVAR-12, Run: 092, F, 2, 181, 0
INVAR-12, Run: 093, F, 2, 177, 0
INVAR-12, Run: 094, F, 1, 165, 0
INVAR-12, Run: 095, F, 3, 170, 0
INVAR-12, Run: 096, F, 2, 178, 0
INVAR-12, Run: 097, F, 1, 186, 0
INVAR-12, Run: 098, F, 1, 161, 0
INVAR-12, Run: 099, F, 2, 168, 0
INVAR-12, Run: 100, F, 1, 170, 0
INVAR-13, Run: 001, F, 2, 103, 0
INVAR-13, Run: 002, F, 1, 95, 0
INVAR-13, Run: 003, F, 2, 136, 0
INVAR-13, Run: 004, F, 1, 106, 0
INVAR-13, Run: 005, F, 2, 119, 0
INVAR-13, Run: 006, F, 0, 101, 0
INVAR-13, Run: 007, F, 0, 99, 0
INVAR-13, Run: 008, F, 2, 107, 0
INVAR-13, Run: 009, F, 0, 99, 0
INVAR-13, Run: 010, F, 3, 106, 0
INVAR-13, Run: 011, F, 3, 110, 0
INVAR-13, Run: 012, F, 2, 122, 0
INVAR-13, Run: 013, F, 1, 118, 0
INVAR-13, Run: 014, F, 2, 123, 1
INVAR-13, Run: 015, F, 1, 92, 0
INVAR-13, Run: 016, F, 2, 113, 0
INVAR-13, Run: 017, F, 1, 107, 0
INVAR-13, Run: 018, F, 0, 92, 0
INVAR-13, Run: 019, F, 3, 112, 0
INVAR-13, Run: 020, F, 0, 102, 0
INVAR-13, Run: 021, F, 1, 110, 0
INVAR-13, Run: 022, F, 0, 118, 0
INVAR-13, Run: 023, F, 1, 108, 0
INVAR-13, Run: 024, F, 0, 106, 0
INVAR-13, Run: 025, F, 1, 110, 0
INVAR-13, Run: 026, F, 1, 101, 0
INVAR-13, Run: 027, F, 0, 92, 0
INVAR-13, Run: 028, F, 1, 116, 0
INVAR-13, Run: 029, F, 1, 120, 0
INVAR-13, Run: 030, F, 4, 122, 0
INVAR-13, Run: 031, F, 0, 118, 0
INVAR-13, Run: 032, F, 0, 103, 0
INVAR-13, Run: 033, F, 0, 117, 0
INVAR-13, Run: 034, F, 2, 103, 0
INVAR-13, Run: 035, F, 0, 113, 0
INVAR-13, Run: 036, F, 1, 113, 0
INVAR-13, Run: 037, F, 2, 115, 0
INVAR-13, Run: 038, F, 1, 109, 0
INVAR-13, Run: 039, F, 1, 106, 0
INVAR-13, Run: 040, F, 2, 120, 0
INVAR-13, Run: 041, F, 0, 123, 0
INVAR-13, Run: 042, F, 1, 103, 1
INVAR-13, Run: 043, F, 1, 98, 0
INVAR-13, Run: 044, F, 0, 107, 0
INVAR-13, Run: 045, F, 1, 98, 0
INVAR-13, Run: 046, F, 0, 126, 0
INVAR-13, Run: 047, F, 2, 105, 0
INVAR-13, Run: 048, F, 3, 105, 0
INVAR-13, Run: 049, F, 1, 111, 0
INVAR-13, Run: 050, F, 1, 101, 0
INVAR-13, Run: 051, F, 1, 117, 0
INVAR-13, Run: 052, F, 1, 103, 0
INVAR-13, Run: 053, F, 0, 110, 0
INVAR-13, Run: 054, F, 0, 108, 0
INVAR-13, Run: 055, F, 1, 108, 0
INVAR-13, Run: 056, F, 1, 116, 0
INVAR-13, Run: 057, F, 0, 109, 0
INVAR-13, Run: 058, F, 1, 119, 0
INVAR-13, Run: 059, F, 0, 118, 0
INVAR-13, Run: 060, F, 0, 120, 0
INVAR-13, Run: 061, F, 0, 97, 0
INVAR-13, Run: 062, F, 1, 122, 0
INVAR-13, Run: 063, F, 3, 119, 0
INVAR-13, Run: 064, F, 1, 103, 0
INVAR-13, Run: 065, F, 0, 112, 0
INVAR-13, Run: 066, F, 1, 118, 0
INVAR-13, Run: 067, F, 0, 105, 0
INVAR-13, Run: 068, F, 1, 120, 0
INVAR-13, Run: 069, F, 0, 116, 0
INVAR-13, Run: 070, F, 2, 104, 0
INVAR-13, Run: 071, F, 0, 110, 0
INVAR-13, Run: 072, F, 0, 90, 0
INVAR-13, Run: 073, F, 1, 105, 0
INVAR-13, Run: 074, F, 1, 125, 0
INVAR-13, Run: 075, F, 1, 125, 0
INVAR-13, Run: 076, F, 1, 122, 0
INVAR-13, Run: 077, F, 1, 128, 0
INVAR-13, Run: 078, F, 1, 121, 0
INVAR-13, Run: 079, F, 0, 112, 0
INVAR-13, Run: 080, F, 2, 97, 0
INVAR-13, Run: 081, F, 4, 122, 0
INVAR-13, Run: 082, F, 1, 108, 0
INVAR-13, Run: 083, F, 0, 106, 0
INVAR-13, Run: 084, F, 0, 106, 0
INVAR-13, Run: 085, F, 2, 113, 0
INVAR-13, Run: 086, F, 1, 124, 0
INVAR-13, Run: 087, F, 1, 123, 0
INVAR-13, Run: 088, F, 1, 102, 0
INVAR-13, Run: 089, F, 0, 110, 0
INVAR-13, Run: 090, F, 1, 119, 0
INVAR-13, Run: 091, F, 1, 112, 0
INVAR-13, Run: 092, F, 2, 97, 0
INVAR-13, Run: 093, F, 0, 110, 0
INVAR-13, Run: 094, F, 1, 99, 0
INVAR-13, Run: 095, F, 0, 95, 0
INVAR-13, Run: 096, F, 0, 128, 0
INVAR-13, Run: 097, F, 1, 110, 0
INVAR-13, Run: 098, F, 2, 123, 0
INVAR-13, Run: 099, F, 3, 115, 0
INVAR-13, Run: 100, F, 0, 116, 0
INVAR-14, Run: 001, F, 1, 106, 0
INVAR-14, Run: 002, F, 0, 104, 0
INVAR-14, Run: 003, F, 1, 121, 0
INVAR-14, Run: 004, F, 1, 106, 0
INVAR-14, Run: 005, F, 0, 100, 0
INVAR-14, Run: 006, F, 1, 111, 0
INVAR-14, Run: 007, F, 1, 112, 0
INVAR-14, Run: 008, F, 0, 95, 0
INVAR-14, Run: 009, F, 0, 113, 0
INVAR-14, Run: 010, F, 1, 110, 0
INVAR-14, Run: 011, F, 0, 102, 0
INVAR-14, Run: 012, F, 2, 103, 0
INVAR-14, Run: 013, F, 2, 104, 0
INVAR-14, Run: 014, F, 0, 93, 0
INVAR-14, Run: 015, F, 3, 104, 0
